id,Score,Rank
192985,81.08,1
177003,80.53,2
168651,78.47,3
208421,77.76,4
199914,77.58,5
212622,77.52,6
179846,77.3,7
183711,77.0,8
178415,75.79,9
189513,75.78,10
162347,75.24,11
189362,74.99,12
206545,74.8,13
213991,74.66,14
178322,74.56,15
169706,74.24,16
234568,73.96,17
226226,73.92,18
206304,73.55,19
238359,73.55,20
231969,73.49,21
210406,73.47,22
188556,73.44,23
230258,73.34,24
214947,73.28,25
211354,73.16,26
214047,73.11,27
193361,72.98,28
185174,72.69,29
230020,72.62,30
173030,72.6,31
230965,72.47,32
205083,72.43,33
225126,72.41,34
186674,72.31,35
226168,72.2,36
224232,72.08,38
172143,72.08,37
210761,72.0,39
211748,71.98,40
177569,71.88,41
152879,71.76,42
178250,71.71,43
223273,71.7,44
158856,71.61,45
238463,71.51,46
199422,71.34,47
216320,71.31,48
205343,71.27,49
223874,71.26,50
229034,71.22,51
189059,71.22,52
212245,71.2,53
234457,71.19,54
182184,71.18,55
198950,71.13,56
206306,70.83,57
199792,70.81,58
215998,70.71,59
213648,70.7,60
216194,70.63,61
190536,70.58,62
164459,70.47,63
202282,70.45,64
173370,70.45,65
192371,70.33,66
227508,70.28,67
228092,70.28,68
186935,70.26,69
213974,70.26,70
184417,70.11,71
210881,69.98,72
207465,69.91,73
230417,69.8,74
199652,69.79,75
202648,69.75,76
49756,69.74,77
227236,69.5,78
204464,69.45,79
183422,69.44,80
222573,69.37,81
190782,69.36,82
193692,69.33,83
210429,69.14,84
198368,69.04,86
112365,69.04,85
219470,69.03,87
211706,69.03,88
220659,69.02,89
188103,68.99,90
230065,68.97,91
168567,68.94,92
173155,68.92,93
206124,68.92,94
192320,68.9,95
201303,68.88,96
3281,68.86,97
220763,68.8,98
140196,68.76,99
213353,68.75,100
142592,68.68,101
210111,68.6,102
186748,68.58,103
176553,68.53,104
227535,68.49,105
206109,68.44,106
200770,68.33,107
204450,68.32,108
242201,68.22,109
157801,68.08,110
206171,68.03,111
227772,68.02,112
159080,68.02,113
158138,67.96,114
207943,67.95,115
188157,67.95,116
223247,67.95,117
231493,67.91,118
189167,67.79,119
229758,67.76,120
213813,67.68,121
162047,67.68,122
183287,67.62,123
209417,67.59,124
122574,67.52,125
210374,67.48,126
193495,67.46,127
16,67.42,128
142454,67.38,129
236288,67.28,130
189425,67.26,131
151508,67.22,132
190636,67.07,133
234943,67.05,134
190330,67.02,135
235226,66.99,136
209621,66.97,137
193206,66.97,138
167599,66.95,139
235134,66.9,140
229276,66.89,141
190535,66.84,142
183527,66.79,143
196072,66.72,144
232665,66.68,145
204220,66.67,146
158966,66.65,147
190979,66.61,148
201447,66.59,149
216286,66.58,150
156894,66.46,151
200778,66.46,152
232999,66.43,153
211746,66.41,154
204442,66.4,155
203308,66.39,156
214358,66.35,157
105318,66.35,158
184242,66.3,159
202746,66.15,160
208297,66.08,161
229137,66.04,162
190575,65.88,163
198490,65.87,164
218736,65.81,165
229380,65.74,166
202465,65.7,167
193735,65.64,168
204061,65.63,169
231942,65.61,170
144010,65.6,171
229752,65.56,172
222987,65.45,173
216138,65.4,174
206650,65.37,175
193608,65.35,176
212104,65.31,177
202808,65.23,178
192439,65.22,179
36111,65.21,180
221875,65.2,181
186881,65.18,182
209485,65.13,183
183940,65.12,185
234741,65.12,184
208865,65.11,186
190286,65.1,187
187550,65.09,188
208592,65.08,189
221824,65.05,190
169461,64.98,191
222429,64.9,192
213613,64.83,193
191980,64.82,194
207956,64.8,195
198220,64.79,196
191673,64.71,197
152620,64.69,198
221890,64.66,199
140497,64.57,200
222405,64.49,201
198046,64.48,202
242209,64.46,203
220700,64.41,204
223307,64.37,205
190640,64.31,206
227840,64.27,207
183442,64.23,208
221847,64.21,209
172568,64.17,210
210742,64.1,211
232811,64.02,212
205157,64.0,213
231360,63.94,214
214325,63.92,215
203426,63.92,216
206536,63.81,217
227787,63.79,218
229082,63.79,219
194946,63.7,220
211745,63.57,222
244968,63.57,221
236270,63.5,223
217047,63.49,224
233487,63.46,225
226405,63.43,226
215701,63.41,227
197300,63.31,228
193421,63.3,229
222930,63.28,230
224057,63.27,231
200210,63.2,232
