id,Score,Rank
179813,74.99,1
184200,73.85,2
216475,73.32,3
142707,71.46,4
188081,71.24,5
143076,70.81,6
179844,70.66,7
212623,70.56,8
221992,69.92,9
184252,69.63,10
138456,68.8,11
223627,68.48,12
204399,68.22,13
186627,68.08,14
208093,67.98,15
167664,67.97,16
227476,67.97,17
45186,67.77,18
198717,67.72,19
223066,67.67,20
208596,67.34,21
225359,67.27,22
199602,66.94,23
199254,66.94,24
176794,66.91,25
158543,66.46,26
207722,66.39,27
208045,66.18,28
219455,65.74,29
232381,65.69,30
202851,65.66,31
201304,65.63,32
183955,65.43,33
179516,65.4,34
223816,65.32,35
214463,65.3,36
207664,65.24,37
156432,65.09,38
224069,64.9,39
188599,64.59,40
207877,64.55,41
49369,64.5,42
164029,64.41,43
181349,64.4,44
162932,64.38,45
221311,64.36,46
193983,64.29,47
216531,63.96,48
200473,63.9,49
162369,63.81,50
155979,63.63,52
179551,63.63,51
205351,63.49,53
201876,63.48,54
163713,63.38,55
223334,63.22,56
232432,63.2,57
150418,63.13,58
204280,62.94,59
168317,62.62,60
223689,62.61,61
195671,62.6,62
223578,62.22,63
203903,62.19,64
203668,62.09,65
163050,62.04,66
232884,62.01,67
227866,61.98,68
188484,61.9,69
205008,61.84,70
138306,61.76,71
208374,61.73,72
205670,61.65,73
191547,61.63,74
206147,61.53,75
189053,61.52,76
198019,61.39,77
218534,61.25,78
176841,61.09,79
235320,61.06,80
211891,60.93,81
220085,60.9,82
204324,60.71,83
165889,60.64,84
183714,60.55,85
227617,60.46,86
214967,60.44,87
216627,60.38,88
205892,60.34,89
189603,60.33,90
203500,60.06,91
212454,60.05,92
146953,59.83,93
232670,59.74,94
207960,59.69,95
207711,59.63,96
198373,59.62,97
163828,59.28,98
212228,59.19,99
172823,59.12,100
185199,59.07,101
244464,58.95,102
215568,58.74,103
208306,58.69,104
230300,58.68,105
232926,58.64,106
218651,58.61,107
177278,58.61,108
163351,58.5,109
222993,58.27,110
223551,58.27,111
223596,58.24,112
194018,58.19,113
238686,58.07,114
190724,58.06,115
220528,58.03,116
200925,58.03,117
194851,57.85,118
226495,57.77,119
235410,57.65,120
214562,57.62,121
221014,57.6,122
176211,57.6,123
243617,57.51,124
232523,57.5,125
190939,57.46,126
197932,57.42,127
225667,57.4,128
242384,57.39,129
186723,57.32,131
178089,57.32,130
220671,57.15,132
215480,57.09,133
172696,57.09,134
163049,57.08,135
214980,56.89,136
224121,56.87,137
215864,56.84,138
202769,56.8,139
227394,56.73,140
190254,56.64,141
191068,56.57,142
193077,56.47,143
239504,56.41,144
193827,56.39,145
212506,56.28,146
156321,56.08,147
190981,55.98,148
223283,55.93,149
213839,55.86,150
163774,55.53,151
221774,55.47,152
229460,55.44,153
229793,55.43,154
230287,55.39,155
229658,55.34,156
230897,55.3,157
235133,55.15,158
232520,55.15,159
212248,55.01,160
211732,55.0,161
236692,54.83,162
223879,54.75,163
243946,54.72,164
221511,54.61,165
169907,54.11,166
224455,54.07,167
243360,54.05,168
227446,53.93,169
138719,53.91,170
229856,53.88,171
239418,53.88,172
242539,53.73,173
209965,53.7,174
237291,53.67,175
239208,53.63,176
199881,53.45,177
223580,53.42,178
216794,53.29,179
191083,53.29,180
220669,53.26,181
237085,53.15,182
216078,53.11,183
237581,52.97,184
201243,52.96,185
244832,52.95,186
225668,52.93,187
183807,52.37,188
229536,52.19,189
241114,52.11,190
227958,51.65,191
236274,51.39,192
200714,50.98,193
239078,50.89,194
233216,50.79,195
232225,50.75,196
236800,50.27,197
214896,49.99,198
204007,49.85,199
227997,49.73,200
235980,49.44,201
244947,48.84,202
225368,48.81,203
224870,48.65,204
235950,48.08,205
240331,46.1,206
207995,44.7,207
