id,Score,Rank
205600,72.57,1
198141,69.44,2
182493,68.96,3
212501,68.96,4
192641,68.28,5
229585,67.92,6
201862,67.83,7
181098,67.74,8
208920,67.38,9
221660,67.21,10
139720,67.19,11
190502,66.88,12
171919,66.87,13
192366,66.73,14
199845,66.58,15
199986,66.57,16
168609,66.38,17
188416,66.36,18
210047,66.02,19
216247,65.94,20
207790,65.87,21
188829,65.7,22
200724,65.61,23
229773,65.55,24
139860,65.48,25
177509,65.43,26
45473,65.27,27
160741,65.23,28
225508,65.1,29
197061,65.09,30
185239,64.85,31
201956,64.81,32
224242,64.78,33
178417,64.67,34
198176,64.6,35
205452,64.59,36
212977,64.53,37
137186,64.26,38
157304,64.26,39
189060,64.24,40
229026,63.95,41
183564,63.86,42
165229,63.83,43
204311,63.82,44
189156,63.79,45
230212,63.79,46
173521,63.72,47
191687,63.71,48
191488,63.67,49
220702,63.65,50
205193,63.59,51
198261,63.57,52
158625,63.43,53
198584,63.4,54
200073,63.39,55
221540,63.38,56
183966,63.31,57
215399,63.24,58
205943,63.23,59
181262,63.15,60
228708,63.12,61
181247,63.06,62
224258,63.06,63
150415,62.99,64
163407,62.94,65
235844,62.85,66
194795,62.83,67
202048,62.74,68
193690,62.65,69
194957,62.63,70
219777,62.62,71
196615,62.52,72
197948,62.46,73
204341,62.43,74
190931,62.34,75
211954,62.32,76
225100,62.31,77
187517,62.24,78
187132,62.22,79
205989,62.19,80
225024,62.18,81
225161,62.0,82
213331,61.94,83
229270,61.92,84
206222,61.91,85
200752,61.89,86
236987,61.88,87
231838,61.87,88
186296,61.87,89
177285,61.82,90
188917,61.81,91
192766,61.78,92
240359,61.77,93
142942,61.74,94
186130,61.68,95
153260,61.64,96
164468,61.63,97
184626,61.57,98
200607,61.54,99
211320,61.53,100
210520,61.46,101
204639,61.46,102
183969,61.43,103
162890,61.4,104
183285,61.39,105
183781,61.33,106
230981,61.31,107
207660,61.28,108
179515,61.23,109
194163,61.18,110
169115,61.14,111
216655,61.13,113
158956,61.13,112
199761,61.05,114
201886,61.0,115
199674,60.97,116
223033,60.96,117
245664,60.95,118
212516,60.94,119
205705,60.93,120
162508,60.91,121
142818,60.9,122
215051,60.88,123
226221,60.86,124
195363,60.86,125
202849,60.85,126
171900,60.8,127
189235,60.8,128
213404,60.8,129
139229,60.7,130
189701,60.69,131
183129,60.65,132
220477,60.64,133
161644,60.61,134
140620,60.6,135
199813,60.6,136
183491,60.57,137
177684,60.57,138
23823,60.56,139
156478,60.55,140
137359,60.53,141
186253,60.5,142
211999,60.45,143
183855,60.45,144
225673,60.44,145
202977,60.44,146
146558,60.43,147
229384,60.42,148
48745,60.4,149
198560,60.39,150
221413,60.37,151
185010,60.37,152
193714,60.32,153
189433,60.31,154
216778,60.3,155
190531,60.26,156
226616,60.26,157
231263,60.25,158
221219,60.18,159
228295,60.15,160
223046,60.11,161
135742,60.1,162
223751,60.09,163
202697,60.09,164
190180,60.08,165
210897,60.08,166
142329,60.07,168
184037,60.07,167
201049,60.06,169
166919,60.05,170
234679,60.04,171
198971,60.04,172
221422,60.02,173
191648,60.02,174
226798,59.97,175
212253,59.96,176
243748,59.95,177
188762,59.87,178
171682,59.87,179
231111,59.82,180
187013,59.76,181
214639,59.73,182
237221,59.71,183
187113,59.7,184
211263,59.7,185
236331,59.68,186
188182,59.67,187
241854,59.63,188
203884,59.62,189
192476,59.61,190
212190,59.6,191
224811,59.59,192
184477,59.57,193
234816,59.55,194
198474,59.53,195
187415,59.5,196
53914,59.46,198
199409,59.46,197
217196,59.42,199
237404,59.41,200
219787,59.37,201
176285,59.35,202
214217,59.32,203
169389,59.26,204
239136,59.26,205
165536,59.25,206
204936,59.24,207
192091,59.24,208
232144,59.23,210
241746,59.23,209
172411,59.21,211
234986,59.18,212
203026,59.17,213
237209,59.15,214
180759,59.14,215
198076,59.13,216
209669,59.11,217
233219,59.1,218
220302,59.08,219
179778,59.08,220
214765,59.07,221
186521,59.06,222
205194,59.0,223
189397,58.97,224
209997,58.96,225
155694,58.93,226
