id,Score,Rank
195864,80.76,1
183498,77.24,2
210896,76.26,3
208135,75.06,4
53302,74.45,5
190584,74.1,6
193474,73.95,7
196934,73.75,8
187735,73.6,9
213874,73.46,10
190674,73.24,11
183346,73.13,12
202934,72.95,13
208461,72.92,14
147782,72.87,15
184716,72.64,16
188041,72.56,17
180432,72.5,18
193425,72.45,19
206413,72.43,20
230250,72.29,21
162329,71.9,22
213051,71.37,23
190971,71.29,24
182579,71.23,25
224574,70.95,26
191173,70.64,27
208960,70.41,28
198908,70.35,29
230239,70.29,30
230457,70.19,31
184387,70.18,32
220673,70.08,33
124607,70.08,34
215057,69.99,35
195698,69.97,36
230237,69.96,37
227234,69.93,38
233147,69.91,39
124635,69.85,40
218623,69.83,41
204040,69.79,42
204688,69.76,43
202024,69.75,44
230423,69.66,45
209236,69.65,46
215193,69.64,47
198861,69.59,48
216020,69.58,49
203979,69.55,50
204612,69.31,51
205347,69.25,52
215089,69.24,53
230255,68.97,54
203128,68.91,55
223223,68.84,56
205998,68.81,57
232099,68.63,58
152567,68.52,59
176071,68.29,60
230435,68.29,61
188879,68.15,62
190432,68.13,63
230252,68.12,64
159591,68.11,65
227235,68.09,66
212212,68.08,67
205410,68.05,68
197402,68.05,69
202078,68.0,70
211879,67.76,71
49488,67.76,72
200424,67.67,73
233529,67.58,74
159175,67.47,75
208923,67.45,76
188000,67.34,77
183385,67.33,78
175314,67.27,79
213689,67.25,80
230453,67.24,81
221433,67.16,82
220075,67.09,83
190887,66.99,84
183936,66.92,85
191104,66.89,86
208015,66.84,87
208835,66.76,88
236792,66.6,89
208260,66.58,90
145996,66.4,91
190060,66.37,92
199413,66.34,93
216350,66.33,94
164626,66.29,95
199288,66.25,96
198817,66.24,97
213228,66.15,98
191096,66.14,99
200667,66.06,100
223654,66.0,101
183769,65.96,102
225174,65.84,103
229327,65.77,104
193103,65.73,105
239845,65.72,106
158293,65.72,107
214605,65.64,108
175598,65.47,109
244709,65.45,110
188586,65.35,111
220782,65.33,112
214208,65.22,113
178152,65.21,114
170305,65.01,115
214991,64.96,116
213644,64.93,117
155671,64.86,118
199627,64.74,119
213105,64.69,120
152463,64.68,121
210303,64.59,122
194924,64.41,123
209984,64.39,124
198104,64.37,125
192471,64.36,126
227150,64.35,127
234122,64.24,128
212207,64.23,129
209698,64.19,130
235522,64.11,131
205073,64.01,132
209701,64.01,133
233314,63.88,134
217217,63.88,135
202404,63.85,136
240683,63.76,137
235580,63.73,138
225812,63.69,139
231587,63.67,140
244309,63.65,141
204677,63.6,142
204497,63.51,143
217160,63.45,144
230452,63.4,145
188959,63.31,146
223581,63.28,147
224265,63.23,148
192238,63.2,149
199169,63.2,150
244520,63.18,151
192205,63.09,152
199352,63.08,153
199815,63.05,154
139836,63.03,155
234789,63.02,156
243989,63.0,157
203454,62.92,158
210475,62.91,159
226747,62.89,160
100803,62.88,161
142670,62.82,162
200806,62.81,163
173498,62.67,164
194665,62.66,165
183160,62.56,166
232852,62.53,167
213885,62.46,168
220087,62.41,169
214258,62.28,170
181499,62.26,171
181725,62.16,173
187494,62.16,172
177488,62.14,174
219449,62.08,175
205618,61.94,176
209018,61.76,177
215786,61.51,178
202731,61.48,179
220558,61.24,180
188765,61.22,181
212338,61.21,182
217653,61.11,183
239567,61.08,184
215390,61.07,185
235149,61.03,186
220779,60.84,187
236043,60.68,188
242069,60.65,189
239492,60.63,190
231227,60.62,191
199668,60.32,192
223396,60.11,193
238951,60.04,194
241931,59.91,195
233075,59.87,196
224062,59.77,197
145014,59.74,198
228058,59.66,199
212988,59.65,200
202551,59.59,201
222294,59.58,202
216023,59.4,203
213841,59.25,204
212383,59.16,205
213444,59.15,206
202881,59.12,207
224169,58.93,208
227170,58.89,209
206281,58.81,210
223378,58.67,211
13883,58.43,212
215593,58.22,213
244376,58.21,214
239553,57.98,215
212329,57.96,216
244739,57.88,217
235123,57.83,218
238580,57.71,219
203428,57.65,220
222396,57.57,221
220826,57.53,222
236364,57.52,223
231006,57.51,224
222174,57.51,225
245687,57.41,226
232514,57.2,227
208862,57.09,228
225079,56.77,229
211955,56.58,230
224094,56.28,231
244703,56.24,232
214319,56.23,233
242543,56.01,234
242294,55.83,235
242894,55.73,236
244170,55.47,237
203450,55.11,238
244489,55.05,239
242926,55.01,240
244514,54.71,241
244469,54.58,242
232907,54.1,243
232205,53.55,244
215517,53.47,245
230983,51.02,246
245747,48.16,247
222187,48.12,248
