id,Score,Rank
197083,74.9,1
180216,74.2,2
204105,73.67,3
203605,73.28,4
201982,70.98,5
240754,70.65,6
189234,70.44,7
169426,69.63,8
201417,69.54,9
221342,69.54,10
207862,68.32,11
176687,68.05,12
223597,67.86,13
214601,67.82,14
207920,67.44,15
192667,66.86,16
220620,65.77,17
199313,65.76,18
213010,65.22,19
224104,65.09,20
234279,64.94,21
232062,64.38,22
197996,64.05,23
209177,63.7,24
243576,63.39,25
229039,63.35,26
191111,62.68,27
200855,62.66,28
225273,62.51,29
227600,62.4,30
178014,62.39,31
236273,62.2,32
191105,61.88,33
232311,61.83,34
213933,61.61,35
200807,60.87,36
211174,60.84,37
218658,60.53,38
213687,60.19,39
200980,59.97,40
224511,59.79,41
223595,59.67,42
229873,59.29,43
166841,59.13,44
228834,58.52,45
244952,58.4,46
224667,58.18,47
239095,58.16,48
225734,57.98,49
198927,57.88,50
232185,57.86,51
226139,57.8,52
240872,57.79,53
203292,57.78,54
189434,57.66,55
201527,57.64,56
221206,56.89,57
188594,56.74,58
211717,56.57,59
213894,56.41,60
231356,56.36,61
232372,56.34,62
204762,55.81,63
198071,55.78,64
236923,54.56,65
221976,54.48,66
243695,54.29,67
138427,54.2,68
224582,54.2,69
242727,54.07,70
243886,53.86,71
239134,53.36,72
177761,53.11,73
243751,53.0,74
229050,52.07,75
242184,51.95,76
199008,50.9,77
240555,50.71,78
226109,49.78,79
234483,49.5,80
233912,48.96,81
229123,47.73,82
244741,47.56,83
241387,47.23,84
244471,46.56,85
242852,45.15,86
243866,44.55,87
