id,Score,Rank
20801,85.93,1
173731,85.28,2
188545,82.54,3
153079,82.31,4
202126,81.92,5
230666,80.17,6
193301,80.1,7
208830,79.49,8
202556,79.4,9
54050,79.3,10
181783,79.24,11
200610,79.23,12
198329,79.21,13
192387,78.66,14
176600,78.52,15
192629,78.41,16
198951,78.26,17
183574,78.11,18
206113,77.98,19
213013,77.86,20
199069,77.68,21
176769,77.65,22
221639,77.55,23
192598,77.3,24
165153,77.24,25
201399,77.21,26
231943,77.02,27
192505,76.86,28
200454,76.65,29
190919,76.24,30
178628,76.22,31
113422,76.15,32
186537,75.92,33
228941,75.9,34
106231,75.83,35
198140,75.7,36
225018,75.66,37
203280,75.65,38
204819,75.47,39
181820,75.38,40
153177,75.35,41
198715,75.32,42
187491,75.17,43
187084,75.12,44
201858,75.1,45
177666,75.05,46
215061,75.01,47
216497,74.93,48
201153,74.93,49
180175,74.82,50
230498,74.8,51
231478,74.76,52
199110,74.75,53
197756,74.69,54
220295,74.69,55
199354,74.52,56
200318,74.43,57
212456,74.43,58
153244,74.4,59
209723,74.4,60
192991,74.26,61
134779,74.21,62
216816,74.2,63
207441,74.17,64
204226,74.14,65
205735,74.05,66
186905,74.04,67
193290,74.02,68
204529,73.99,69
189225,73.93,70
188616,73.9,71
137809,73.87,72
203757,73.82,73
215886,73.79,74
196978,73.79,75
230289,73.78,76
224540,73.78,77
203502,73.67,78
202350,73.6,79
185195,73.58,80
198420,73.58,81
183389,73.5,82
195093,73.4,83
168565,73.39,84
185373,73.38,85
110376,73.33,86
239212,73.32,87
202911,73.29,88
180930,73.24,89
178509,73.24,90
188044,73.24,91
183569,73.12,92
205360,73.12,93
196150,73.09,94
152997,72.9,95
228717,72.9,96
188955,72.86,97
219932,72.84,98
230294,72.74,99
234045,72.74,100
199852,72.74,101
205295,72.72,102
188428,72.61,103
190461,72.6,104
189805,72.54,105
178224,72.54,106
196144,72.52,107
176137,72.49,108
234236,72.48,109
205427,72.44,110
220253,72.39,111
161832,72.38,112
218970,72.34,113
186961,72.31,114
175254,72.31,115
204538,72.3,116
217699,72.28,117
213114,72.27,119
159145,72.27,118
186405,72.2,120
146758,72.16,121
212878,72.13,122
185431,72.13,123
177633,72.04,124
198504,72.04,125
226627,72.02,126
200446,71.99,127
177134,71.98,128
212273,71.92,129
203774,71.9,130
198150,71.88,131
204385,71.85,132
211591,71.82,133
176619,71.8,134
215353,71.78,135
124375,71.75,136
189795,71.74,137
183249,71.74,138
143809,71.72,139
192123,71.71,140
212232,71.6,141
211302,71.5,142
177765,71.5,143
245683,71.48,144
115909,71.46,145
223245,71.45,146
202539,71.42,147
216452,71.42,148
50542,71.36,149
176048,71.32,150
194138,71.32,151
171833,71.28,152
222357,71.19,153
224933,71.15,154
53050,71.14,155
204550,71.14,156
188506,71.14,157
223197,71.14,158
177392,71.09,159
193169,71.08,160
233866,71.08,161
204684,71.05,162
197136,71.03,163
217731,71.0,164
164467,70.97,165
200875,70.94,166
194728,70.92,167
176481,70.89,169
211048,70.89,168
183982,70.85,170
179746,70.83,171
229037,70.81,172
228687,70.75,173
169498,70.74,174
19975,70.73,175
208022,70.73,176
225114,70.7,177
211784,70.69,178
198683,70.69,179
208054,70.63,180
212478,70.62,181
224151,70.62,182
176348,70.58,183
198347,70.56,184
188091,70.51,186
230964,70.51,185
200911,70.49,187
208251,70.47,188
223875,70.47,189
193408,70.45,190
173818,70.45,191
158309,70.43,192
230292,70.42,193
183518,70.42,194
213432,70.4,195
237303,70.39,196
192930,70.35,197
152912,70.33,198
204366,70.33,199
202686,70.3,200
218066,70.28,201
221714,70.23,202
207858,70.16,203
213135,70.09,204
192561,70.07,205
204841,70.07,206
203388,70.05,207
198611,70.04,208
214153,70.03,209
236786,70.03,210
225719,70.02,211
191034,70.01,212
225713,70.0,213
234488,70.0,214
220685,70.0,215
193338,69.97,216
122849,69.95,217
233138,69.94,218
225478,69.93,219
184218,69.92,220
192678,69.92,221
222352,69.9,222
230513,69.88,223
176237,69.88,224
199387,69.87,225
212261,69.86,226
210947,69.84,227
152718,69.83,228
191123,69.82,229
200197,69.81,230
177126,69.74,231
138436,69.74,232
226378,69.69,233
201335,69.66,234
140384,69.66,235
176790,69.65,236
196064,69.64,237
173162,69.62,238
137361,69.61,239
179565,69.61,240
199569,69.57,241
190362,69.55,242
215292,69.53,243
168320,69.53,244
167706,69.51,245
211899,69.5,246
201549,69.48,247
189961,69.47,248
51353,69.44,249
205495,69.4,250
189068,69.4,251
239207,69.39,252
192778,69.35,253
169938,69.34,254
148803,69.33,255
215716,69.3,256
199490,69.26,257
172937,69.26,258
25420,69.26,259
202547,69.25,260
235512,69.24,261
226380,69.23,262
243903,69.21,263
189303,69.18,264
182836,69.18,265
199964,69.18,266
181120,69.18,267
232318,69.14,268
184401,69.13,269
166844,69.08,270
224330,69.07,271
197231,69.06,272
208339,69.05,273
227667,69.03,274
221479,69.02,275
202395,69.01,276
221121,68.98,277
201013,68.98,278
189099,68.96,279
168950,68.96,280
160766,68.94,281
152814,68.92,282
165509,68.91,283
201403,68.89,284
223248,68.88,285
173132,68.84,286
184858,68.83,287
231638,68.83,288
164256,68.8,289
203304,68.79,290
201380,68.78,291
223929,68.76,292
161938,68.75,293
113524,68.75,294
189723,68.75,295
165031,68.74,296
182864,68.74,297
165191,68.72,298
189849,68.7,299
212332,68.7,300
212023,68.69,301
173667,68.68,302
164478,68.66,303
202276,68.64,304
220715,68.64,305
218662,68.64,306
182617,68.64,307
185064,68.64,308
202428,68.64,309
198554,68.64,310
198631,68.55,311
214817,68.53,312
162471,68.53,313
215195,68.51,314
226537,68.5,315
210315,68.49,316
189757,68.48,317
212819,68.48,318
205158,68.42,319
221452,68.39,320
190497,68.38,321
194082,68.38,322
195912,68.37,323
177528,68.37,324
241721,68.36,325
212409,68.35,326
205425,68.33,327
220862,68.33,328
212879,68.32,329
240702,68.32,330
209440,68.3,331
202905,68.29,332
210441,68.29,333
187607,68.23,334
223151,68.22,337
176680,68.22,336
202052,68.22,335
200433,68.2,338
199274,68.18,339
157482,68.17,340
214727,68.16,341
205603,68.14,342
163396,68.12,343
212260,68.12,344
229271,68.1,345
189536,68.07,346
189963,68.06,347
184789,68.05,348
202283,68.0,349
189975,67.99,350
214350,67.98,351
217710,67.98,352
201285,67.98,353
224179,67.92,354
159581,67.91,355
206633,67.9,356
208505,67.9,357
197716,67.87,358
214418,67.87,359
206469,67.87,360
192728,67.86,361
206018,67.84,362
206630,67.84,363
233795,67.84,364
188042,67.83,365
227732,67.82,366
184136,67.8,367
183706,67.79,372
212223,67.79,374
233299,67.79,373
227838,67.79,370
214685,67.79,371
184518,67.79,369
173444,67.79,368
203793,67.78,375
223489,67.78,376
226035,67.78,377
205081,67.76,378
216051,67.75,379
187337,67.75,380
190738,67.72,381
237034,67.69,382
211321,67.69,383
165788,67.69,384
230298,67.65,385
193554,67.65,386
194319,67.64,387
235554,67.63,388
169386,67.61,389
206431,67.6,390
172094,67.59,391
173859,67.58,392
230497,67.57,393
186887,67.54,394
228568,67.53,395
200086,67.52,396
162503,67.52,397
205559,67.51,398
183339,67.49,399
236189,67.49,400
183483,67.42,401
164559,67.41,402
234028,67.39,404
195036,67.39,403
139296,67.37,405
243238,67.35,406
219514,67.33,407
224116,67.33,408
210380,67.3,409
202175,67.26,410
205465,67.22,411
214876,67.22,412
184111,67.21,413
212408,67.21,414
230502,67.2,415
213761,67.2,416
204690,67.18,417
50294,67.18,418
208017,67.15,420
179574,67.15,419
169586,67.13,421
201883,67.12,422
173608,67.11,423
143119,67.11,424
231745,67.09,425
209473,67.09,426
204709,67.08,427
211870,67.07,428
235812,67.05,429
197238,67.03,430
157707,66.96,431
192259,66.96,432
186161,66.95,433
209504,66.94,434
192373,66.94,435
181780,66.93,436
188107,66.92,437
204250,66.9,438
201943,66.9,439
194085,66.89,440
204992,66.88,441
229624,66.86,442
239593,66.85,443
226811,66.85,444
194996,66.84,445
201145,66.84,447
182160,66.84,446
194925,66.83,448
236498,66.82,449
193564,66.82,450
215441,66.79,451
196848,66.79,452
171565,66.78,453
235236,66.77,455
186614,66.77,454
224389,66.76,456
208159,66.74,457
200387,66.74,458
143018,66.73,459
168984,66.72,460
206534,66.72,461
171995,66.7,462
229282,66.69,463
230302,66.69,464
204682,66.69,465
197480,66.69,466
230296,66.68,467
231560,66.67,468
215309,66.66,469
202989,66.66,470
178091,66.64,471
230503,66.63,472
198701,66.63,473
201714,66.61,474
206626,66.6,475
228981,66.59,476
213618,66.59,477
171083,66.58,478
215266,66.57,479
178264,66.56,480
182528,66.54,481
182130,66.54,482
213829,66.53,483
230857,66.52,484
221740,66.49,485
183211,66.48,486
219779,66.48,487
179665,66.45,488
172960,66.44,489
175963,66.44,490
141111,66.43,491
228668,66.42,492
176924,66.41,493
197031,66.41,494
181281,66.4,495
214613,66.39,496
212992,66.38,497
237051,66.38,498
162828,66.38,499
219641,66.36,500
210296,66.34,501
225541,66.32,502
192063,66.32,503
197941,66.32,504
236198,66.31,505
149571,66.3,506
198874,66.29,507
215668,66.28,508
237539,66.28,509
170569,66.27,510
202676,66.26,511
176270,66.25,512
210439,66.24,513
240243,66.24,514
186140,66.23,515
236610,66.23,516
237631,66.2,517
200922,66.19,518
194783,66.19,519
234333,66.18,520
225289,66.17,522
202154,66.17,521
189141,66.16,523
234875,66.16,524
202043,66.15,525
184747,66.14,526
205481,66.14,527
176801,66.14,528
212933,66.13,529
199559,66.12,530
45548,66.11,531
188289,66.09,532
215294,66.08,533
201346,66.02,534
201966,66.02,535
205478,66.01,536
223095,66.01,537
214492,66.0,538
229949,65.98,539
193865,65.98,540
204506,65.94,541
205963,65.94,542
229748,65.93,543
164857,65.92,544
175313,65.92,545
203287,65.9,546
223113,65.87,547
162198,65.87,548
212664,65.86,549
171881,65.86,550
198175,65.85,551
190518,65.84,552
198564,65.83,553
230495,65.83,554
188128,65.78,555
230291,65.78,556
227785,65.76,557
232066,65.75,558
214922,65.74,559
221477,65.74,560
176403,65.73,561
186562,65.73,562
211292,65.73,563
225455,65.73,564
239085,65.72,565
208700,65.71,566
228737,65.7,567
227591,65.7,568
231862,65.7,569
208916,65.7,570
184624,65.69,571
208158,65.68,572
218548,65.68,573
214965,65.67,574
223685,65.66,575
202526,65.66,576
231786,65.65,577
215374,65.65,578
193758,65.64,579
220165,65.62,580
223104,65.62,581
210722,65.61,582
217998,65.61,583
214416,65.6,584
230521,65.6,585
135743,65.59,586
194122,65.58,587
202896,65.57,588
203699,65.56,589
224969,65.56,590
201038,65.55,592
190664,65.55,591
192337,65.54,593
181491,65.54,594
225121,65.53,595
