id,Score,Rank
178518,81.68,1
181872,79.92,2
194765,76.14,3
181291,75.91,4
201942,75.72,5
225663,74.69,6
186561,74.18,7
171579,74.03,8
207494,73.8,9
193738,73.52,10
212523,73.3,11
226456,73.23,12
208128,72.99,13
201043,72.87,15
201400,72.87,14
143587,72.75,16
210538,72.6,17
190460,72.58,18
193348,72.09,19
212814,72.02,20
215018,71.95,21
184484,71.54,22
189596,71.45,23
216464,71.39,24
184942,71.15,25
192587,71.12,26
190765,71.09,27
191180,71.06,28
184133,71.02,29
216594,70.94,30
196147,70.84,31
168883,70.82,32
211269,70.66,33
193886,70.46,34
221363,70.35,35
161956,70.31,36
159065,70.12,37
230977,70.12,38
176104,70.1,39
228698,70.03,40
199739,69.98,41
174381,69.81,42
230988,69.78,43
198006,69.57,44
229406,69.46,45
211378,69.43,46
182152,69.36,47
230685,69.27,48
163209,69.23,49
177388,69.22,50
187702,69.18,51
204215,69.17,52
156142,69.11,53
223926,68.95,54
199189,68.92,55
194079,68.75,56
180754,68.74,57
184144,68.73,58
206651,68.6,59
224325,68.43,60
221671,68.39,61
192449,68.38,62
192824,68.36,63
189575,68.22,64
176894,68.22,65
211098,68.18,66
215083,68.09,67
201066,68.04,68
189595,68.02,69
234701,68.0,70
192708,67.93,71
225309,67.91,72
197225,67.88,73
143001,67.75,74
227633,67.74,75
211108,67.66,76
200647,67.65,77
183644,67.62,78
202148,67.49,79
220018,67.47,80
191725,67.45,81
188388,67.44,82
178323,67.2,83
212474,67.15,84
209288,67.12,85
198914,67.12,86
200155,67.04,87
235663,66.98,88
223608,66.91,89
215615,66.85,90
158133,66.82,91
213597,66.76,92
189358,66.72,93
204370,66.71,94
152454,66.71,95
188770,66.7,96
214989,66.69,97
210423,66.68,98
221434,66.66,99
221634,66.62,100
206655,66.61,101
185018,66.56,102
197900,66.54,103
186452,66.53,104
203980,66.43,105
204555,66.39,106
167669,66.37,107
176062,66.34,108
223313,66.33,109
226377,66.29,110
213113,66.11,111
184703,66.1,112
193476,66.06,113
181271,66.02,114
225403,65.94,115
186307,65.92,116
206436,65.88,117
181123,65.87,118
210042,65.86,119
214609,65.85,120
226376,65.84,121
201508,65.84,122
190607,65.8,123
201155,65.79,124
186556,65.78,125
158372,65.72,126
190544,65.71,127
239148,65.69,128
233478,65.65,129
220697,65.64,130
188414,65.64,131
203782,65.56,132
203895,65.55,133
166080,65.53,135
177953,65.53,134
210324,65.47,136
215270,65.44,137
181236,65.43,138
224507,65.39,139
199247,65.37,140
202620,65.37,141
234980,65.36,142
214533,65.32,143
188988,65.24,144
237692,65.2,145
207928,65.19,146
135190,65.16,147
192274,65.14,148
228821,65.12,151
203060,65.12,150
195065,65.12,149
199952,65.11,152
187789,65.06,153
138336,65.03,154
173654,65.03,155
200831,65.02,156
20800,65.01,157
216289,65.0,158
168379,65.0,159
235297,64.97,160
199439,64.91,161
222148,64.77,162
50955,64.72,163
230463,64.69,164
201046,64.66,165
217852,64.63,166
153296,64.55,167
201901,64.52,168
200505,64.48,169
237043,64.46,170
185090,64.44,171
158969,64.42,172
200918,64.41,173
208250,64.41,174
161648,64.41,175
193897,64.38,176
211124,64.37,177
210016,64.32,178
213937,64.3,179
203151,64.25,180
181846,64.23,181
201895,64.22,182
218746,64.19,183
198640,64.13,184
230420,64.12,185
198331,64.07,186
220655,64.05,187
192643,64.05,188
228650,63.99,189
210021,63.97,190
177802,63.96,191
206594,63.94,192
212024,63.92,193
234987,63.91,194
196151,63.88,195
176545,63.86,196
219216,63.82,197
234093,63.8,198
189207,63.76,199
190471,63.75,200
237780,63.72,201
157310,63.72,202
211212,63.67,203
188397,63.63,204
230269,63.62,205
176901,63.55,206
186650,63.55,207
142756,63.55,208
209218,63.54,210
201093,63.54,209
212446,63.51,211
183993,63.51,212
186504,63.51,213
245221,63.5,214
176635,63.48,215
52752,63.47,216
230142,63.45,217
210513,63.44,218
211489,63.43,219
196142,63.42,220
209372,63.4,221
204060,63.39,222
234983,63.34,223
193881,63.34,224
216184,63.31,225
217242,63.3,226
184154,63.28,227
189721,63.27,228
235790,63.26,229
163925,63.25,230
201484,63.22,231
184285,63.22,232
202489,63.21,233
189508,63.13,234
193293,63.12,235
211238,63.11,236
220139,63.08,237
210667,63.07,238
179579,63.03,239
240699,63.0,240
239373,62.99,241
163804,62.97,242
205086,62.94,243
182442,62.92,244
197240,62.92,245
234018,62.91,246
204136,62.9,247
216229,62.82,248
139058,62.81,249
177906,62.79,250
234742,62.78,251
219717,62.76,252
234710,62.72,253
153048,62.71,254
169447,62.71,255
142773,62.7,256
157492,62.69,257
104476,62.65,258
190593,62.63,259
202459,62.59,260
233061,62.57,261
234293,62.55,262
230271,62.53,263
205402,62.53,264
208589,62.49,265
212944,62.48,266
155355,62.47,267
234385,62.46,268
244374,62.42,269
172208,62.41,271
222970,62.41,270
210743,62.4,272
167841,62.34,273
185260,62.31,274
209695,62.31,275
224798,62.29,276
222678,62.26,277
240097,62.24,278
231236,62.23,279
170719,62.22,280
172756,62.19,281
242216,62.17,282
216317,62.09,283
244083,62.07,284
234126,62.06,285
203348,62.05,286
209828,62.04,287
157219,61.99,288
205855,61.97,289
242036,61.94,290
225139,61.91,291
236169,61.88,292
116762,61.86,293
230274,61.84,294
245682,61.84,295
191263,61.81,296
189819,61.78,297
204346,61.78,298
229699,61.78,299
230469,61.76,300
242280,61.75,301
137506,61.74,302
213490,61.72,303
234612,61.72,304
188385,61.72,305
210930,61.71,306
238802,61.69,307
242217,61.66,308
236166,61.66,309
236935,61.6,310
225187,61.52,311
203603,61.51,312
208160,61.51,313
211395,61.5,314
176652,61.49,315
216463,61.47,316
230490,61.46,317
223268,61.46,318
244260,61.44,319
225926,61.42,320
212771,61.41,321
172904,61.41,322
236170,61.4,323
190079,61.39,324
198638,61.38,325
238504,61.37,326
212693,61.37,327
199912,61.36,328
222944,61.34,329
236345,61.32,330
226584,61.31,331
230488,61.29,333
232669,61.29,332
211245,61.28,334
169000,61.26,335
232951,61.25,336
225152,61.23,337
237647,61.22,338
230475,61.2,339
213260,61.19,340
222079,61.16,341
223978,61.12,342
198534,61.09,343
165911,61.07,344
230846,61.05,347
165429,61.05,345
221120,61.05,346
204387,61.04,348
229594,61.03,349
188985,61.03,350
51123,61.02,351
214201,61.01,352
168732,61.0,353
3665,61.0,354
192479,60.99,355
209569,60.99,356
234966,60.96,357
210784,60.96,358
228171,60.96,359
210112,60.92,360
217639,60.91,361
209529,60.9,362
237973,60.86,363
52842,60.85,364
230479,60.82,365
206565,60.81,366
181307,60.8,367
219337,60.77,368
225545,60.73,369
234033,60.72,370
216836,60.72,371
212753,60.72,372
245261,60.7,373
229280,60.7,374
203746,60.68,376
224014,60.68,375
214014,60.65,377
230482,60.65,378
180352,60.64,379
227443,60.64,380
220029,60.64,381
191184,60.62,382
236164,60.6,383
165520,60.6,384
187688,60.57,385
200952,60.57,386
224973,60.57,387
198143,60.56,388
199021,60.56,389
195838,60.55,390
220118,60.54,391
243881,60.52,392
227978,60.44,393
210329,60.4,394
225441,60.39,395
221367,60.36,396
170570,60.33,397
239909,60.31,398
232843,60.22,399
214092,60.22,400
217826,60.13,401
158790,60.1,402
204078,60.1,403
213445,60.08,405
234022,60.08,404
172786,60.07,406
198348,60.05,407
203537,60.05,408
235794,60.04,409
182731,60.04,410
235507,59.99,411
203279,59.99,412
209281,59.98,413
236037,59.95,414
214907,59.92,415
226401,59.9,416
203863,59.9,417
213007,59.82,418
238637,59.82,419
210377,59.8,420
198690,59.78,421
226568,59.78,422
236168,59.77,423
183519,59.72,424
245850,59.72,425
231391,59.72,426
210158,59.7,427
213984,59.67,428
199475,59.66,429
162223,59.66,430
214016,59.66,431
234281,59.66,432
149791,59.63,433
198776,59.63,434
226866,59.53,436
184895,59.53,435
235324,59.52,437
205044,59.49,438
240561,59.47,439
213801,59.46,440
192370,59.45,441
242767,59.45,442
237496,59.44,443
240647,59.44,444
188405,59.36,445
224665,59.35,446
241509,59.35,447
220035,59.31,448
200930,59.28,449
204383,59.26,450
209254,59.24,451
221383,59.23,452
135576,59.2,453
242673,59.17,454
192540,59.13,455
221926,59.12,456
230466,59.12,457
232294,59.1,458
176993,59.09,459
234015,59.06,460
235008,59.05,461
240035,59.03,462
238843,59.03,463
206598,59.02,465
208631,59.02,464
188164,59.01,466
208096,59.0,467
242050,58.93,468
185165,58.91,469
238648,58.88,470
241811,58.88,471
199946,58.86,472
212747,58.85,473
210644,58.83,474
236171,58.82,475
236259,58.82,476
236167,58.81,477
189192,58.8,478
212366,58.8,479
179930,58.78,480
204987,58.77,481
229435,58.77,482
243592,58.75,483
235419,58.75,484
212803,58.74,485
208771,58.74,486
234728,58.74,487
214919,58.73,488
234688,58.67,489
222368,58.65,490
212457,58.62,491
230471,58.57,492
213948,58.57,493
233141,58.56,495
234108,58.56,494
206523,58.51,496
231753,58.51,497
205353,58.5,498
241992,58.4,499
244261,58.39,500
224956,58.38,501
29552,58.38,502
240026,58.37,503
196913,58.36,504
214493,58.35,505
242129,58.31,506
230472,58.28,507
240507,58.27,508
213488,58.24,510
134792,58.24,509
241234,58.21,511
187830,58.2,512
244487,58.13,513
238067,58.1,514
243746,58.09,515
186776,58.08,516
245013,58.06,517
245157,58.06,518
235022,57.96,519
189263,57.93,520
220832,57.93,521
213307,57.91,522
243834,57.9,523
237681,57.89,524
214964,57.87,525
219689,57.83,526
227602,57.83,527
213434,57.81,528
229509,57.81,529
224146,57.8,530
243300,57.77,531
231667,57.76,532
219555,57.74,533
214099,57.72,534
225843,57.71,535
243016,57.68,536
208585,57.68,537
224504,57.67,538
224466,57.66,539
189437,57.64,540
203297,57.62,541
201751,57.61,542
192898,57.6,543
241741,57.58,544
224618,57.57,545
176907,57.56,546
236772,57.54,547
176246,57.53,548
237184,57.51,549
188070,57.51,550
170784,57.5,551
202207,57.49,552
208766,57.48,553
225872,57.46,555
242686,57.46,554
210566,57.42,556
183544,57.4,557
230270,57.4,558
237546,57.37,559
231713,57.36,560
243780,57.34,561
207513,57.3,562
236956,57.3,563
230262,57.29,564
221461,57.26,565
187379,57.26,566
229215,57.25,567
212126,57.24,568
223902,57.22,570
225962,57.22,569
216483,57.21,571
204242,57.2,572
215373,57.19,573
232517,57.18,574
241014,57.15,575
235466,57.14,576
155352,57.13,577
231863,57.11,578
193943,57.11,579
213692,57.1,580
239551,57.09,581
231228,57.07,582
190982,57.06,583
233924,57.06,584
234025,57.04,585
222463,57.03,586
219912,56.98,587
244268,56.98,588
206142,56.95,589
238036,56.95,590
234016,56.94,591
178520,56.9,592
239597,56.85,593
240529,56.83,594
232682,56.83,595
235717,56.81,596
172418,56.81,597
228289,56.79,598
236173,56.74,599
219808,56.72,600
167516,56.71,601
239258,56.69,602
230485,56.68,603
237698,56.67,604
223755,56.67,605
235152,56.65,606
237747,56.63,607
235437,56.58,608
216467,56.56,609
223452,56.53,610
190201,56.5,611
234007,56.49,612
204091,56.42,613
239852,56.42,614
230866,56.34,615
235973,56.32,616
223010,56.3,617
234795,56.25,618
173836,56.24,619
236627,56.23,620
225614,56.22,621
189282,56.22,622
210786,56.18,623
215598,56.17,624
230438,56.16,625
184635,56.12,626
230450,56.1,627
212192,56.04,628
231630,56.04,629
202866,56.03,630
137686,56.01,631
184847,56.01,632
229535,56.0,633
