id,Score,Rank
187072,80.1,1
144622,77.23,2
184431,76.4,3
194365,74.91,4
192064,74.89,5
191565,74.58,6
215590,74.35,7
198706,74.19,8
213582,72.57,9
205175,72.36,10
170369,72.19,11
188674,71.96,12
208451,71.4,13
234889,70.77,14
194171,70.54,15
199266,69.96,16
228666,69.89,17
189485,69.7,18
214000,69.65,19
215202,69.28,20
221662,68.59,21
232730,68.34,22
201290,67.81,23
207629,67.35,24
229517,67.24,25
204850,67.21,26
202848,67.02,27
241994,66.32,28
211850,66.22,29
231502,65.9,30
209062,65.64,31
233182,65.42,32
226266,65.01,33
237513,64.3,34
223746,63.42,35
246239,63.41,36
233181,63.15,37
207510,63.08,38
242284,62.96,39
238196,62.54,40
236678,62.28,41
232479,62.18,42
233568,62.14,43
225654,61.84,44
237665,61.42,45
236339,60.87,46
212991,60.58,47
228714,60.11,48
233180,59.84,49
243955,59.77,50
221767,59.64,51
245155,59.32,52
245639,58.84,53
239892,58.8,54
245693,58.58,55
240038,58.45,56
242257,57.86,57
244635,57.58,58
246316,57.29,59
242433,56.66,60
241186,56.51,61
238995,56.41,62
232727,56.39,63
194248,55.96,64
239474,55.86,65
243524,55.67,66
244023,54.69,67
242566,54.63,68
237321,54.47,69
245536,51.94,70
244446,51.92,71
245767,51.59,72
245624,50.97,73
246399,49.08,74
