id,Score,Rank
176676,82.66,1
212462,80.02,2
224334,79.89,3
189332,79.44,4
197445,79.42,5
185103,79.25,6
164169,78.89,7
191043,78.74,8
192638,78.53,9
186832,77.74,10
210035,77.04,11
193352,76.97,12
171875,76.73,13
178424,76.42,14
183427,75.95,15
164082,75.84,16
201454,75.56,17
220651,75.23,18
169595,75.18,19
190815,75.09,20
188086,75.05,21
152908,74.88,22
230347,74.65,23
230183,74.58,24
163631,74.54,25
200458,74.5,26
205988,74.47,27
201510,74.43,28
204884,74.34,29
211688,74.22,30
202562,74.2,31
201119,74.17,32
205923,74.09,33
216466,74.07,34
230337,74.0,35
158851,73.78,36
182744,73.57,37
163488,73.38,38
204614,73.32,39
228618,73.29,40
139313,73.29,41
216267,73.2,42
177553,73.1,43
169705,72.98,44
193171,72.98,45
186992,72.9,46
205995,72.66,47
177604,72.58,48
212678,72.54,49
187492,72.52,50
186190,72.46,51
201953,72.44,52
229984,72.31,53
211385,72.27,54
207707,72.19,55
186982,72.06,56
211256,72.05,57
235212,72.04,58
144429,71.88,59
205069,71.88,60
200443,71.84,61
219681,71.81,62
220814,71.79,63
210665,71.75,64
154634,71.67,65
189615,71.63,66
183512,71.56,67
214955,71.53,68
207924,71.52,69
230348,71.31,70
186274,71.19,71
226491,71.15,72
169638,71.13,73
229148,71.1,74
194979,71.08,75
236075,71.07,76
205566,70.99,77
179884,70.98,78
220658,70.98,79
188802,70.9,80
240976,70.9,81
184273,70.88,82
198946,70.78,83
213400,70.76,84
212491,70.74,85
198240,70.73,86
214040,70.7,87
214838,70.7,88
210822,70.69,89
189930,70.68,90
177149,70.68,91
186347,70.68,92
165321,70.66,93
202151,70.56,94
178567,70.51,95
202501,70.43,96
198386,70.39,97
173204,70.39,98
193062,70.38,99
205524,70.34,100
190143,70.34,101
232656,70.31,102
227813,70.29,103
215071,70.23,104
158375,70.2,105
216380,70.14,106
180359,70.13,107
189484,70.13,108
230184,70.09,109
210736,70.04,110
184392,70.02,111
201389,70.0,112
203505,69.98,113
221201,69.93,114
205364,69.92,115
182166,69.91,116
188194,69.91,117
209846,69.88,118
228579,69.88,119
192128,69.87,120
214772,69.86,121
201139,69.74,122
188696,69.74,123
176605,69.74,124
202157,69.71,125
237211,69.69,126
221832,69.69,127
234930,69.67,128
220414,69.66,129
235634,69.64,130
192156,69.62,131
215160,69.56,132
201509,69.53,133
197688,69.51,134
163369,69.49,135
210384,69.48,136
199157,69.46,137
204760,69.45,138
207993,69.44,139
216036,69.35,140
186651,69.31,141
200517,69.28,142
169324,69.23,143
202115,69.18,144
152554,69.15,145
230189,69.12,146
158394,69.08,147
223966,68.98,148
194846,68.86,149
212183,68.85,150
192102,68.84,151
210723,68.81,152
190223,68.8,153
210603,68.79,154
169345,68.78,155
212282,68.74,156
217546,68.72,157
191055,68.69,158
124388,68.69,159
193695,68.66,160
220209,68.66,161
144200,68.64,162
230344,68.62,163
200820,68.59,164
224196,68.59,165
198335,68.57,166
210695,68.52,167
232223,68.52,168
198067,68.47,169
225426,68.47,170
216356,68.45,171
218936,68.42,172
189680,68.41,173
188621,68.4,174
200759,68.39,175
193133,68.36,176
199763,68.33,177
198190,68.26,178
176346,68.19,179
193201,68.19,180
232008,68.17,181
184472,68.15,182
236295,68.1,183
200278,68.1,184
217844,68.07,185
193177,68.04,186
187572,68.02,187
217036,67.96,188
224423,67.96,189
34079,67.94,190
176023,67.91,191
229712,67.84,192
194359,67.82,193
187205,67.82,194
239106,67.82,195
230353,67.8,196
224189,67.77,197
204355,67.75,198
210118,67.72,199
193148,67.7,200
210972,67.69,201
209744,67.68,202
153066,67.67,203
171364,67.66,204
172013,67.63,205
190034,67.62,206
199283,67.61,208
213317,67.61,207
215970,67.6,209
207593,67.58,210
236071,67.56,211
230340,67.54,212
209620,67.53,213
216283,67.51,214
149064,67.49,215
125871,67.48,216
190572,67.43,217
198589,67.4,218
193475,67.37,219
195256,67.35,220
223726,67.34,221
233982,67.32,222
198000,67.3,223
192617,67.3,224
178297,67.28,225
239116,67.23,226
223402,67.22,227
177766,67.21,228
202646,67.18,229
179681,67.13,230
231885,67.0,231
214916,66.99,232
215049,66.98,233
190430,66.91,234
219046,66.9,235
39386,66.89,236
204125,66.85,237
242269,66.85,238
191390,66.76,240
165232,66.76,239
214393,66.75,241
137373,66.75,242
209301,66.72,243
167532,66.7,244
232655,66.68,245
205669,66.68,246
219871,66.65,247
207785,66.62,248
