id,Score,Rank
139997,79.1,1
203551,79.0,2
210514,77.59,3
146530,77.59,4
186345,77.46,5
184432,77.2,6
188377,76.87,7
189681,75.76,8
199564,75.74,9
199304,75.58,10
173771,75.42,11
172522,75.39,12
210243,75.33,13
204963,75.28,14
193525,75.2,15
184949,75.18,16
201042,74.84,17
190149,74.44,18
197853,74.37,19
108080,74.22,20
146760,74.13,21
230360,74.08,22
203890,73.91,23
177457,73.86,24
192789,73.79,25
216150,73.72,26
216189,73.7,27
194022,73.56,28
206591,73.55,29
187800,73.27,31
158626,73.27,30
199633,73.18,32
189043,73.13,33
167514,73.08,34
191210,72.96,35
182862,72.85,36
227928,72.79,37
188155,72.59,38
201118,72.57,39
195479,72.51,40
192427,72.44,41
204259,72.4,42
231281,72.39,43
190456,72.31,44
203747,72.27,45
142784,72.25,46
168312,72.24,47
143699,72.22,48
158942,72.16,49
149184,72.08,50
183916,72.07,51
187347,72.04,52
203843,72.0,53
198657,71.85,54
216158,71.81,55
204472,71.78,56
168607,71.76,57
202493,71.76,58
208520,71.72,59
194644,71.7,60
192146,71.66,61
188840,71.62,62
190824,71.6,63
226851,71.54,64
211241,71.52,65
190557,71.5,66
206058,71.41,67
216643,71.4,68
215108,71.36,69
210864,71.27,70
198949,71.17,72
202316,71.17,71
210625,71.06,73
234035,71.06,74
222558,71.01,75
184501,70.95,76
204539,70.93,77
188135,70.93,78
186330,70.92,79
192838,70.85,80
189860,70.76,81
189221,70.7,82
225375,70.57,83
228881,70.52,84
230201,70.52,85
225523,70.48,86
198705,70.41,87
194229,70.39,88
163419,70.36,89
190885,70.35,90
230371,70.3,93
225646,70.3,91
216373,70.3,92
206407,70.24,94
229221,70.16,95
102056,70.16,96
195361,70.1,97
230197,69.96,98
193470,69.89,99
200111,69.79,100
204904,69.72,101
197777,69.71,102
199392,69.71,103
171378,69.66,104
175847,69.63,105
189514,69.63,106
212722,69.62,107
233096,69.55,108
170923,69.46,109
208509,69.44,110
182896,69.42,111
216266,69.39,112
223188,69.38,113
207472,69.36,114
191005,69.35,115
214515,69.33,116
192045,69.29,117
198455,69.24,118
215331,69.22,119
134895,69.2,120
205965,69.11,121
226166,69.08,122
203810,69.07,123
236441,69.04,124
230354,69.02,125
215699,69.01,126
201939,69.0,127
210724,69.0,128
145047,68.96,129
223297,68.95,130
214196,68.89,133
219409,68.89,131
203581,68.89,132
223724,68.86,134
188352,68.78,135
225402,68.74,136
223278,68.71,137
188607,68.7,138
148696,68.68,139
153938,68.62,140
219789,68.61,141
204307,68.56,142
225995,68.52,143
204401,68.5,144
234574,68.43,145
211014,68.42,146
208730,68.41,147
205630,68.38,148
186553,68.36,149
148839,68.35,150
193429,68.33,151
178251,68.3,152
232270,68.24,153
226075,68.18,154
213446,68.18,155
179811,68.16,156
208564,68.14,157
207876,68.1,158
231235,68.04,159
192122,68.04,160
207650,68.0,162
188313,68.0,161
208004,67.96,163
206238,67.93,164
231095,67.91,165
226853,67.91,166
193685,67.88,167
239875,67.88,168
189946,67.86,169
215181,67.83,170
237841,67.78,171
205346,67.73,172
197786,67.72,173
212883,67.7,174
228080,67.66,175
191842,67.59,176
214091,67.53,177
201016,67.53,178
210320,67.52,179
161857,67.51,180
219814,67.5,181
206463,67.48,182
166664,67.45,183
236112,67.42,184
229359,67.4,185
208114,67.39,186
225669,67.38,187
190854,67.33,188
139533,67.33,189
198751,67.26,191
163261,67.26,190
206427,67.24,192
201000,67.24,193
157479,67.24,194
215192,67.23,195
206129,67.22,196
234730,67.2,197
175608,67.19,198
242664,67.18,199
240281,67.16,200
181459,67.15,201
198599,67.14,202
193254,67.14,203
199570,67.14,204
230361,67.11,205
223765,67.08,206
229782,67.07,207
229896,67.06,208
215256,67.04,209
192658,67.03,211
200434,67.03,210
236401,66.98,212
198553,66.97,213
217870,66.96,214
230198,66.93,215
184990,66.92,216
210434,66.9,217
227222,66.86,218
230202,66.83,219
234678,66.78,221
211060,66.78,220
186979,66.76,222
229880,66.73,223
193561,66.72,224
148635,66.71,225
207746,66.71,226
190633,66.71,227
200914,66.7,228
235005,66.7,229
214572,66.65,230
235814,66.64,231
186551,66.6,232
198288,66.6,233
169600,66.57,234
204977,66.56,235
221370,66.54,236
193141,66.54,237
205551,66.53,238
188430,66.53,239
210136,66.51,240
219626,66.48,242
204278,66.48,241
192310,66.47,243
218621,66.45,244
225563,66.42,245
210129,66.41,246
183188,66.38,247
188334,66.37,248
206424,66.34,249
186392,66.33,252
234514,66.33,253
199131,66.33,251
206269,66.33,250
225875,66.3,254
200309,66.28,255
208892,66.27,256
191541,66.25,257
231600,66.2,258
193304,66.19,259
193768,66.18,260
233301,66.17,261
236466,66.16,262
201136,66.16,263
197860,66.16,264
201079,66.14,265
183815,66.12,266
209746,66.11,267
217085,66.09,268
215720,66.06,269
203783,65.99,270
193276,65.98,271
237532,65.96,272
204332,65.93,273
183746,65.92,274
230529,65.9,275
204030,65.89,276
189003,65.89,277
183145,65.88,278
224263,65.84,279
190494,65.81,280
231985,65.8,282
214005,65.8,281
221750,65.79,284
202952,65.79,283
204687,65.77,285
169069,65.75,286
194203,65.74,287
214446,65.72,288
182178,65.72,289
210394,65.71,290
186156,65.7,291
200841,65.68,292
222225,65.66,293
228321,65.65,295
191222,65.65,294
231340,65.63,296
230372,65.62,297
135883,65.62,298
222240,65.62,299
186267,65.61,300
230367,65.6,301
218981,65.58,303
229584,65.58,302
227873,65.57,304
183353,65.55,305
199191,65.54,306
188390,65.52,307
210859,65.51,308
204519,65.5,309
226229,65.5,310
172322,65.47,311
230356,65.46,314
244697,65.46,313
236993,65.46,312
162875,65.45,315
205951,65.45,316
230366,65.43,317
197391,65.41,318
230205,65.41,319
225880,65.37,320
189228,65.35,321
234573,65.34,322
212592,65.25,323
234822,65.24,324
201512,65.2,325
184807,65.2,326
193211,65.19,327
137708,65.18,328
186598,65.14,329
183454,65.12,330
221923,65.09,331
236111,65.07,332
192241,65.04,333
189300,65.02,334
183987,65.02,335
214622,65.0,336
205447,64.99,337
228980,64.98,338
223065,64.97,339
199781,64.93,340
205691,64.91,341
170941,64.91,342
224490,64.9,344
204616,64.9,343
224656,64.86,345
188930,64.85,346
204920,64.84,347
202678,64.84,348
199683,64.82,349
204388,64.79,350
235981,64.78,351
145889,64.77,352
222775,64.76,355
223615,64.76,356
214483,64.76,354
228762,64.76,353
224841,64.74,357
165485,64.73,358
200577,64.73,359
119233,64.72,360
170039,64.71,361
177790,64.71,362
238074,64.69,363
220051,64.65,364
230199,64.62,365
225294,64.61,366
238305,64.6,367
229654,64.58,368
204203,64.57,369
189553,64.56,370
208828,64.55,371
202113,64.54,372
201707,64.52,373
176942,64.51,374
212401,64.5,375
231685,64.49,376
230362,64.49,377
216346,64.48,378
226662,64.46,379
228349,64.45,380
193369,64.43,381
220132,64.43,382
177719,64.38,383
222881,64.34,384
230358,64.32,385
111206,64.3,386
239717,64.28,387
179687,64.28,388
142270,64.23,389
195480,64.22,390
217168,64.19,391
233986,64.16,395
241827,64.16,394
210880,64.16,393
208502,64.16,392
237662,64.15,396
179800,64.13,397
222331,64.1,398
233988,64.08,399
177083,64.07,400
199537,64.06,401
224459,64.04,402
230147,64.02,403
178430,64.01,404
229251,63.98,405
198377,63.97,406
179543,63.97,407
229971,63.97,408
208723,63.96,409
223117,63.95,410
172283,63.9,411
212783,63.9,412
216275,63.89,413
208052,63.87,414
206098,63.84,415
215149,63.83,416
215987,63.8,417
213570,63.77,418
228415,63.76,419
190883,63.74,420
209660,63.72,421
189944,63.72,422
223240,63.71,423
190658,63.7,424
221885,63.68,425
234112,63.68,426
228967,63.63,427
176368,63.62,428
224134,63.58,429
183819,63.57,430
206635,63.53,431
232875,63.52,432
190648,63.51,433
198330,63.47,435
211428,63.47,434
208983,63.46,436
204033,63.46,437
211966,63.44,438
