id,Score,Rank
178518,81.68,8
181872,79.92,7
194765,76.14,1
181291,75.91,18
201942,75.72,3
225663,74.69,37
186561,74.18,15
171579,74.03,36
207494,73.8,12
193738,73.52,44
212523,73.3,10
226456,73.23,20
208128,72.99,30
201400,72.87,13
201043,72.87,183
143587,72.75,75
210538,72.6,92
190460,72.58,2
193348,72.09,23
212814,72.02,21
215018,71.95,129
184484,71.54,16
189596,71.45,4
216464,71.39,193
184942,71.15,11
192587,71.12,137
190765,71.09,64
191180,71.06,14
184133,71.02,136
216594,70.94,6
196147,70.84,65
168883,70.82,199
211269,70.66,90
193886,70.46,31
221363,70.35,69
161956,70.31,26
159065,70.12,46
230977,70.12,28
176104,70.1,35
228698,70.03,143
199739,69.98,86
174381,69.81,82
230988,69.78,48
198006,69.57,119
229406,69.46,50
211378,69.43,274
182152,69.36,95
230685,69.27,63
163209,69.23,234
177388,69.22,9
187702,69.18,84
204215,69.17,201
156142,69.11,59
223926,68.95,238
199189,68.92,43
194079,68.75,109
180754,68.74,169
184144,68.73,17
206651,68.6,220
224325,68.43,299
221671,68.39,128
192449,68.38,325
192824,68.36,258
189575,68.22,33
176894,68.22,102
211098,68.18,151
215083,68.09,174
201066,68.04,266
189595,68.02,153
234701,68.0,241
192708,67.93,72
225309,67.91,52
197225,67.88,56
143001,67.75,57
227633,67.74,175
211108,67.66,122
200647,67.65,22
183644,67.62,185
202148,67.49,273
220018,67.47,38
191725,67.45,165
188388,67.44,34
178323,67.2,194
212474,67.15,166
209288,67.12,94
198914,67.12,287
200155,67.04,41
235663,66.98,150
223608,66.91,93
215615,66.85,261
158133,66.82,47
213597,66.76,115
189358,66.72,24
204370,66.71,227
152454,66.71,478
188770,66.7,91
214989,66.69,98
210423,66.68,101
221434,66.66,245
221634,66.62,70
206655,66.61,87
185018,66.56,373
197900,66.54,212
186452,66.53,184
203980,66.43,73
204555,66.39,104
167669,66.37,77
176062,66.34,160
223313,66.33,350
226377,66.29,51
213113,66.11,146
184703,66.1,232
193476,66.06,58
181271,66.02,106
225403,65.94,148
186307,65.92,71
206436,65.88,117
181123,65.87,191
210042,65.86,309
214609,65.85,182
226376,65.84,113
201508,65.84,40
190607,65.8,96
201155,65.79,97
186556,65.78,159
158372,65.72,156
190544,65.71,32
239148,65.69,253
233478,65.65,103
220697,65.64,62
188414,65.64,78
203782,65.56,210
203895,65.55,54
177953,65.53,292
166080,65.53,275
210324,65.47,39
215270,65.44,127
181236,65.43,284
224507,65.39,389
199247,65.37,223
202620,65.37,418
234980,65.36,283
214533,65.32,339
188988,65.24,25
237692,65.2,190
207928,65.19,85
135190,65.16,289
192274,65.14,105
195065,65.12,335
203060,65.12,408
228821,65.12,202
199952,65.11,61
187789,65.06,364
138336,65.03,353
173654,65.03,532
200831,65.02,120
20800,65.01,88
216289,65.0,381
168379,65.0,158
235297,64.97,291
199439,64.91,42
222148,64.77,125
50955,64.72,247
230463,64.69,67
201046,64.66,55
217852,64.63,246
153296,64.55,162
201901,64.52,639
200505,64.48,526
237043,64.46,244
185090,64.44,60
158969,64.42,208
200918,64.41,242
208250,64.41,189
161648,64.41,45
193897,64.38,118
211124,64.37,124
210016,64.32,186
213937,64.3,237
203151,64.25,546
181846,64.23,533
201895,64.22,196
218746,64.19,147
198640,64.13,100
230420,64.12,170
198331,64.07,157
220655,64.05,206
192643,64.05,477
228650,63.99,81
210021,63.97,144
177802,63.96,363
206594,63.94,168
212024,63.92,460
234987,63.91,444
196151,63.88,257
176545,63.86,195
219216,63.82,226
234093,63.8,536
189207,63.76,107
190471,63.75,211
237780,63.72,437
157310,63.72,419
211212,63.67,397
188397,63.63,130
230269,63.62,49
176901,63.55,209
186650,63.55,108
142756,63.55,319
201093,63.54,233
209218,63.54,179
212446,63.51,281
183993,63.51,640
186504,63.51,313
245221,63.5,76
176635,63.48,5
52752,63.47,216
230142,63.45,29
210513,63.44,53
211489,63.43,173
196142,63.42,83
209372,63.4,243
204060,63.39,218
234983,63.34,563
193881,63.34,141
216184,63.31,538
217242,63.3,152
184154,63.28,263
189721,63.27,576
235790,63.26,27
163925,63.25,139
201484,63.22,396
184285,63.22,379
202489,63.21,388
189508,63.13,89
193293,63.12,342
211238,63.11,457
220139,63.08,565
210667,63.07,564
179579,63.03,593
240699,63.0,221
239373,62.99,514
163804,62.97,280
205086,62.94,250
182442,62.92,599
197240,62.92,267
234018,62.91,348
204136,62.9,469
216229,62.82,371
139058,62.81,176
177906,62.79,384
234742,62.78,207
219717,62.76,528
234710,62.72,502
153048,62.71,279
169447,62.71,753
142773,62.7,200
157492,62.69,66
104476,62.65,452
190593,62.63,311
202459,62.59,439
233061,62.57,265
234293,62.55,621
230271,62.53,19
205402,62.53,142
208589,62.49,499
212944,62.48,277
155355,62.47,329
234385,62.46,314
244374,62.42,235
222970,62.41,336
172208,62.41,321
210743,62.4,349
167841,62.34,488
185260,62.31,197
209695,62.31,400
224798,62.29,398
222678,62.26,163
240097,62.24,649
231236,62.23,411
170719,62.22,74
172756,62.19,376
242216,62.17,520
216317,62.09,655
244083,62.07,677
234126,62.06,149
203348,62.05,531
209828,62.04,320
157219,61.99,251
205855,61.97,79
242036,61.94,537
225139,61.91,145
236169,61.88,479
116762,61.86,346
230274,61.84,121
245682,61.84,123
191263,61.81,453
189819,61.78,230
204346,61.78,297
229699,61.78,180
230469,61.76,112
242280,61.75,588
137506,61.74,110
213490,61.72,334
234612,61.72,188
188385,61.72,282
210930,61.71,131
238802,61.69,327
242217,61.66,663
236166,61.66,542
236935,61.6,271
225187,61.52,429
203603,61.51,303
208160,61.51,290
211395,61.5,555
176652,61.49,132
216463,61.47,424
230490,61.46,351
223268,61.46,456
244260,61.44,111
225926,61.42,192
212771,61.41,293
172904,61.41,306
236170,61.4,362
190079,61.39,476
198638,61.38,445
238504,61.37,430
212693,61.37,750
199912,61.36,164
222944,61.34,380
236345,61.32,296
