id,Score,Rank
205600,72.57,2
198141,69.44,18
182493,68.96,1
212501,68.96,49
192641,68.28,22
229585,67.92,222
201862,67.83,38
181098,67.74,69
208920,67.38,35
221660,67.21,34
139720,67.19,7
190502,66.88,188
171919,66.87,5
192366,66.73,4
199845,66.58,14
199986,66.57,52
168609,66.38,6
188416,66.36,179
210047,66.02,119
216247,65.94,163
207790,65.87,126
188829,65.7,30
200724,65.61,13
229773,65.55,73
139860,65.48,89
177509,65.43,3
45473,65.27,391
160741,65.23,43
225508,65.1,21
197061,65.09,28
185239,64.85,23
201956,64.81,17
224242,64.78,229
178417,64.67,276
198176,64.6,9
205452,64.59,16
212977,64.53,48
137186,64.26,10
157304,64.26,70
189060,64.24,72
229026,63.95,266
183564,63.86,423
165229,63.83,20
204311,63.82,37
189156,63.79,56
230212,63.79,33
173521,63.72,19
191687,63.71,29
191488,63.67,137
220702,63.65,186
205193,63.59,36
198261,63.57,203
158625,63.43,32
198584,63.4,80
200073,63.39,262
221540,63.38,24
183966,63.31,124
215399,63.24,68
205943,63.23,50
181262,63.15,58
228708,63.12,201
181247,63.06,600
224258,63.06,180
150415,62.99,321
163407,62.94,117
235844,62.85,192
194795,62.83,175
202048,62.74,148
193690,62.65,211
194957,62.63,39
219777,62.62,120
196615,62.52,701
197948,62.46,53
204341,62.43,63
190931,62.34,130
211954,62.32,414
225100,62.31,45
187517,62.24,71
187132,62.22,102
205989,62.19,162
225024,62.18,83
225161,62.0,44
213331,61.94,11
229270,61.92,123
206222,61.91,160
200752,61.89,62
236987,61.88,270
231838,61.87,212
186296,61.87,164
177285,61.82,465
188917,61.81,797
192766,61.78,178
240359,61.77,275
142942,61.74,199
186130,61.68,139
153260,61.64,55
164468,61.63,31
184626,61.57,145
200607,61.54,51
211320,61.53,15
210520,61.46,152
204639,61.46,12
183969,61.43,213
162890,61.4,301
183285,61.39,41
183781,61.33,174
230981,61.31,447
207660,61.28,523
179515,61.23,146
194163,61.18,549
169115,61.14,42
158956,61.13,226
216655,61.13,46
199761,61.05,197
201886,61.0,563
199674,60.97,280
223033,60.96,64
245664,60.95,161
212516,60.94,361
205705,60.93,26
162508,60.91,169
142818,60.9,343
215051,60.88,57
226221,60.86,95
195363,60.86,110
202849,60.85,27
171900,60.8,550
189235,60.8,443
213404,60.8,476
139229,60.7,496
189701,60.69,181
183129,60.65,90
220477,60.64,25
161644,60.61,202
140620,60.6,66
199813,60.6,658
183491,60.57,82
177684,60.57,286
23823,60.56,236
156478,60.55,629
137359,60.53,559
186253,60.5,320
211999,60.45,142
183855,60.45,61
225673,60.44,207
202977,60.44,683
146558,60.43,382
229384,60.42,605
48745,60.4,255
198560,60.39,478
221413,60.37,498
185010,60.37,215
193714,60.32,79
189433,60.31,40
216778,60.3,168
190531,60.26,88
226616,60.26,244
231263,60.25,200
221219,60.18,59
228295,60.15,98
223046,60.11,245
135742,60.1,147
223751,60.09,182
202697,60.09,167
190180,60.08,685
210897,60.08,129
184037,60.07,134
142329,60.07,415
201049,60.06,67
166919,60.05,421
234679,60.04,484
198971,60.04,528
221422,60.02,227
191648,60.02,125
226798,59.97,505
212253,59.96,240
243748,59.95,1077
188762,59.87,249
171682,59.87,770
231111,59.82,166
187013,59.76,260
214639,59.73,118
237221,59.71,268
187113,59.7,1162
211263,59.7,87
236331,59.68,113
188182,59.67,108
241854,59.63,399
203884,59.62,154
192476,59.61,132
212190,59.6,8
224811,59.59,86
184477,59.57,54
234816,59.55,369
198474,59.53,246
187415,59.5,238
199409,59.46,349
53914,59.46,75
217196,59.42,91
237404,59.41,308
219787,59.37,263
176285,59.35,76
214217,59.32,402
169389,59.26,1007
239136,59.26,433
165536,59.25,94
204936,59.24,261
192091,59.24,250
241746,59.23,305
232144,59.23,100
172411,59.21,462
234986,59.18,135
203026,59.17,424
237209,59.15,210
180759,59.14,707
198076,59.13,217
209669,59.11,234
233219,59.1,233
220302,59.08,209
179778,59.08,946
214765,59.07,592
186521,59.06,74
205194,59.0,158
189397,58.97,404
209997,58.96,116
155694,58.93,441
241489,58.91,643
201342,58.85,205
181560,58.8,191
192363,58.78,542
192621,58.76,310
232661,58.73,584
177571,58.73,324
225853,58.72,942
208607,58.69,225
234716,58.68,340
164529,58.64,327
199550,58.59,156
203256,58.57,508
204121,58.57,375
213000,58.56,105
214136,58.55,204
214930,58.55,471
177657,58.54,804
220089,58.54,396
164462,58.52,460
212795,58.5,444
212889,58.49,264
225202,58.45,869
183288,58.45,231
208462,58.45,452
199776,58.44,252
232693,58.4,177
188654,58.4,228
209840,58.38,269
166853,58.35,779
229064,58.31,489
215466,58.29,47
221443,58.28,1058
230578,58.26,78
162315,58.26,422
208169,58.23,439
226803,58.23,230
205340,58.21,85
222027,58.16,727
163761,58.14,96
189709,58.09,107
200917,58.05,882
239822,58.04,403
213323,58.02,248
198614,58.0,101
221986,57.99,711
203780,57.99,352
172077,57.99,189
210249,57.93,1088
210787,57.93,376
207954,57.93,454
235658,57.93,468
239210,57.91,256
222576,57.88,545
182179,57.84,77
202073,57.84,646
227106,57.84,290
205469,57.83,93
231361,57.82,97
229150,57.76,359
232310,57.74,155
226583,57.73,427
211009,57.72,370
205556,57.72,350
225341,57.69,529
239841,57.69,408
162123,57.66,194
178684,57.65,418
230221,57.65,533
219585,57.65,1020
213922,57.63,768
207624,57.63,235
225263,57.62,176
212204,57.61,136
241381,57.6,588
215228,57.57,165
237226,57.56,665
241775,57.55,311
181456,57.55,221
202322,57.54,732
227362,57.54,291
211691,57.53,504
203618,57.52,539
234814,57.51,630
178746,57.49,366
232132,57.48,577
225060,57.48,187
209071,57.46,1009
230378,57.45,503
186721,57.45,538
210862,57.45,127
206553,57.44,172
169158,57.44,488
199464,57.44,520
146974,57.43,617
182816,57.43,518
234575,57.42,151
158305,57.41,957
241538,57.36,977
212449,57.34,173
177099,57.32,679
233158,57.32,1248
231823,57.32,470
198721,57.3,719
202803,57.26,715
236355,57.24,149
211592,57.24,157
173179,57.22,258
200228,57.18,60
226506,57.16,781
214986,57.15,334
178032,57.14,312
222598,57.14,319
186817,57.13,218
220534,57.09,380
196935,57.08,193
163640,57.07,527
237604,57.07,112
166072,57.06,81
193716,57.03,569
237352,57.01,1379
220197,56.99,926
163998,56.98,564
198810,56.97,322
244646,56.95,393
214507,56.95,792
237086,56.94,241
163083,56.91,106
182905,56.89,747
202162,56.88,669
193267,56.87,277
212772,56.86,111
176717,56.81,196
210280,56.79,458
242614,56.79,395
226785,56.77,884
222830,56.76,544
197154,56.74,360
220429,56.71,354
211107,56.69,214
203850,56.69,449
209452,56.67,931
204211,56.65,670
208645,56.64,603
162893,56.63,195
226538,56.63,1264
173256,56.61,780
209547,56.6,121
186103,56.58,1054
233413,56.57,400
214129,56.56,257
204451,56.54,392
230220,56.53,641
221619,56.53,568
225532,56.52,1273
244204,56.51,347
245099,56.48,843
219743,56.47,840
163418,56.46,153
219180,56.46,293
225013,56.45,694
215344,56.45,294
225908,56.42,652
187298,56.41,565
186172,56.41,828
105866,56.4,384
156164,56.4,510
198178,56.38,620
206520,56.38,1014
207555,56.38,128
230413,56.37,514
210555,56.35,315
202058,56.35,150
224186,56.35,398
165880,56.35,1055
200653,56.32,170
198868,56.32,223
208914,56.31,285
240081,56.31,782
224986,56.3,586
191679,56.3,876
