id,Score,Rank
135507,77.7,4
209499,77.36,5
200145,76.73,2
180206,76.55,3
189712,75.81,10
178562,74.93,8
158963,74.69,15
209989,74.6,12
189251,74.19,20
202642,73.87,44
193198,73.85,47
201519,73.8,29
191202,73.8,7
189423,73.7,33
190761,73.62,82
205407,73.4,26
176930,73.23,65
189511,73.23,1
199823,72.65,30
200888,72.35,9
230234,72.24,17
205895,72.21,85
211093,72.13,93
176731,72.09,36
202335,72.05,18
212153,71.99,42
188942,71.98,21
186351,71.94,121
163711,71.9,23
184134,71.84,34
155887,71.75,73
199601,71.74,95
201144,71.58,19
219391,71.52,60
223154,71.52,117
187421,71.45,80
230431,71.31,40
187936,71.3,13
208620,71.3,43
220245,71.27,87
216385,71.22,108
204277,70.98,27
188005,70.92,22
199158,70.83,100
189506,70.79,52
213629,70.73,56
170797,70.73,37
192767,70.6,194
177358,70.58,35
183520,70.52,188
216706,70.41,114
200754,70.4,127
235173,70.31,116
200215,70.28,61
186912,70.17,104
161754,70.16,48
230936,70.14,62
178007,70.02,133
207566,69.98,6
198118,69.88,31
134820,69.85,57
208230,69.85,68
240190,69.85,162
214332,69.73,51
188413,69.69,150
232244,69.64,39
158905,69.59,71
188253,69.57,54
214988,69.54,182
177610,69.53,11
202087,69.5,112
193311,69.44,64
222077,69.44,91
194020,69.43,99
163186,69.42,168
183376,69.4,14
202399,69.34,175
183453,69.33,219
181402,69.32,69
239641,69.3,63
202325,69.3,28
224081,69.29,130
200302,69.28,113
233943,69.28,185
214717,69.24,181
174859,69.22,75
164959,69.19,111
203594,69.18,296
182882,69.09,55
205818,69.05,193
236699,69.04,141
201257,68.97,160
205897,68.94,66
186143,68.89,103
230530,68.87,172
189560,68.86,32
193116,68.84,89
158810,68.83,88
219712,68.77,84
142499,68.76,142
206167,68.72,110
189606,68.62,46
177981,68.61,128
178625,68.51,72
146460,68.5,50
149185,68.48,97
225945,68.45,94
188600,68.43,180
229526,68.35,174
210000,68.35,348
222028,68.3,25
207733,68.28,169
186385,68.26,126
221016,68.25,67
152996,68.25,58
204676,68.21,263
199282,68.17,214
223695,68.15,184
181681,68.1,143
204153,68.1,306
222715,68.07,59
244253,68.0,102
206506,67.92,221
137351,67.9,38
177877,67.88,376
197961,67.87,347
156988,67.86,207
188768,67.85,90
165190,67.73,163
208298,67.72,506
23466,67.71,315
155984,67.68,53
193420,67.64,173
214025,67.62,239
216054,67.56,74
214998,67.56,324
189218,67.56,105
182670,67.54,139
200773,67.53,109
240095,67.44,330
157503,67.42,83
164568,67.39,327
217287,67.38,224
229857,67.34,189
181971,67.3,323
201698,67.28,279
186453,67.23,253
218687,67.22,248
163625,67.16,241
173673,67.12,416
190528,67.08,208
235997,67.06,119
203864,67.02,134
181006,66.99,199
199284,66.98,362
204493,66.95,183
190467,66.85,237
238856,66.85,124
202311,66.84,249
202889,66.82,309
236264,66.82,231
181483,66.82,147
235945,66.81,70
204024,66.75,16
226515,66.72,227
188876,66.64,98
223498,66.64,198
157741,66.62,292
170082,66.6,354
212079,66.56,136
211382,66.51,96
169432,66.51,228
242380,66.41,225
229053,66.4,320
208602,66.38,378
221250,66.37,129
214394,66.29,41
240316,66.29,318
160770,66.29,195
177793,66.25,494
183691,66.25,310
198654,66.24,235
229739,66.22,135
203446,66.2,271
198702,66.19,343
177521,66.15,305
200542,66.11,255
230144,66.11,151
174669,66.08,298
190474,66.06,529
233145,66.04,512
226289,66.04,149
184606,66.04,157
191726,66.02,120
179544,66.01,164
187659,65.99,76
160292,65.98,290
204193,65.94,176
199562,65.88,115
216097,65.87,81
190084,65.87,137
210697,65.87,154
236496,65.86,226
226161,65.85,24
203435,65.83,179
212424,65.82,144
208422,65.82,340
212121,65.78,311
230261,65.78,417
223740,65.77,234
52498,65.75,156
216335,65.71,77
172113,65.71,86
203225,65.69,443
214594,65.69,295
187489,65.66,300
208384,65.66,284
236527,65.65,148
212377,65.64,312
178051,65.62,92
208637,65.62,387
234078,65.6,212
199159,65.58,452
184376,65.57,475
188763,65.55,166
219864,65.51,278
207805,65.4,223
203024,65.4,155
137109,65.37,140
234622,65.36,171
213092,65.36,213
198094,65.29,518
189412,65.29,331
232487,65.28,204
221753,65.26,161
184944,65.24,361
222982,65.23,153
219837,65.2,273
218208,65.2,256
156662,65.2,282
214198,65.17,434
229605,65.14,380
215157,65.13,170
169607,65.1,264
206035,65.08,440
177974,65.06,107
203138,65.0,262
238072,64.91,283
126883,64.9,428
54033,64.89,125
219617,64.89,230
137267,64.89,473
197975,64.77,299
202164,64.72,317
207894,64.72,49
237890,64.7,400
211595,64.67,364
208769,64.63,261
208309,64.55,369
135891,64.55,277
210492,64.55,344
169708,64.51,190
158089,64.48,217
224591,64.43,210
235253,64.43,450
231212,64.43,243
225502,64.41,229
235041,64.4,202
6826,64.37,178
198322,64.36,316
186135,64.35,289
193715,64.35,578
179528,64.34,209
210010,64.31,165
221860,64.3,177
197953,64.29,346
213697,64.28,274
163303,64.27,280
183893,64.25,132
176903,64.16,123
219492,64.15,556
208137,64.14,101
229891,64.14,528
196991,64.1,260
202819,64.09,477
53073,64.08,406
205585,64.05,200
192329,64.05,251
234002,64.05,288
228782,64.04,222
221269,64.01,131
139862,63.99,254
239021,63.96,507
152828,63.96,385
213170,63.94,269
225699,63.93,267
198379,63.93,232
221279,63.92,352
225071,63.88,470
223190,63.85,325
212485,63.84,458
221664,63.82,444
245748,63.8,596
241096,63.8,374
160309,63.76,294
240982,63.75,349
244270,63.74,244
146947,63.71,152
199576,63.7,45
193847,63.69,206
190690,63.67,695
241804,63.64,365
199897,63.61,186
188931,63.6,122
53593,63.59,410
201845,63.58,363
221801,63.57,487
220895,63.56,694
216371,63.53,246
215328,63.53,338
224875,63.48,488
177448,63.48,106
216834,63.45,389
212624,63.45,676
199598,63.45,508
177137,63.44,191
187818,63.43,577
167926,63.43,451
228240,63.32,571
191192,63.32,377
209737,63.32,402
229753,63.31,564
245035,63.3,467
190554,63.28,411
186449,63.26,480
213763,63.25,196
234553,63.24,547
53827,63.23,710
170879,63.23,419
169710,63.22,281
214018,63.18,236
206115,63.16,158
201869,63.15,496
183356,63.15,398
215240,63.14,373
189730,63.11,339
216237,63.1,430
231222,63.07,614
184142,63.06,405
232623,63.05,368
228644,63.05,159
208929,63.04,465
226686,63.0,307
204939,62.96,265
206538,62.94,375
221552,62.94,360
228827,62.93,328
223272,62.91,341
224542,62.88,240
205153,62.85,623
219587,62.83,437
203456,62.83,643
198007,62.81,563
223097,62.8,632
204787,62.8,594
236145,62.76,258
225252,62.76,146
230439,62.75,291
238595,62.75,457
229391,62.74,78
164610,62.73,334
153164,62.72,252
234006,62.65,461
214413,62.64,218
176357,62.63,382
212990,62.6,653
177955,62.59,203
241092,62.59,517
200130,62.58,514
229317,62.56,321
229882,62.53,384
214435,62.49,427
219636,62.49,449
164470,62.48,259
228332,62.47,332
242079,62.46,313
189905,62.46,584
214046,62.41,538
210867,62.4,432
138390,62.36,573
230684,62.36,609
239209,62.3,624
224095,62.26,555
219164,62.24,395
237541,62.23,381
190176,62.23,379
236817,62.22,392
216288,62.21,588
240964,62.2,401
213221,62.19,590
234660,62.17,429
216449,62.15,308
205216,62.15,426
178590,62.15,635
226541,62.12,523
220357,62.12,372
195087,62.12,79
245021,62.08,201
206317,62.08,233
232090,62.06,502
229803,62.06,367
226265,62.05,520
235425,62.04,504
144415,62.04,464
177404,62.04,386
229038,62.04,268
235781,62.03,238
229467,62.01,351
191843,62.0,301
187035,61.98,679
239957,61.98,481
223125,61.95,499
233840,61.91,304
228151,61.87,544
230247,61.81,358
214969,61.81,370
182094,61.81,404
183894,61.8,483
202524,61.76,463
234372,61.71,495
232406,61.71,326
216019,61.66,118
208898,61.64,285
657,61.64,497
110787,61.6,275
191548,61.59,616
213325,61.54,297
214177,61.54,503
208088,61.53,145
214323,61.51,205
244967,61.48,521
195687,61.46,302
211671,61.44,441
230253,61.43,303
227932,61.41,211
239670,61.4,247
214343,61.36,250
178006,61.36,482
193757,61.34,329
202243,61.33,455
