id,Score,Rank
187072,80.1,4
144622,77.23,5
184431,76.4,2
194365,74.91,10
192064,74.89,6
191565,74.58,8
215590,74.35,7
198706,74.19,1
213582,72.57,9
205175,72.36,3
170369,72.19,11
188674,71.96,20
208451,71.4,13
234889,70.77,23
194171,70.54,22
199266,69.96,21
228666,69.89,12
189485,69.7,14
214000,69.65,24
215202,69.28,17
221662,68.59,28
232730,68.34,18
201290,67.81,19
207629,67.35,33
229517,67.24,16
204850,67.21,27
202848,67.02,15
241994,66.32,25
211850,66.22,31
231502,65.9,30
209062,65.64,35
233182,65.42,37
226266,65.01,32
237513,64.3,36
223746,63.42,26
246239,63.41,29
233181,63.15,50
207510,63.08,45
242284,62.96,43
238196,62.54,44
236678,62.28,38
232479,62.18,39
233568,62.14,41
225654,61.84,34
237665,61.42,42
236339,60.87,40
212991,60.58,61
228714,60.11,54
233180,59.84,59
243955,59.77,60
221767,59.64,46
245155,59.32,58
245639,58.84,48
239892,58.8,51
245693,58.58,53
240038,58.45,55
242257,57.86,47
244635,57.58,49
246316,57.29,65
242433,56.66,63
241186,56.51,57
238995,56.41,69
232727,56.39,56
194248,55.96,62
239474,55.86,66
243524,55.67,68
244023,54.69,52
242566,54.63,70
237321,54.47,67
245536,51.94,64
244446,51.92,71
245767,51.59,72
245624,50.97,73
246399,49.08,74
