id,Score,Rank
193080,60.21,1
167495,59.79,5
174543,58.9,99
210257,58.6,10
204935,57.64,21
200389,56.88,2
1179,56.49,8
163301,56.48,152
192448,55.77,3
199482,55.74,13
193041,55.52,9
167948,55.41,6
178005,55.27,28
163587,55.27,19
182494,55.24,48
226753,55.14,50
192119,55.08,4
177683,54.98,29
212831,54.94,11
176645,54.9,503
201095,54.86,113
203042,54.74,56
178750,54.58,17
169181,54.54,195
176919,54.4,102
230621,54.27,34
192593,54.08,25
186153,54.03,12
194404,53.9,23
177723,53.9,79
209307,53.89,93
192563,53.89,15
189690,53.8,58
162835,53.68,7
178086,53.66,27
221087,53.46,36
199005,53.41,75
199987,53.39,37
176630,53.34,430
167628,53.22,18
198009,53.16,14
199575,53.06,117
49000,53.0,178
220407,52.98,90
177644,52.92,80
53739,52.9,236
189117,52.89,39
173373,52.87,62
200316,52.68,22
24630,52.57,32
163705,52.51,30
183666,52.47,112
186953,52.46,108
189357,52.46,187
193105,52.41,47
5479,52.21,44
214110,52.18,136
215316,52.17,51
221130,52.11,191
148684,52.1,348
163264,52.08,84
190778,52.07,57
230318,52.05,147
132740,51.96,182
192984,51.92,38
146296,51.76,141
201325,51.69,74
137677,51.63,122
139668,51.57,116
193698,51.57,24
216065,51.56,91
176526,51.48,273
209960,51.46,53
140293,51.46,65
214584,51.44,52
231691,51.43,87
199339,51.41,557
180714,51.4,101
47201,51.38,137
198513,51.28,97
205186,51.23,216
205211,51.22,278
220604,51.2,148
222900,51.16,226
164835,51.14,49
230168,51.14,35
104389,51.14,31
168435,51.05,40
203841,50.92,55
49031,50.88,67
156433,50.84,158
187570,50.82,118
163489,50.82,42
203775,50.8,73
179783,50.78,26
215985,50.77,282
146748,50.74,64
206652,50.72,72
205942,50.72,213
110677,50.71,66
206585,50.68,20
188524,50.67,111
225647,50.64,71
178571,50.62,272
150724,50.6,85
190459,50.6,298
164853,50.58,358
135451,50.56,103
172723,50.56,83
185122,50.52,61
227127,50.49,106
168354,50.48,41
192009,50.46,198
163806,50.45,100
240704,50.44,1425
142902,50.42,105
143632,50.38,201
173426,50.36,82
224836,50.3,382
188943,50.28,59
150477,50.28,232
200463,50.24,200
186681,50.24,207
156092,50.22,120
115533,50.22,109
111661,50.2,164
199493,50.17,134
14907,50.16,133
206003,50.1,189
165493,50.08,265
234492,50.08,704
48940,50.04,43
148119,50.03,63
121933,49.99,86
142959,49.95,140
156483,49.93,381
16097,49.92,423
176550,49.89,81
182629,49.89,138
201976,49.88,155
169321,49.88,389
213732,49.86,92
204549,49.84,241
176895,49.82,707
188094,49.8,410
204120,49.77,54
217646,49.73,375
190569,49.72,325
165564,49.7,565
189324,49.7,114
232226,49.68,131
53110,49.68,215
179820,49.62,212
200159,49.62,353
228736,49.6,269
159265,49.58,307
162220,49.56,223
172939,49.56,271
215698,49.54,184
183141,49.52,176
198962,49.5,625
190209,49.5,125
140233,49.5,121
176345,49.47,352
216597,49.42,925
193182,49.42,338
172203,49.42,145
215223,49.42,119
146952,49.41,127
190941,49.4,16
211990,49.36,130
200212,49.36,129
156253,49.35,257
186098,49.34,237
230312,49.32,68
212442,49.31,123
200110,49.3,188
208616,49.24,592
230165,49.23,159
140029,49.23,434
139062,49.22,132
204367,49.2,209
179954,49.18,154
185181,49.16,135
125586,49.14,663
189586,49.06,399
197439,49.06,379
220048,49.04,334
190113,49.03,339
229909,48.99,69
201931,48.96,230
215069,48.94,202
183497,48.94,78
156412,48.93,197
165769,48.92,183
148496,48.9,302
187857,48.88,1094
193186,48.88,279
105308,48.86,466
161663,48.81,330
186148,48.81,77
192397,48.81,217
139727,48.8,416
192129,48.8,331
197851,48.79,688
216478,48.78,1070
223923,48.78,1080
163873,48.78,203
204240,48.76,96
199641,48.76,151
179547,48.73,465
107298,48.73,162
209981,48.71,107
186511,48.69,333
140183,48.68,976
144172,48.68,205
200798,48.67,173
170597,48.66,262
168965,48.66,366
167666,48.64,357
186569,48.64,60
193331,48.6,250
212067,48.6,174
52326,48.58,323
152211,48.57,185
193277,48.56,435
208104,48.55,94
202410,48.54,186
110974,48.53,268
192358,48.52,139
234777,48.52,161
174542,48.5,289
16254,48.5,328
223952,48.49,89
182224,48.48,579
223573,48.48,320
193772,48.48,595
190243,48.47,76
205659,48.46,95
219754,48.46,211
182347,48.4,1516
230317,48.4,146
212948,48.4,492
181256,48.4,157
189908,48.39,150
227290,48.39,70
190120,48.38,222
172837,48.38,616
121937,48.38,254
198350,48.37,414
181468,48.33,1002
240493,48.33,180
105846,48.32,214
2147,48.3,261
223550,48.3,378
162328,48.29,512
209987,48.29,456
214703,48.26,559
177475,48.25,208
202811,48.21,314
235312,48.2,450
190947,48.19,294
204308,48.18,245
205878,48.16,251
173857,48.14,204
183475,48.12,225
222411,48.12,413
211101,48.08,144
142998,48.08,665
158121,48.08,98
114764,48.07,170
139476,48.06,685
205409,48.05,210
185427,48.04,319
199568,48.03,274
216939,48.02,179
224599,48.02,255
176994,48.0,110
135646,47.97,1299
184436,47.93,264
225116,47.92,172
200726,47.9,46
153275,47.89,228
186990,47.86,390
222464,47.84,362
204354,47.84,741
175934,47.83,455
186882,47.82,436
194934,47.82,474
212151,47.8,45
155871,47.79,354
230320,47.79,224
214462,47.78,285
201138,47.78,560
206075,47.78,196
200059,47.78,475
203239,47.78,295
155998,47.76,839
215251,47.74,194
217805,47.74,192
206402,47.74,632
156437,47.72,444
51261,47.72,453
182047,47.68,1132
215086,47.67,374
146636,47.67,682
162054,47.65,504
105533,47.64,739
194781,47.62,124
230330,47.6,284
226379,47.58,88
182736,47.58,193
230872,47.58,792
188938,47.57,243
170084,47.57,175
49472,47.54,169
228505,47.54,667
187208,47.54,459
142258,47.52,404
191628,47.52,115
18771,47.51,640
193314,47.51,308
211033,47.5,463
222511,47.5,311
210327,47.5,219
211327,47.5,329
146996,47.48,627
202789,47.46,104
194094,47.45,1251
207557,47.44,149
188400,47.43,356
162265,47.42,886
219793,47.4,218
229692,47.39,524
183567,47.37,301
239272,47.36,221
166764,47.35,471
184926,47.34,258
230167,47.33,717
186680,47.33,206
190780,47.32,452
189084,47.32,220
144160,47.32,613
216325,47.32,365
206549,47.3,493
148212,47.27,238
169697,47.26,293
165735,47.25,177
234994,47.24,596
182622,47.2,756
159520,47.19,368
18122,47.18,288
164505,47.18,276
182270,47.18,601
224900,47.18,332
209109,47.18,494
220901,47.18,496
212197,47.17,235
204092,47.16,523
155344,47.14,290
175897,47.11,304
230323,47.1,190
219244,47.08,470
220624,47.06,417
171895,47.06,851
188836,47.05,777
214979,47.04,229
199101,47.03,346
214076,47.03,168
170632,47.03,547
215502,47.02,415
116917,47.02,562
106795,47.02,371
236583,47.01,33
135043,47.0,656
205849,46.99,160
142775,46.98,485
215212,46.98,342
189430,46.97,431
215417,46.96,266
214440,46.96,555
191011,46.96,163
211515,46.95,377
182470,46.95,1210
177152,46.94,501
180739,46.92,364
193244,46.9,584
164484,46.9,395
209332,46.89,561
53736,46.89,798
197233,46.88,391
224041,46.87,729
9833,46.87,540
166097,46.86,581
194904,46.85,256
178211,46.84,514
166713,46.83,1512
228413,46.82,252
182435,46.82,280
181481,46.82,296
217813,46.82,350
227275,46.81,231
207427,46.8,742
207935,46.8,253
193247,46.8,234
203423,46.78,550
212632,46.78,479
190769,46.74,312
214503,46.72,796
233306,46.72,321
193786,46.7,240
148526,46.68,373
200698,46.67,702
193030,46.67,505
181976,46.64,1000
222779,46.62,522
138798,46.58,372
138247,46.58,438
207998,46.58,267
173178,46.58,653
199417,46.57,156
194730,46.55,402
121134,46.55,310
204380,46.54,642
157804,46.54,263
172553,46.54,128
207683,46.54,316
195668,46.52,171
204424,46.51,768
189707,46.5,199
216245,46.5,783
193222,46.5,487
182520,46.5,432
223249,46.46,244
225701,46.46,340
204062,46.46,446
233999,46.45,443
214190,46.44,343
116314,46.44,836
226786,46.42,693
192613,46.42,388
224846,46.38,747
32740,46.38,355
229402,46.38,927
204246,46.36,292
198625,46.36,692
167931,46.36,361
189342,46.35,337
214582,46.35,520
235582,46.35,818
139213,46.33,882
221584,46.32,335
204234,46.32,287
183347,46.31,938
158657,46.31,411
171033,46.3,610
213729,46.29,588
215250,46.28,291
150659,46.28,546
128529,46.26,507
215414,46.25,327
169423,46.23,577
243952,46.22,153
182043,46.22,306
188657,46.22,498
169493,46.21,510
110638,46.21,249
219736,46.2,385
158777,46.19,167
173895,46.19,744
204842,46.18,619
157734,46.18,931
224003,46.17,363
213573,46.16,529
222342,46.14,856
176772,46.14,396
136601,46.13,869
210923,46.12,425
211348,46.12,400
178283,46.12,469
200629,46.11,678
191528,46.11,1248
199833,46.09,143
212518,46.09,515
209750,46.08,1157
171992,46.08,687
47020,46.08,779
101880,46.05,359
143306,46.05,347
208679,46.04,448
209830,46.04,671
229444,46.04,457
190745,46.04,513
230869,46.02,351
202873,46.02,394
184139,46.02,460
173533,46.01,690
140498,46.01,419
186781,46.0,480
189920,46.0,422
209483,46.0,383
215123,46.0,462
232543,45.99,259
205894,45.98,634
230314,45.98,556
159436,45.96,576
186998,45.96,650
216175,45.95,543
204966,45.94,554
215213,45.94,482
205122,45.94,380
193336,45.94,313
244020,45.93,735
211604,45.92,863
230332,45.92,409
213428,45.92,984
230319,45.91,403
226085,45.89,369
235213,45.89,1091
230166,45.86,716
182207,45.82,569
223352,45.79,1054
230324,45.78,227
229091,45.78,695
194050,45.78,603
223727,45.78,901
202469,45.78,794
201875,45.76,771
193076,45.76,736
205874,45.76,626
219637,45.76,1228
233998,45.74,606
229655,45.73,1027
186494,45.72,853
162052,45.72,437
229541,45.72,553
101473,45.71,537
226182,45.7,1276
230169,45.67,445
197928,45.64,1034
235590,45.64,822
226285,45.64,497
140082,45.63,165
205352,45.62,449
228860,45.6,600
233267,45.6,518
205724,45.6,871
213344,45.58,1354
224953,45.57,407
142962,45.57,472
189936,45.56,699
206218,45.56,270
230170,45.56,246
182359,45.55,1436
146637,45.52,349
246010,45.51,907
213954,45.51,572
194333,45.51,247
200332,45.51,142
185129,45.5,370
163616,45.5,723
224987,45.5,421
202215,45.5,894
184630,45.5,939
202810,45.49,628
218298,45.47,564
203815,45.46,932
232562,45.46,392
198040,45.46,773
232229,45.46,309
223686,45.45,679
163056,45.45,426
193312,45.44,724
197496,45.43,651
223709,45.42,585
212710,45.42,424
234383,45.42,660
220932,45.4,126
224440,45.39,345
196983,45.39,1272
171574,45.39,737
183743,45.38,570
185405,45.34,454
183315,45.32,609
49212,45.32,629
225511,45.32,1006
210941,45.31,909
183513,45.31,583
192922,45.3,401
20551,45.3,458
230328,45.3,283
220720,45.29,623
190195,45.29,598
138026,45.27,516
170008,45.26,719
222562,45.26,386
217277,45.24,987
214730,45.22,681
214587,45.22,940
226300,45.21,1116
202630,45.21,657
181702,45.2,1754
193889,45.19,645
188017,45.18,649
178022,45.18,758
205496,45.18,563
191827,45.16,1153
205812,45.16,428
161776,45.15,1109
186611,45.15,800
211738,45.15,305
171490,45.15,793
199103,45.14,286
231056,45.14,662
177672,45.14,1123
27532,45.13,859
229255,45.12,398
223690,45.11,575
183031,45.1,1639
186655,45.1,612
193870,45.08,749
235999,45.08,1224
222485,45.07,1021
230175,45.07,248
184763,45.06,986
209333,45.06,484
225983,45.06,880
177508,45.04,538
19541,45.04,1156
182897,45.04,762
177815,45.04,1185
203004,45.03,500
150278,45.02,242
242146,45.01,694
223732,45.01,1010
201352,44.99,767
178143,44.98,1004
223438,44.96,883
161921,44.96,1058
189109,44.96,1203
51694,44.95,1009
216110,44.92,1250
221468,44.92,809
165502,44.92,1057
175141,44.9,930
214271,44.89,706
198355,44.88,997
241976,44.88,376
135587,44.87,552
234833,44.87,534
209572,44.84,1192
188278,44.83,964
224251,44.83,599
191655,44.82,673
169415,44.82,1089
177340,44.81,785
188272,44.81,848
236823,44.8,511
223071,44.8,467
194150,44.8,759
173531,44.77,689
217649,44.76,624
243201,44.76,1119
233282,44.75,633
225678,44.74,975
214222,44.74,995
204534,44.73,801
152552,44.72,1305
231073,44.72,551
120243,44.71,1202
182206,44.71,1083
221601,44.71,775
204513,44.7,587
160295,44.69,1033
237419,44.68,326
209874,44.68,491
234790,44.68,617
227477,44.66,772
201269,44.65,166
221912,44.64,420
144024,44.62,1186
216692,44.61,393
163135,44.61,1149
238489,44.6,774
212432,44.58,233
222951,44.58,696
111328,44.58,1102
215130,44.57,464
202910,44.57,669
156920,44.56,700
181694,44.54,567
192665,44.54,277
228182,44.54,832
213615,44.54,761
193359,44.52,533
205747,44.52,1201
214351,44.52,638
163600,44.52,303
171019,44.52,918
214187,44.5,674
202854,44.49,1165
54008,44.49,1229
229637,44.48,708
186941,44.47,315
205288,44.46,1007
185149,44.45,630
224977,44.43,490
193302,44.43,807
192201,44.42,574
241247,44.41,322
192500,44.41,904
172198,44.41,672
170448,44.4,684
190698,44.38,799
184040,44.38,593
207708,44.38,643
227186,44.37,473
238033,44.37,418
208894,44.36,705
196885,44.36,509
209318,44.36,1196
206555,44.35,1099
205068,44.35,604
194916,44.34,387
236378,44.34,835
178312,44.32,972
224702,44.32,988
223898,44.32,336
208968,44.31,635
220944,44.31,804
230727,44.3,531
225710,44.29,875
162297,44.28,239
208782,44.28,658
241781,44.28,850
198511,44.27,542
208958,44.27,943
114356,44.26,677
206412,44.25,637
200466,44.24,713
53960,44.24,1544
184084,44.22,715
194372,44.22,528
224761,44.21,802
156438,44.2,1023
230172,44.2,722
199245,44.2,952
215085,44.19,731
158784,44.19,526
231545,44.19,181
186147,44.18,1247
185118,44.18,1031
192857,44.18,1262
227163,44.17,641
189061,44.17,397
211021,44.16,532
185172,44.16,384
162952,44.15,971
214704,44.13,876
230321,44.12,781
214432,44.12,1072
220433,44.12,923
193035,44.11,1403
197689,44.11,451
201936,44.1,578
214088,44.1,825
155886,44.1,899
214425,44.08,1462
235856,44.06,954
176384,44.06,1013
187619,44.05,1103
190792,44.04,746
11381,44.04,764
149309,44.04,525
209990,44.04,317
213272,44.04,718
224010,44.02,711
152456,44.02,970
233156,44.02,991
234717,44.0,1223
239846,44.0,591
203034,44.0,1129
176583,43.98,680
182422,43.96,867
202199,43.95,791
243554,43.94,844
117063,43.93,824
219836,43.92,784
205377,43.92,1150
211946,43.92,594
213545,43.92,728
188597,43.92,405
206379,43.92,517
209757,43.91,838
210366,43.91,786
183597,43.9,935
189267,43.9,536
138786,43.9,1573
214274,43.9,502
53756,43.89,1314
215533,43.88,898
236515,43.88,1005
213719,43.87,885
210140,43.86,888
213314,43.86,945
210385,43.86,580
