id,Score,Rank
173208,76.04,29
172871,75.29,4
195861,74.6,28
178603,74.3,2
179944,74.09,12
121944,73.5,33
112316,73.38,25
185221,72.95,11
203376,72.74,5
212218,70.72,8
201305,70.55,16
225850,70.34,10
229668,70.25,58
165109,70.0,31
172529,69.94,241
225711,69.85,34
240130,69.83,39
240679,69.82,116
181786,69.73,18
186456,69.44,90
194753,69.21,166
201922,69.06,50
182495,69.03,45
170159,68.85,134
204525,68.82,35
230375,68.77,9
167524,68.65,183
234774,68.64,113
198023,68.57,93
176992,68.41,182
108061,68.36,253
146963,68.16,47
235454,68.06,105
199060,68.04,229
203485,67.95,42
203263,67.87,15
199669,67.84,110
193469,67.81,17
212219,67.69,77
158800,67.57,154
190520,67.5,86
138956,67.37,1
229237,67.25,21
201377,67.12,26
199206,67.1,27
193440,67.0,97
177458,66.98,24
146701,66.9,46
205362,66.86,23
53630,66.84,159
199667,66.82,54
171774,66.81,208
163670,66.26,269
232363,66.15,6
220440,66.1,13
158902,65.99,282
214763,65.89,108
205756,65.77,103
185109,65.71,301
230222,65.7,153
222986,65.6,173
213899,65.6,71
181795,65.48,146
156713,65.43,32
186648,65.3,82
199577,65.22,44
235565,65.08,148
186513,65.08,471
182002,65.04,38
189682,65.0,37
215901,64.84,125
212351,64.82,272
223284,64.73,150
230397,64.71,140
194361,64.63,219
213661,64.61,22
221378,64.56,234
210413,64.46,14
190772,64.41,117
219841,64.4,107
215162,64.33,66
178614,64.28,72
164633,64.18,213
185200,64.08,185
214436,64.06,194
204043,64.06,81
229980,64.05,155
218341,63.9,169
193278,63.82,209
138460,63.8,137
176377,63.78,139
173703,63.76,188
198816,63.65,415
199745,63.64,119
186519,63.6,129
202416,63.59,198
213063,63.53,121
179822,63.52,499
220182,63.51,57
185204,63.5,186
216742,63.48,99
201024,63.4,3
181559,63.34,216
203399,63.3,465
219091,63.27,328
192774,63.21,7
142780,63.14,104
215572,63.1,300
196801,63.08,106
179847,63.03,19
163492,63.02,132
193869,63.02,63
204082,62.94,36
200758,62.78,118
214477,62.66,136
163665,62.62,87
170592,62.6,356
199393,62.6,53
211826,62.58,158
205408,62.53,91
230229,62.51,88
193097,62.48,265
202750,62.45,55
229558,62.44,49
201315,62.44,64
185394,62.43,149
223142,62.42,133
155351,62.37,587
174547,62.36,329
168326,62.36,70
222235,62.36,393
225859,62.28,151
193157,62.22,365
232119,62.21,102
220523,62.19,40
230382,61.96,293
192041,61.93,84
186788,61.89,320
206198,61.88,48
18115,61.8,201
179646,61.8,478
192816,61.73,176
211857,61.73,368
191106,61.67,543
224690,61.67,476
230215,61.64,122
208432,61.64,346
168530,61.63,20
219546,61.5,414
206022,61.49,167
233670,61.48,517
177273,61.38,271
183766,61.34,74
182133,61.33,126
234925,61.31,374
219848,61.3,286
224909,61.29,128
162899,61.26,401
204164,61.23,463
210719,61.17,115
166706,61.14,30
215792,61.12,41
219670,61.1,343
162407,61.1,359
231633,61.07,52
177280,61.07,160
209756,61.04,180
240289,61.0,162
200672,60.98,291
200538,60.94,353
212040,60.86,450
229537,60.83,192
226536,60.79,76
180749,60.76,487
224769,60.66,562
233225,60.63,299
192333,60.62,124
225236,60.61,238
223243,60.59,212
199915,60.58,43
230407,60.58,210
214169,60.57,130
242663,60.57,333
232869,60.55,98
216774,60.55,73
49161,60.54,211
202756,60.53,298
193679,60.49,277
184082,60.48,144
229879,60.46,339
199508,60.44,267
212591,60.42,184
213017,60.4,251
241653,60.38,602
208615,60.32,204
176483,60.32,65
223694,60.3,585
200876,60.26,512
230218,60.24,123
201122,60.19,193
184261,60.17,554
199726,60.14,174
198198,60.11,61
183283,60.08,295
178600,60.08,163
230389,60.07,170
156421,60.06,245
213846,60.03,268
178414,60.0,427
194947,59.99,92
236403,59.98,224
182001,59.92,109
150106,59.88,354
20209,59.86,138
237105,59.84,215
215070,59.84,114
189408,59.83,589
197983,59.8,494
189456,59.78,112
171831,59.76,261
225531,59.75,522
201815,59.66,403
180228,59.64,142
179897,59.63,165
198581,59.63,101
216067,59.62,244
215050,59.6,143
213433,59.6,164
184900,59.58,307
209329,59.58,135
208122,59.48,520
221641,59.47,168
204058,59.45,527
171189,59.4,199
223931,59.39,514
212778,59.38,396
206485,59.35,371
201988,59.35,56
235890,59.33,500
190870,59.32,189
215495,59.26,555
207616,59.26,172
185163,59.23,62
45083,59.18,145
172317,59.18,252
230390,59.18,206
223566,59.18,399
201860,59.17,69
194146,59.14,156
164855,59.14,243
191443,59.14,289
228805,59.13,325
200138,59.13,236
154696,59.08,570
184190,59.06,68
