id,Score,Rank
182521,78.8,1
177413,78.37,7
212198,78.35,5
211117,77.98,6
193283,77.71,16
171877,77.55,3
207410,76.1,8
223959,75.97,13
212886,75.71,39
170815,75.58,22
197965,75.52,9
199556,75.1,4
230658,74.43,12
169195,74.4,18
224293,74.36,19
138699,74.24,43
212811,73.95,30
168542,73.88,2
206511,73.85,31
199626,73.74,42
177600,73.7,21
198760,73.64,53
230251,73.63,25
187366,73.37,80
208535,73.19,72
203483,73.18,26
195365,73.17,10
237239,72.93,41
189410,72.9,44
220854,72.85,40
222509,72.53,17
214770,72.37,60
170370,72.36,38
184271,72.31,59
189177,71.86,111
210831,71.85,69
193337,71.78,84
189271,71.72,27
192612,71.6,91
212755,71.39,36
205391,71.36,51
187043,71.36,94
146562,71.33,23
193849,71.14,85
176009,71.07,68
197813,71.02,56
198426,70.96,113
180283,70.96,49
201223,70.93,98
195096,70.88,81
238744,70.84,93
200054,70.82,37
178085,70.82,33
181318,70.8,50
197242,70.78,32
172287,70.65,35
192636,70.64,92
188154,70.63,61
239732,70.5,125
210688,70.48,137
189490,70.27,145
186801,70.14,55
224309,70.13,28
204156,70.13,54
138918,70.11,74
204412,70.1,104
222994,70.08,29
198133,70.01,227
193550,69.99,112
178287,69.96,102
188992,69.94,88
219809,69.91,20
188152,69.82,11
207471,69.82,15
173147,69.81,173
224185,69.79,179
210533,69.76,124
199829,69.74,71
198129,69.61,45
230850,69.6,107
225439,69.58,73
169808,69.54,146
180250,69.53,164
203796,69.51,62
133249,69.23,127
233195,69.23,135
213884,69.23,105
215118,69.22,100
216354,69.13,14
209610,69.12,58
196916,69.0,116
203067,69.0,86
161468,68.96,75
171018,68.91,46
187878,68.89,157
221931,68.84,96
158438,68.84,79
192026,68.83,140
200689,68.64,200
231521,68.59,101
137406,68.58,181
236499,68.53,109
202458,68.5,154
229788,68.45,106
231077,68.44,219
199584,68.36,177
197681,68.33,83
201220,68.32,138
206577,68.28,110
207412,68.27,63
213498,68.22,136
201965,68.2,160
182343,68.06,118
177279,68.01,175
203604,67.97,120
172768,67.96,78
162981,67.94,130
191066,67.8,121
215076,67.75,168
227689,67.73,149
206114,67.67,82
239433,67.62,89
190416,67.57,132
205686,67.56,126
199762,67.52,209
201438,67.48,156
207559,67.41,108
219792,67.41,70
219755,67.29,192
200223,67.28,114
214378,67.27,150
209359,67.24,225
