id,Score,Rank
187961,79.12,2
215914,78.17,1
216352,76.68,7
199042,76.21,9
176266,75.24,4
216451,74.93,6
205201,74.48,20
169051,74.43,23
226790,74.27,10
211575,73.92,11
176915,73.61,12
184999,73.37,24
213160,73.25,14
228702,72.98,5
199503,72.85,8
190799,72.76,19
168621,72.29,31
222709,72.07,17
207939,72.03,15
143121,71.97,22
187924,71.82,18
187052,71.82,16
230437,71.8,36
142754,71.62,13
199504,71.02,50
193535,70.67,60
196942,70.65,37
162221,70.55,40
178616,70.41,56
205598,70.12,35
211265,70.04,69
177390,70.03,34
230286,70.01,54
178255,69.9,29
202149,69.84,87
204542,69.84,59
233029,69.77,80
199661,69.59,57
202106,69.55,52
172290,69.51,21
174549,69.48,33
183632,69.39,81
196896,69.14,79
220905,69.1,25
177482,68.98,105
223030,68.88,103
226797,68.75,120
167665,68.69,26
237520,68.6,72
222844,68.56,38
202238,68.55,131
189600,68.46,39
159566,68.39,49
228804,68.35,90
214299,68.31,77
174732,68.27,111
219181,68.14,67
181917,67.93,145
207865,67.9,3
186672,67.85,46
189311,67.84,141
222475,67.77,99
231102,67.65,32
184071,67.46,61
226273,67.46,94
200857,67.29,55
223736,67.25,147
189568,67.23,110
210214,67.18,28
224336,67.06,70
230448,67.05,68
189383,66.97,116
200206,66.93,27
228353,66.92,98
200962,66.91,42
203393,66.9,71
210868,66.8,127
208861,66.73,129
204771,66.64,95
211741,66.55,78
230243,66.54,107
241166,66.54,43
244373,66.44,30
183540,66.38,58
193683,66.38,86
222457,66.35,41
236639,66.28,51
165908,66.24,132
241390,65.96,121
193942,65.89,113
230441,65.82,66
234853,65.82,84
159157,65.76,88
172716,65.73,115
211231,65.7,101
196948,65.51,136
162926,65.47,108
199286,65.36,125
177294,65.26,153
222224,65.25,100
230434,65.21,65
201359,65.12,126
230424,65.08,63
200671,65.07,117
145117,64.94,92
186682,64.88,104
244264,64.74,122
230421,64.72,62
214151,64.66,143
230235,64.59,82
230446,64.51,45
170612,64.44,140
200256,64.41,168
228838,64.37,96
214158,64.32,53
237629,64.27,48
240916,64.22,133
213559,64.16,134
210028,64.03,124
176442,63.99,215
219106,63.96,118
152745,63.86,177
217086,63.82,199
207523,63.79,114
209618,63.78,159
200292,63.71,123
230443,63.71,102
227530,63.61,91
193864,63.61,135
161636,63.59,83
230531,63.4,85
167933,63.31,74
177605,63.16,158
189895,63.11,218
224444,63.01,157
210926,62.97,97
215129,62.96,189
180409,62.87,89
193851,62.85,167
237540,62.85,160
224140,62.82,152
163768,62.81,223
206207,62.8,109
216270,62.75,194
177129,62.68,130
227293,62.63,93
222134,62.62,156
209691,62.53,76
238005,62.43,178
203164,62.25,144
222553,62.2,106
232859,62.18,192
162900,62.12,137
232162,61.98,146
152735,61.95,175
192369,61.8,139
219160,61.61,44
232195,61.59,183
240611,61.59,213
232718,61.52,163
213902,61.46,112
234534,61.33,165
214608,61.25,170
206332,61.18,198
194059,61.14,148
223444,61.11,212
227810,61.11,182
229040,61.0,155
214386,60.93,171
235987,60.86,128
232599,60.84,154
224395,60.83,151
233884,60.75,193
229285,60.65,209
223756,60.65,184
234918,60.58,221
177442,60.42,164
223652,60.37,176
211991,60.35,200
237131,60.24,169
211901,60.23,180
244791,60.22,47
230429,60.17,64
211037,60.1,138
206628,59.97,149
210418,59.95,234
213635,59.95,173
236532,59.87,73
232192,59.85,161
242619,59.79,179
233079,59.79,204
206535,59.72,217
204152,59.46,205
182156,59.46,220
172872,59.37,202
207744,59.35,142
211987,59.35,185
209565,59.3,208
237920,59.13,203
242490,59.12,186
203547,58.89,226
221270,58.89,216
197241,58.86,172
214093,58.64,187
244280,58.54,201
159168,58.18,211
230918,58.15,162
242087,58.11,210
214748,58.06,229
172258,57.94,119
209625,57.91,196
159366,57.77,206
214719,57.66,181
193771,57.36,197
235544,57.28,75
238649,57.23,166
223810,56.99,230
240045,56.99,222
199787,56.88,191
230801,56.73,228
235596,56.48,231
177544,56.47,174
237721,56.34,207
240227,56.06,190
233043,55.94,188
243478,55.69,214
244711,55.33,237
182419,54.94,232
204333,54.85,150
239617,54.24,224
220912,54.03,219
241995,53.34,227
242230,53.09,236
235735,53.09,195
236530,52.26,235
234519,51.54,225
222185,51.39,238
243222,51.38,242
241587,50.62,233
240822,50.22,240
234234,49.7,239
237677,48.01,241
243112,47.76,243
