id,Score,Rank
176676,82.66,1
212462,80.02,6
224334,79.89,17
189332,79.44,2
197445,79.42,4
185103,79.25,10
164169,78.89,5
191043,78.74,3
192638,78.53,7
186832,77.74,33
210035,77.04,11
193352,76.97,23
171875,76.73,70
178424,76.42,26
183427,75.95,25
164082,75.84,43
201454,75.56,14
220651,75.23,57
169595,75.18,15
190815,75.09,24
188086,75.05,52
152908,74.88,35
230347,74.65,16
230183,74.58,47
163631,74.54,48
200458,74.5,22
205988,74.47,20
201510,74.43,31
204884,74.34,13
211688,74.22,18
202562,74.2,30
201119,74.17,21
205923,74.09,12
216466,74.07,51
230337,74.0,81
158851,73.78,129
182744,73.57,42
163488,73.38,75
204614,73.32,29
228618,73.29,39
139313,73.29,91
216267,73.2,9
177553,73.1,73
169705,72.98,34
193171,72.98,32
186992,72.9,127
205995,72.66,76
177604,72.58,27
212678,72.54,54
187492,72.52,199
186190,72.46,68
201953,72.44,146
229984,72.31,38
211385,72.27,79
207707,72.19,49
186982,72.06,167
211256,72.05,19
235212,72.04,36
144429,71.88,64
205069,71.88,60
200443,71.84,111
219681,71.81,46
220814,71.79,8
210665,71.75,41
154634,71.67,113
189615,71.63,78
183512,71.56,56
214955,71.53,104
207924,71.52,92
230348,71.31,110
186274,71.19,178
226491,71.15,80
169638,71.13,102
229148,71.1,61
194979,71.08,101
236075,71.07,191
205566,70.99,58
179884,70.98,105
220658,70.98,149
188802,70.9,50
240976,70.9,95
184273,70.88,222
198946,70.78,62
213400,70.76,40
212491,70.74,85
198240,70.73,164
214040,70.7,45
214838,70.7,157
210822,70.69,72
189930,70.68,185
177149,70.68,112
186347,70.68,186
165321,70.66,109
202151,70.56,103
178567,70.51,130
202501,70.43,59
198386,70.39,282
173204,70.39,74
193062,70.38,88
205524,70.34,184
190143,70.34,53
232656,70.31,55
227813,70.29,278
215071,70.23,115
158375,70.2,212
216380,70.14,194
180359,70.13,131
189484,70.13,63
230184,70.09,37
210736,70.04,90
184392,70.02,66
201389,70.0,77
203505,69.98,148
221201,69.93,154
205364,69.92,156
182166,69.91,319
188194,69.91,357
209846,69.88,107
228579,69.88,82
192128,69.87,259
214772,69.86,283
201139,69.74,137
188696,69.74,234
176605,69.74,275
202157,69.71,135
237211,69.69,100
221832,69.69,208
234930,69.67,136
220414,69.66,84
235634,69.64,98
192156,69.62,134
215160,69.56,203
201509,69.53,190
197688,69.51,159
163369,69.49,296
210384,69.48,141
199157,69.46,151
204760,69.45,145
207993,69.44,28
216036,69.35,227
186651,69.31,189
200517,69.28,65
169324,69.23,168
202115,69.18,99
152554,69.15,83
230189,69.12,89
158394,69.08,181
223966,68.98,340
194846,68.86,87
212183,68.85,144
192102,68.84,126
210723,68.81,155
190223,68.8,86
210603,68.79,213
169345,68.78,173
212282,68.74,243
217546,68.72,139
191055,68.69,122
124388,68.69,277
193695,68.66,265
220209,68.66,119
144200,68.64,247
230344,68.62,220
200820,68.59,254
224196,68.59,108
198335,68.57,272
210695,68.52,187
232223,68.52,237
198067,68.47,215
225426,68.47,133
216356,68.45,116
218936,68.42,193
189680,68.41,281
188621,68.4,334
200759,68.39,158
193133,68.36,169
199763,68.33,124
198190,68.26,118
176346,68.19,224
193201,68.19,270
232008,68.17,121
184472,68.15,263
236295,68.1,44
200278,68.1,69
217844,68.07,150
193177,68.04,176
187572,68.02,326
217036,67.96,140
224423,67.96,323
34079,67.94,236
176023,67.91,548
229712,67.84,123
194359,67.82,120
187205,67.82,245
239106,67.82,231
230353,67.8,183
224189,67.77,271
204355,67.75,93
210118,67.72,182
193148,67.7,206
210972,67.69,114
209744,67.68,162
153066,67.67,343
171364,67.66,375
172013,67.63,147
190034,67.62,96
213317,67.61,195
199283,67.61,381
215970,67.6,177
207593,67.58,228
236071,67.56,241
230340,67.54,274
209620,67.53,142
216283,67.51,225
149064,67.49,196
125871,67.48,180
190572,67.43,379
198589,67.4,328
193475,67.37,330
195256,67.35,327
223726,67.34,503
233982,67.32,230
198000,67.3,313
192617,67.3,455
178297,67.28,205
