id,Score,Rank
170890,78.48,8
193747,78.24,5
181458,78.05,7
157960,75.74,26
213565,75.38,10
209889,75.25,21
219985,74.92,29
188350,74.47,4
226271,74.44,20
192679,74.07,41
190483,73.95,3
190059,73.77,82
204923,73.47,22
205632,73.28,58
201995,73.14,13
202884,73.11,63
207537,73.1,66
208722,72.97,2
193061,72.89,33
200104,72.84,9
225474,72.69,72
173306,72.34,53
157217,72.13,99
223198,72.0,241
234906,71.78,28
214097,71.75,59
239782,71.71,230
191783,71.64,78
192202,71.55,150
204757,71.38,88
188567,71.36,1
188803,71.33,18
202069,70.79,210
225201,70.56,85
224411,70.44,15
212150,70.28,36
184267,70.27,6
177159,70.27,54
218415,70.17,259
232883,70.16,67
189491,70.13,134
139068,70.11,27
190671,70.07,182
199715,70.04,23
206225,70.02,64
178470,69.97,257
199561,69.86,39
200529,69.82,50
208418,69.75,12
204699,69.73,144
194761,69.72,40
203106,69.69,38
216700,69.68,46
157301,69.64,43
197081,69.54,185
209453,69.49,314
193884,69.46,168
209102,69.42,151
204213,69.32,288
213516,69.25,35
189196,69.23,55
210212,69.2,57
241184,69.18,76
223697,69.18,238
215639,69.14,81
224394,69.12,115
159278,69.12,429
235883,68.98,112
222644,68.98,179
208787,68.95,117
226203,68.92,145
205114,68.81,31
175789,68.76,340
223136,68.71,283
203455,68.63,180
203362,68.61,37
202223,68.57,246
187858,68.56,152
186302,68.51,51
187447,68.5,492
199729,68.5,132
192732,68.49,240
211872,68.42,335
229906,68.4,19
142705,68.38,216
234195,68.33,406
224813,68.3,159
222943,68.27,73
210950,68.19,92
225997,68.19,34
191627,68.15,142
217097,68.07,93
208448,67.98,17
189211,67.93,97
210985,67.88,200
212096,67.85,62
206006,67.81,232
177712,67.81,160
208574,67.79,70
166074,67.79,149
224103,67.74,269
228302,67.71,120
194718,67.65,282
227503,67.65,148
178416,67.6,52
237566,67.56,419
156650,67.44,190
215159,67.43,273
190813,67.41,24
193172,67.4,277
239231,67.35,276
207421,67.3,49
158232,67.24,42
236548,67.21,196
229332,67.2,347
203965,67.16,69
177326,67.15,25
228179,67.12,208
195088,67.12,94
211703,67.03,125
167601,67.02,178
183883,67.02,79
214497,66.98,187
228908,66.98,313
173325,66.94,305
157528,66.91,321
189650,66.89,183
200315,66.89,32
226356,66.88,363
231949,66.85,127
184823,66.85,195
155885,66.84,192
213345,66.83,11
191044,66.82,437
202858,66.79,138
169214,66.77,126
169078,66.77,171
208949,66.71,162
188196,66.7,199
163796,66.68,469
231423,66.63,353
156616,66.58,14
172475,66.56,290
211635,66.55,341
147006,66.48,103
202064,66.45,500
203872,66.42,213
233631,66.39,83
212194,66.39,16
215330,66.3,47
186536,66.26,685
214671,66.23,225
205926,66.22,505
210463,66.2,98
186197,66.19,80
163187,66.18,217
209827,66.18,84
201530,66.16,366
208977,66.16,207
222501,66.13,256
178029,66.11,215
186745,65.98,219
179613,65.97,281
222467,65.96,91
183870,65.93,104
225878,65.9,108
219411,65.86,56
200895,65.85,532
213512,65.84,302
205525,65.78,30
210602,65.77,177
169317,65.7,169
210333,65.67,65
214918,65.65,391
189157,65.65,123
205138,65.61,320
200532,65.6,371
192350,65.59,60
215103,65.55,135
236276,65.51,124
204444,65.51,397
183187,65.5,174
208621,65.46,154
190748,65.44,157
234873,65.42,329
172672,65.41,222
241629,65.38,348
186756,65.32,513
226078,65.32,45
229595,65.24,153
229596,65.19,408
211177,65.17,413
219740,65.12,137
204763,65.12,629
207807,65.08,71
176773,65.07,330
189462,65.05,128
214065,65.04,647
187339,65.03,237
218991,65.01,384
153062,65.0,243
