id,Score,Rank
179813,74.99,1
184200,73.85,9
216475,73.32,11
142707,71.46,22
188081,71.24,20
143076,70.81,4
179844,70.66,3
212623,70.56,15
221992,69.92,10
184252,69.63,29
138456,68.8,41
223627,68.48,26
204399,68.22,16
186627,68.08,6
208093,67.98,5
167664,67.97,2
227476,67.97,24
45186,67.77,14
198717,67.72,8
223066,67.67,54
208596,67.34,7
225359,67.27,44
199602,66.94,28
199254,66.94,36
176794,66.91,50
158543,66.46,43
207722,66.39,63
208045,66.18,56
219455,65.74,31
232381,65.69,34
202851,65.66,27
201304,65.63,96
183955,65.43,81
179516,65.4,62
223816,65.32,53
214463,65.3,57
207664,65.24,13
156432,65.09,30
224069,64.9,19
188599,64.59,39
207877,64.55,12
49369,64.5,18
164029,64.41,21
181349,64.4,76
162932,64.38,55
221311,64.36,79
193983,64.29,40
216531,63.96,35
200473,63.9,59
162369,63.81,32
179551,63.63,45
155979,63.63,73
205351,63.49,51
201876,63.48,86
163713,63.38,98
223334,63.22,47
232432,63.2,23
150418,63.13,17
204280,62.94,83
168317,62.62,77
223689,62.61,25
195671,62.6,33
223578,62.22,37
203903,62.19,78
203668,62.09,49
163050,62.04,89
232884,62.01,102
227866,61.98,106
188484,61.9,42
205008,61.84,88
138306,61.76,72
208374,61.73,105
205670,61.65,46
191547,61.63,71
206147,61.53,85
189053,61.52,48
198019,61.39,140
218534,61.25,101
176841,61.09,103
235320,61.06,61
211891,60.93,87
220085,60.9,66
204324,60.71,158
165889,60.64,131
183714,60.55,38
227617,60.46,122
214967,60.44,117
216627,60.38,124
205892,60.34,109
189603,60.33,116
203500,60.06,153
212454,60.05,120
146953,59.83,68
232670,59.74,58
207960,59.69,97
207711,59.63,112
198373,59.62,182
163828,59.28,130
212228,59.19,132
172823,59.12,136
185199,59.07,64
244464,58.95,154
215568,58.74,69
208306,58.69,65
230300,58.68,115
232926,58.64,104
218651,58.61,107
177278,58.61,150
163351,58.5,144
222993,58.27,90
223551,58.27,92
223596,58.24,113
194018,58.19,129
238686,58.07,163
190724,58.06,133
220528,58.03,114
200925,58.03,167
194851,57.85,108
226495,57.77,118
235410,57.65,80
214562,57.62,70
221014,57.6,75
176211,57.6,95
243617,57.51,141
232523,57.5,74
190939,57.46,143
197932,57.42,159
225667,57.4,165
242384,57.39,82
178089,57.32,172
186723,57.32,138
220671,57.15,84
215480,57.09,127
172696,57.09,100
163049,57.08,174
214980,56.89,119
224121,56.87,148
215864,56.84,146
202769,56.8,155
227394,56.73,93
190254,56.64,161
191068,56.57,111
193077,56.47,52
239504,56.41,179
193827,56.39,123
212506,56.28,91
156321,56.08,151
190981,55.98,170
223283,55.93,60
213839,55.86,94
163774,55.53,185
221774,55.47,110
229460,55.44,137
229793,55.43,152
230287,55.39,126
229658,55.34,145
230897,55.3,192
235133,55.15,149
232520,55.15,189
212248,55.01,156
211732,55.0,135
236692,54.83,99
223879,54.75,125
243946,54.72,168
221511,54.61,162
169907,54.11,180
224455,54.07,142
243360,54.05,200
227446,53.93,164
138719,53.91,191
229856,53.88,128
239418,53.88,188
242539,53.73,202
209965,53.7,160
237291,53.67,67
239208,53.63,177
199881,53.45,173
223580,53.42,190
216794,53.29,187
191083,53.29,139
220669,53.26,193
237085,53.15,196
216078,53.11,134
237581,52.97,171
201243,52.96,121
244832,52.95,176
225668,52.93,166
183807,52.37,194
229536,52.19,199
241114,52.11,204
227958,51.65,178
236274,51.39,175
200714,50.98,195
239078,50.89,183
233216,50.79,169
232225,50.75,157
236800,50.27,206
214896,49.99,203
204007,49.85,201
227997,49.73,198
235980,49.44,186
244947,48.84,181
225368,48.81,147
224870,48.65,197
235950,48.08,184
240331,46.1,205
207995,44.7,207
