id,Score,Rank
208334,73.73,4
179696,73.38,11
209781,73.01,15
214026,72.97,5
212541,72.86,12
212187,72.73,6
200536,72.68,1
150590,72.66,13
189390,72.57,8
201884,71.59,7
223682,71.51,2
186115,71.11,9
210455,70.98,3
215322,70.98,16
192087,70.47,14
218540,69.46,18
203544,69.03,19
215938,68.91,24
198843,68.66,10
190555,67.32,23
201041,66.52,21
209818,65.67,17
186950,65.4,28
192546,64.48,20
221665,64.13,36
184035,64.0,25
229640,63.25,27
208812,63.1,41
235172,63.01,39
203966,62.36,34
231070,61.91,30
201491,61.7,31
167919,61.65,48
216527,61.63,35
210253,61.41,38
196353,61.33,44
212054,61.17,26
183024,61.13,49
138830,61.1,46
215422,60.89,32
219133,60.64,40
235579,60.6,37
205877,60.6,50
226033,60.43,43
219957,60.28,45
226654,60.03,51
243661,59.22,42
189833,59.22,33
203885,59.14,29
243142,59.14,52
225716,58.6,67
179633,58.58,22
210812,57.01,55
206286,56.72,47
209315,56.71,56
211594,56.62,60
220981,55.99,72
232892,55.68,57
236047,55.63,54
234207,55.49,58
241311,55.38,64
214656,55.34,63
240328,55.31,70
242429,55.28,68
236629,55.1,59
244202,55.08,53
235072,54.92,73
211144,54.7,65
244515,54.57,69
223908,54.34,61
232759,54.21,62
243608,54.06,75
225775,53.86,66
232267,52.4,74
241884,50.65,71
244864,48.32,77
236705,46.97,78
233931,45.5,76
