id,Score,Rank
189242,76.69,4
197781,75.46,3
190871,75.38,1
222492,73.54,5
211300,73.49,6
176376,72.73,11
231677,71.96,7
192841,71.73,22
198219,71.71,2
206467,71.48,9
224458,71.25,17
216201,71.11,8
212196,71.04,18
223061,70.37,13
220746,70.1,23
201938,69.66,43
183900,69.63,10
204823,69.58,54
232862,69.44,16
226045,69.24,53
229764,69.22,40
182945,69.19,19
201215,69.15,44
186200,68.97,29
186146,68.96,21
211368,68.89,14
198489,68.36,86
188536,68.34,30
214665,68.26,58
200107,68.18,108
199412,68.13,80
200641,68.02,15
192342,67.88,47
225953,67.8,12
229593,67.7,34
212616,67.43,24
222832,67.41,87
189148,67.0,77
135697,66.95,20
201073,66.95,48
201878,66.84,32
226215,66.57,42
236920,66.44,39
213814,66.39,28
199386,66.3,76
164985,66.2,31
220362,66.05,112
222215,65.9,187
212267,65.85,36
198136,65.79,52
231390,65.73,78
238794,65.7,25
228819,65.69,51
224218,65.63,26
211903,65.47,110
202184,65.44,50
170828,65.36,85
242444,65.35,63
195038,65.33,35
209782,65.25,38
227642,65.22,68
204077,65.21,27
209888,64.97,207
218345,64.96,136
231128,64.94,91
232148,64.79,90
198024,64.72,122
230468,64.66,37
231041,64.54,57
183471,64.27,201
234711,64.27,33
171082,64.17,101
231394,64.05,263
222153,63.92,111
192165,63.72,59
205631,63.65,99
237538,63.59,236
202548,63.56,144
215540,63.53,237
224538,63.51,65
214784,63.48,170
225844,63.35,67
184927,63.34,118
228747,63.31,73
227890,63.27,83
189160,63.27,164
239482,63.24,56
188271,63.18,104
202940,63.14,88
211099,63.02,107
207645,62.98,66
216079,62.98,45
203347,62.92,225
210801,62.87,120
241026,62.79,153
190588,62.74,230
240342,62.73,134
228111,62.64,141
224508,62.6,113
232219,62.6,94
236836,62.58,95
205966,62.48,41
220513,62.48,70
213705,62.45,75
230581,62.39,129
201967,62.36,62
229218,62.33,55
239718,62.32,72
221144,62.08,162
229694,62.07,98
239380,62.01,212
242935,61.99,168
241412,61.91,93
151270,61.91,184
201061,61.88,150
221896,61.82,89
229209,61.78,102
231240,61.76,46
235706,61.68,109
208676,61.6,216
209729,61.6,84
234171,61.59,74
202559,61.58,69
205711,61.58,105
241907,61.44,79
243656,61.38,60
244521,61.38,218
221756,61.36,145
229171,61.34,143
224205,61.3,161
231447,61.25,64
225476,61.24,132
207454,61.22,117
212643,61.21,125
213612,61.19,119
224243,61.17,166
220152,61.16,169
229129,61.16,174
223056,61.1,224
191657,61.08,200
234764,60.99,188
238084,60.94,171
229466,60.93,148
229804,60.87,49
165447,60.85,278
232375,60.76,202
216255,60.75,131
214753,60.71,163
236841,60.67,243
193195,60.65,157
225266,60.5,290
223083,60.46,299
184471,60.39,180
176692,60.38,97
240802,60.36,124
234740,60.24,185
198033,60.23,123
221694,60.18,138
232786,60.13,195
227547,60.13,135
220621,60.11,133
198731,60.1,146
205941,59.99,121
243851,59.83,198
209061,59.82,126
237502,59.8,159
229128,59.74,172
213089,59.66,179
189231,59.65,297
240740,59.63,103
187898,59.62,210
237555,59.58,92
222622,59.57,256
193461,59.54,130
240166,59.54,96
223339,59.47,197
223857,59.45,151
235527,59.39,240
213694,59.38,158
236850,59.31,220
244228,59.26,186
237512,59.19,182
221386,59.17,317
204289,59.15,81
233401,59.14,203
237039,59.12,165
193092,59.12,115
208801,59.09,257
240046,59.04,128
182096,59.04,177
233125,58.95,127
211176,58.89,61
224520,58.87,82
241652,58.85,267
243607,58.77,154
220166,58.75,140
242768,58.7,194
229702,58.69,116
225440,58.69,156
225562,58.66,142
223332,58.54,71
176373,58.5,291
53855,58.49,249
212224,58.4,139
181787,58.38,213
219995,58.35,149
224253,58.27,268
232000,58.22,100
244509,58.21,192
178421,58.1,167
231410,58.06,137
213334,58.03,248
232269,57.98,223
246307,57.96,273
231737,57.95,244
243732,57.88,190
236477,57.84,204
234587,57.82,226
214069,57.7,176
199121,57.7,206
245795,57.68,215
223867,57.67,229
