id,Score,Rank
192985,81.08,1
177003,80.53,2
168651,78.47,3
208421,77.76,5
199914,77.58,9
212622,77.52,4
179846,77.3,7
183711,77.0,13
178415,75.79,30
189513,75.78,6
162347,75.24,16
189362,74.99,15
206545,74.8,8
213991,74.66,21
178322,74.56,38
169706,74.24,29
234568,73.96,49
226226,73.92,17
206304,73.55,22
238359,73.55,44
231969,73.49,31
210406,73.47,14
188556,73.44,69
230258,73.34,10
214947,73.28,20
211354,73.16,39
214047,73.11,45
193361,72.98,33
185174,72.69,34
230020,72.62,24
173030,72.6,42
230965,72.47,48
205083,72.43,28
225126,72.41,35
186674,72.31,117
226168,72.2,25
172143,72.08,36
224232,72.08,43
210761,72.0,50
211748,71.98,18
177569,71.88,52
152879,71.76,47
178250,71.71,32
223273,71.7,46
158856,71.61,37
238463,71.51,68
199422,71.34,58
216320,71.31,59
205343,71.27,115
223874,71.26,26
229034,71.22,71
189059,71.22,87
212245,71.2,80
234457,71.19,95
182184,71.18,53
198950,71.13,12
206306,70.83,96
199792,70.81,104
215998,70.71,73
213648,70.7,51
216194,70.63,11
190536,70.58,83
164459,70.47,103
202282,70.45,60
173370,70.45,62
192371,70.33,105
227508,70.28,72
228092,70.28,57
186935,70.26,61
213974,70.26,77
184417,70.11,101
210881,69.98,111
207465,69.91,122
230417,69.8,79
199652,69.79,56
202648,69.75,23
49756,69.74,100
227236,69.5,90
204464,69.45,91
183422,69.44,107
222573,69.37,124
190782,69.36,63
193692,69.33,88
210429,69.14,223
112365,69.04,97
198368,69.04,41
219470,69.03,185
211706,69.03,27
220659,69.02,147
188103,68.99,75
230065,68.97,92
168567,68.94,84
173155,68.92,235
206124,68.92,81
192320,68.9,155
201303,68.88,64
3281,68.86,76
220763,68.8,66
140196,68.76,141
213353,68.75,67
142592,68.68,114
210111,68.6,110
186748,68.58,125
176553,68.53,70
227535,68.49,40
206109,68.44,134
200770,68.33,156
204450,68.32,89
242201,68.22,99
157801,68.08,206
206171,68.03,65
227772,68.02,127
159080,68.02,139
158138,67.96,54
207943,67.95,137
188157,67.95,130
223247,67.95,98
231493,67.91,136
189167,67.79,112
229758,67.76,106
213813,67.68,118
162047,67.68,149
183287,67.62,113
209417,67.59,180
122574,67.52,216
210374,67.48,167
193495,67.46,172
16,67.42,133
142454,67.38,140
236288,67.28,177
189425,67.26,174
151508,67.22,93
190636,67.07,108
234943,67.05,74
190330,67.02,85
235226,66.99,146
209621,66.97,94
193206,66.97,214
167599,66.95,109
235134,66.9,86
229276,66.89,190
190535,66.84,82
183527,66.79,246
196072,66.72,197
232665,66.68,55
204220,66.67,193
158966,66.65,200
190979,66.61,178
201447,66.59,129
216286,66.58,218
156894,66.46,271
200778,66.46,120
232999,66.43,116
211746,66.41,202
204442,66.4,210
203308,66.39,182
214358,66.35,121
105318,66.35,102
184242,66.3,164
202746,66.15,78
208297,66.08,315
229137,66.04,151
190575,65.88,158
198490,65.87,260
218736,65.81,159
229380,65.74,201
202465,65.7,219
193735,65.64,168
204061,65.63,153
231942,65.61,150
144010,65.6,239
229752,65.56,160
222987,65.45,131
216138,65.4,204
206650,65.37,154
193608,65.35,280
212104,65.31,188
202808,65.23,231
192439,65.22,215
36111,65.21,132
221875,65.2,142
186881,65.18,224
209485,65.13,184
234741,65.12,249
183940,65.12,187
208865,65.11,196
190286,65.1,19
187550,65.09,211
208592,65.08,217
221824,65.05,238
169461,64.98,304
222429,64.9,128
213613,64.83,123
191980,64.82,247
207956,64.8,259
198220,64.79,138
191673,64.71,165
152620,64.69,229
221890,64.66,166
140497,64.57,171
222405,64.49,336
198046,64.48,191
242209,64.46,228
220700,64.41,152
223307,64.37,234
190640,64.31,163
227840,64.27,176
183442,64.23,189
221847,64.21,314
172568,64.17,279
210742,64.1,254
232811,64.02,207
205157,64.0,157
231360,63.94,144
214325,63.92,325
203426,63.92,242
206536,63.81,270
227787,63.79,169
229082,63.79,320
194946,63.7,209
244968,63.57,302
211745,63.57,227
236270,63.5,198
217047,63.49,145
233487,63.46,252
226405,63.43,261
215701,63.41,240
197300,63.31,143
193421,63.3,162
222930,63.28,194
224057,63.27,119
200210,63.2,307
