id,Score,Rank
195864,80.76,1
183498,77.24,5
210896,76.26,7
208135,75.06,6
53302,74.45,4
190584,74.1,2
193474,73.95,3
196934,73.75,13
187735,73.6,12
213874,73.46,25
190674,73.24,18
183346,73.13,32
202934,72.95,44
208461,72.92,23
147782,72.87,9
184716,72.64,27
188041,72.56,17
180432,72.5,14
193425,72.45,42
206413,72.43,8
230250,72.29,24
162329,71.9,15
213051,71.37,16
190971,71.29,30
182579,71.23,33
224574,70.95,35
191173,70.64,64
208960,70.41,93
198908,70.35,91
230239,70.29,60
230457,70.19,34
184387,70.18,94
220673,70.08,52
124607,70.08,46
215057,69.99,11
195698,69.97,71
230237,69.96,59
227234,69.93,10
233147,69.91,104
124635,69.85,29
218623,69.83,111
204040,69.79,112
204688,69.76,102
202024,69.75,20
230423,69.66,53
209236,69.65,38
215193,69.64,84
198861,69.59,47
216020,69.58,76
203979,69.55,67
204612,69.31,22
205347,69.25,56
215089,69.24,31
230255,68.97,61
203128,68.91,26
223223,68.84,148
205998,68.81,87
232099,68.63,74
152567,68.52,90
176071,68.29,66
230435,68.29,69
188879,68.15,28
190432,68.13,105
230252,68.12,41
159591,68.11,39
227235,68.09,85
212212,68.08,19
205410,68.05,117
197402,68.05,54
202078,68.0,70
211879,67.76,63
49488,67.76,58
200424,67.67,108
233529,67.58,78
159175,67.47,65
208923,67.45,134
188000,67.34,116
183385,67.33,96
175314,67.27,49
213689,67.25,45
230453,67.24,21
221433,67.16,110
220075,67.09,161
190887,66.99,86
183936,66.92,119
191104,66.89,82
208015,66.84,83
208835,66.76,126
236792,66.6,51
208260,66.58,62
145996,66.4,57
190060,66.37,184
199413,66.34,128
216350,66.33,55
164626,66.29,113
199288,66.25,72
198817,66.24,43
213228,66.15,146
191096,66.14,156
200667,66.06,175
223654,66.0,122
183769,65.96,89
225174,65.84,160
229327,65.77,145
193103,65.73,151
239845,65.72,106
158293,65.72,95
214605,65.64,37
175598,65.47,176
244709,65.45,107
188586,65.35,123
220782,65.33,99
214208,65.22,125
178152,65.21,109
170305,65.01,140
214991,64.96,144
213644,64.93,159
155671,64.86,114
199627,64.74,191
213105,64.69,118
152463,64.68,189
210303,64.59,81
194924,64.41,98
209984,64.39,36
198104,64.37,194
192471,64.36,193
227150,64.35,165
234122,64.24,101
212207,64.23,68
209698,64.19,92
235522,64.11,131
205073,64.01,133
209701,64.01,135
233314,63.88,80
217217,63.88,120
202404,63.85,121
240683,63.76,180
235580,63.73,139
225812,63.69,179
231587,63.67,171
244309,63.65,153
204677,63.6,142
204497,63.51,48
217160,63.45,201
230452,63.4,77
188959,63.31,213
223581,63.28,167
224265,63.23,132
192238,63.2,50
199169,63.2,130
244520,63.18,198
192205,63.09,75
199352,63.08,124
199815,63.05,187
139836,63.03,79
234789,63.02,149
243989,63.0,163
203454,62.92,207
210475,62.91,136
226747,62.89,88
100803,62.88,173
142670,62.82,115
200806,62.81,155
173498,62.67,205
194665,62.66,40
183160,62.56,186
232852,62.53,217
213885,62.46,158
220087,62.41,103
214258,62.28,147
181499,62.26,129
187494,62.16,202
181725,62.16,220
177488,62.14,166
219449,62.08,199
205618,61.94,137
209018,61.76,157
215786,61.51,162
202731,61.48,221
220558,61.24,170
188765,61.22,97
212338,61.21,185
217653,61.11,138
239567,61.08,174
215390,61.07,154
235149,61.03,188
220779,60.84,224
236043,60.68,212
242069,60.65,218
239492,60.63,216
231227,60.62,181
199668,60.32,177
223396,60.11,226
238951,60.04,183
241931,59.91,178
233075,59.87,100
224062,59.77,182
145014,59.74,169
228058,59.66,195
212988,59.65,197
202551,59.59,223
222294,59.58,228
216023,59.4,192
213841,59.25,152
212383,59.16,225
213444,59.15,219
202881,59.12,246
224169,58.93,172
227170,58.89,168
206281,58.81,190
223378,58.67,203
13883,58.43,233
215593,58.22,150
244376,58.21,73
239553,57.98,227
212329,57.96,229
244739,57.88,211
235123,57.83,230
238580,57.71,210
203428,57.65,231
222396,57.57,206
220826,57.53,143
236364,57.52,214
231006,57.51,245
222174,57.51,240
245687,57.41,235
232514,57.2,141
208862,57.09,127
225079,56.77,232
211955,56.58,196
224094,56.28,215
244703,56.24,209
214319,56.23,164
242543,56.01,234
242294,55.83,238
242894,55.73,241
244170,55.47,239
203450,55.11,204
244489,55.05,237
242926,55.01,242
244514,54.71,222
244469,54.58,243
232907,54.1,208
232205,53.55,244
215517,53.47,236
230983,51.02,200
245747,48.16,248
222187,48.12,247
