id,Score,Rank
139997,79.1,25
203551,79.0,7
210514,77.59,6
146530,77.59,10
186345,77.46,9
184432,77.2,1
188377,76.87,3
189681,75.76,32
199564,75.74,4
199304,75.58,29
173771,75.42,15
172522,75.39,16
210243,75.33,13
204963,75.28,2
193525,75.2,8
184949,75.18,34
201042,74.84,28
190149,74.44,31
197853,74.37,20
108080,74.22,35
146760,74.13,24
230360,74.08,37
203890,73.91,14
177457,73.86,5
192789,73.79,23
216150,73.72,27
216189,73.7,41
194022,73.56,22
206591,73.55,65
158626,73.27,45
187800,73.27,100
199633,73.18,61
189043,73.13,70
167514,73.08,52
191210,72.96,108
182862,72.85,50
227928,72.79,11
188155,72.59,63
201118,72.57,56
195479,72.51,133
192427,72.44,79
204259,72.4,44
231281,72.39,36
190456,72.31,30
203747,72.27,19
142784,72.25,81
168312,72.24,54
143699,72.22,68
158942,72.16,83
149184,72.08,104
183916,72.07,170
187347,72.04,33
203843,72.0,47
198657,71.85,86
216158,71.81,69
204472,71.78,59
168607,71.76,75
202493,71.76,64
208520,71.72,42
194644,71.7,51
192146,71.66,97
188840,71.62,78
190824,71.6,94
226851,71.54,18
211241,71.52,46
190557,71.5,216
206058,71.41,43
216643,71.4,48
215108,71.36,116
210864,71.27,12
202316,71.17,49
198949,71.17,66
210625,71.06,60
234035,71.06,17
222558,71.01,92
184501,70.95,58
204539,70.93,146
188135,70.93,141
186330,70.92,82
192838,70.85,165
189860,70.76,76
189221,70.7,155
225375,70.57,93
228881,70.52,38
230201,70.52,26
225523,70.48,109
198705,70.41,159
194229,70.39,21
163419,70.36,119
190885,70.35,77
225646,70.3,171
216373,70.3,39
230371,70.3,84
206407,70.24,117
229221,70.16,121
102056,70.16,282
195361,70.1,88
230197,69.96,67
193470,69.89,80
200111,69.79,181
204904,69.72,123
197777,69.71,223
199392,69.71,189
171378,69.66,128
175847,69.63,107
189514,69.63,166
212722,69.62,85
233096,69.55,72
170923,69.46,135
208509,69.44,173
182896,69.42,126
216266,69.39,40
223188,69.38,138
207472,69.36,125
191005,69.35,205
214515,69.33,242
192045,69.29,158
198455,69.24,255
215331,69.22,114
134895,69.2,304
205965,69.11,73
226166,69.08,53
203810,69.07,152
236441,69.04,74
230354,69.02,137
215699,69.01,55
201939,69.0,62
210724,69.0,249
145047,68.96,132
223297,68.95,259
219409,68.89,150
203581,68.89,209
214196,68.89,103
223724,68.86,143
188352,68.78,289
225402,68.74,129
223278,68.71,207
188607,68.7,232
148696,68.68,437
153938,68.62,215
