id,Score,Rank
202371,77.72,16
167905,76.58,25
173221,75.38,23
209331,74.9,2
224031,74.75,43
192883,74.39,10
212404,74.16,13
193839,74.12,76
231747,73.87,1
191076,73.39,38
204970,73.34,3
205070,73.29,29
212213,73.27,45
170368,73.27,24
170320,73.1,115
183898,72.72,5
187754,72.67,17
205569,72.67,50
202061,72.6,112
211147,72.56,201
211907,72.52,131
176571,72.51,64
234153,72.51,26
146536,72.37,31
223058,72.04,57
199416,72.02,37
215531,71.73,137
186581,71.71,48
226592,71.61,73
205678,71.54,15
200949,71.45,9
185020,71.4,4
194794,71.35,30
214997,71.35,19
152916,71.31,58
233419,71.2,33
208808,71.0,8
220466,70.99,174
227055,70.84,12
183130,70.84,83
184575,70.76,49
223329,70.73,118
226807,70.7,212
223017,70.54,107
9014,70.51,7
190717,70.43,103
224425,70.42,62
171972,70.32,96
220925,70.3,69
193130,70.19,61
192451,70.09,350
202429,70.01,66
195033,69.98,135
186395,69.95,54
219758,69.95,150
220093,69.81,129
178115,69.75,95
175379,69.72,22
155946,69.64,75
216409,69.62,18
219571,69.56,91
195272,69.5,352
189557,69.4,183
207948,69.39,46
164994,69.31,152
229092,69.27,100
189272,69.26,227
208364,69.1,253
203910,69.05,87
20775,68.94,6
211927,68.89,134
231887,68.83,98
206516,68.74,63
213777,68.69,169
162280,68.68,136
211119,68.66,160
237223,68.63,246
226789,68.63,166
177525,68.6,120
215871,68.54,55
191032,68.52,78
193165,68.5,21
211862,68.5,191
178088,68.5,11
228942,68.37,271
143617,68.35,306
192560,68.32,173
214006,68.3,302
202857,68.24,20
210411,68.24,36
183909,68.19,40
188045,68.18,88
190653,68.11,93
169388,68.1,345
208437,68.08,317
193887,68.04,60
204738,68.0,163
219728,67.96,114
215259,67.95,44
179591,67.94,122
190589,67.85,282
232692,67.78,301
217714,67.77,232
215449,67.76,192
211267,67.75,35
183921,67.74,277
192955,67.72,196
183871,67.65,56
212214,67.58,211
235875,67.51,148
210617,67.5,14
208224,67.46,84
184337,67.46,259
215245,67.46,202
182409,67.42,399
214207,67.39,197
202208,67.32,297
146487,67.31,376
206631,67.3,368
186783,67.26,125
216796,67.24,67
215616,67.23,110
190014,67.19,81
225206,67.14,291
176902,67.12,308
216055,67.1,167
215785,67.1,27
165531,67.06,156
215155,67.01,234
212729,67.01,102
216381,66.94,267
192722,66.93,99
184816,66.92,416
200630,66.86,92
200438,66.86,210
244369,66.85,32
186595,66.78,359
215107,66.78,111
203299,66.77,47
228414,66.74,80
204874,66.73,145
164859,66.68,41
229636,66.67,51
234396,66.64,243
179592,66.63,398
215196,66.58,590
184881,66.54,39
188166,66.48,71
232905,66.48,200
237670,66.44,179
199418,66.42,168
186119,66.41,106
201681,66.41,356
231886,66.38,607
170988,66.38,475
213134,66.37,155
193098,66.25,178
207554,66.24,130
219953,66.18,77
152747,66.16,89
177522,66.15,278
202088,66.0,85
222420,66.0,357
184089,65.99,53
236547,65.99,307
207444,65.88,116
183332,65.84,74
228312,65.82,203
183526,65.79,101
192490,65.79,206
194174,65.75,121
205257,65.7,97
216749,65.7,127
219942,65.61,314
202994,65.56,476
233550,65.54,146
212048,65.52,322
220334,65.5,90
203568,65.48,315
235623,65.42,149
235374,65.41,42
226162,65.4,233
193844,65.39,108
212230,65.39,70
229071,65.34,251
227796,65.32,34
198017,65.32,396
207872,65.31,304
211394,65.29,292
202330,65.22,117
205990,65.21,287
207641,65.18,217
190552,65.14,499
210313,65.06,186
239117,65.04,141
212692,64.96,28
206310,64.95,542
49659,64.95,419
203177,64.94,288
200461,64.91,257
216349,64.89,72
201326,64.83,181
183820,64.82,52
229453,64.82,113
173434,64.77,281
193442,64.76,519
232860,64.75,401
214421,64.74,190
228892,64.73,428
208277,64.72,240
210237,64.63,223
205540,64.62,165
235926,64.58,241
221306,64.58,184
219525,64.56,185
238657,64.56,490
222022,64.54,269
200966,64.48,215
215199,64.47,124
221587,64.47,188
214807,64.47,312
216433,64.46,151
172516,64.41,805
210489,64.41,109
198077,64.39,65
234762,64.37,310
156535,64.34,280
193780,64.33,362
235944,64.32,126
225664,64.24,395
226414,64.23,119
198144,64.23,554
190542,64.21,225
241032,64.2,512
184457,64.16,154
189573,64.15,511
199384,64.1,471
214781,64.06,140
236245,64.05,133
214209,64.04,162
159499,64.02,425
235827,64.01,434
232619,64.01,343
189945,64.0,138
201514,63.97,265
202084,63.97,389
240898,63.96,104
211527,63.95,177
219655,63.91,309
198601,63.91,353
192492,63.9,68
210372,63.89,132
215332,63.88,367
211057,63.83,392
232546,63.8,230
193860,63.8,442
219652,63.78,213
222109,63.77,402
192349,63.75,147
194956,63.7,283
236937,63.68,721
186839,63.64,295
216468,63.63,189
210258,63.61,226
226539,63.61,207
215556,63.61,255
225305,63.59,142
203588,63.57,320
201083,63.53,394
189446,63.52,105
205970,63.52,284
202095,63.49,391
211626,63.47,289
236679,63.44,153
246013,63.38,479
201266,63.32,220
202814,63.31,378
219174,63.29,264
232711,63.27,422
207824,63.27,737
222798,63.23,496
216258,63.15,94
228546,63.15,409
168930,63.14,205
232639,63.13,198
190457,63.13,687
212125,63.12,157
198955,63.11,485
10466,63.09,540
216260,63.09,606
235176,63.08,247
225584,63.04,372
212715,63.03,300
230888,62.99,681
212138,62.97,342
226711,62.95,337
224428,62.94,248
200369,62.92,599
221857,62.92,592
214354,62.92,577
226110,62.88,79
231280,62.87,86
199689,62.85,363
231826,62.83,123
200440,62.82,418
229556,62.79,249
215335,62.78,432
189459,62.73,260
217802,62.72,354
220348,62.71,604
231612,62.68,346
241463,62.67,144
237526,62.66,535
207669,62.66,266
226697,62.65,587
197148,62.65,564
232489,62.63,370
238647,62.59,571
173436,62.58,330
234060,62.51,444
182856,62.51,382
224143,62.5,454
210126,62.5,250
225887,62.5,228
214973,62.46,161
177598,62.46,527
204526,62.43,208
206054,62.41,615
212440,62.35,472
200953,62.33,623
202161,62.32,523
