id,Score,Rank
176580,78.19,1
202685,70.19,5
228144,70.06,65
199451,69.96,4
204838,69.5,19
41236,69.35,2
167397,69.33,3
227536,67.8,7
177673,67.73,71
194879,67.55,10
152999,67.5,29
218154,67.43,36
178311,67.32,14
159261,67.27,6
209780,66.9,58
210287,66.76,44
195620,66.62,76
169792,66.5,21
188268,66.5,24
199737,66.48,20
207732,66.45,12
220883,66.02,40
230507,66.02,37
213061,65.7,56
202477,65.45,9
46175,65.32,57
190915,65.26,62
211848,65.25,119
165560,65.08,50
205693,64.79,8
194017,64.57,68
179875,64.54,49
183580,64.36,13
205431,64.24,18
226093,64.15,77
186524,64.13,47
189857,64.05,67
196073,64.01,41
195859,63.88,31
169216,63.71,52
224883,63.63,38
212626,63.6,27
189480,63.6,55
208498,63.57,25
216388,63.48,11
219797,63.32,39
182763,63.27,70
209519,63.14,32
233250,63.13,75
208622,63.02,34
215064,62.97,42
238569,62.91,69
205094,62.72,129
225653,62.69,88
154472,62.61,23
180818,62.48,86
231138,62.48,51
181375,62.35,59
215689,62.23,33
169568,62.07,118
189250,61.95,22
215334,61.88,35
182091,61.78,85
191834,61.72,102
192906,61.69,46
232380,61.66,137
197226,61.62,134
215333,61.33,16
207835,61.25,95
230524,61.25,26
226765,61.24,63
166114,61.21,109
226060,61.13,53
203672,61.1,66
210171,61.07,97
191910,61.06,106
162056,61.02,99
176542,60.96,90
212618,60.76,104
207653,60.73,54
220128,60.68,96
237715,60.67,28
214206,60.67,61
192445,60.63,30
174754,60.5,92
211920,60.37,82
140445,60.32,123
239728,60.31,135
155041,60.26,156
229948,60.24,78
231416,60.23,64
202401,60.08,48
200087,60.0,122
234284,59.75,115
146011,59.73,87
187038,59.66,91
172092,59.65,84
207651,59.63,173
139799,59.57,73
213095,59.44,43
182996,59.43,139
223147,59.42,145
205850,59.41,17
228378,59.24,112
213620,59.22,45
188305,59.13,89
193939,59.08,121
243793,59.02,141
237544,58.91,125
210494,58.8,131
213280,58.69,172
212041,58.68,167
236461,58.64,60
233260,58.42,101
237799,58.37,83
242348,58.32,15
193701,58.17,144
192663,58.02,81
231624,57.94,108
228861,57.77,127
190311,57.71,133
235866,57.68,80
158254,57.64,130
189910,57.48,146
237340,57.31,113
235029,57.28,72
177414,57.25,163
204840,57.21,100
193537,56.94,98
239043,56.83,94
208675,56.8,114
233808,56.71,132
203328,56.69,174
184341,56.55,111
200663,56.54,182
201265,56.35,116
199053,56.23,120
187076,56.19,107
220829,56.17,105
217225,56.15,178
207563,56.08,181
237409,56.08,169
192450,55.96,158
216155,55.91,185
222878,55.82,155
206529,55.81,124
225606,55.78,117
199620,55.54,159
203457,55.5,157
203504,55.48,195
238643,55.48,140
210319,55.46,179
240738,55.43,192
188335,55.24,93
223730,55.06,110
195427,55.01,151
225735,54.96,160
190239,54.85,165
187157,54.8,128
237769,54.78,138
238977,54.75,103
203834,54.44,191
243993,54.36,74
243749,54.25,166
225270,54.09,126
198011,54.02,136
223137,53.98,143
241002,53.93,152
212910,53.89,170
216979,53.87,153
197907,53.78,164
246172,53.6,154
169912,53.54,189
200312,53.3,176
122066,53.22,161
224916,53.21,180
19410,53.19,194
223670,53.05,193
225075,52.93,148
200779,52.91,150
213871,52.81,186
205887,52.72,149
227579,52.62,183
241867,52.61,171
239479,52.42,142
221264,52.3,198
219988,52.06,79
219550,52.02,187
240922,51.89,147
223404,51.78,188
169725,51.7,196
221574,51.53,177
206430,51.43,175
220682,50.52,184
212683,50.35,190
243159,50.35,197
213993,50.0,162
231754,49.59,168
212167,48.1,200
243897,47.99,201
242117,47.79,199
241144,42.48,203
234412,42.44,202
