id,Score,Rank
197083,74.9,4
180216,74.2,3
204105,73.67,6
203605,73.28,2
201982,70.98,15
240754,70.65,16
189234,70.44,10
169426,69.63,8
201417,69.54,11
221342,69.54,5
207862,68.32,1
176687,68.05,12
223597,67.86,7
214601,67.82,17
207920,67.44,9
192667,66.86,13
220620,65.77,14
199313,65.76,18
213010,65.22,21
224104,65.09,19
234279,64.94,22
232062,64.38,24
197996,64.05,33
209177,63.7,38
243576,63.39,23
229039,63.35,20
191111,62.68,30
200855,62.66,31
225273,62.51,36
227600,62.4,26
178014,62.39,32
236273,62.2,35
191105,61.88,29
232311,61.83,40
213933,61.61,25
200807,60.87,27
211174,60.84,42
218658,60.53,28
213687,60.19,63
200980,59.97,44
224511,59.79,37
223595,59.67,50
229873,59.29,34
166841,59.13,41
228834,58.52,64
244952,58.4,45
224667,58.18,51
239095,58.16,46
225734,57.98,58
198927,57.88,61
232185,57.86,59
226139,57.8,49
240872,57.79,43
203292,57.78,48
189434,57.66,60
201527,57.64,39
221206,56.89,47
188594,56.74,62
211717,56.57,67
213894,56.41,56
231356,56.36,75
232372,56.34,52
204762,55.81,53
198071,55.78,57
236923,54.56,73
221976,54.48,65
243695,54.29,69
138427,54.2,77
224582,54.2,71
242727,54.07,78
243886,53.86,68
239134,53.36,54
177761,53.11,72
243751,53.0,55
229050,52.07,74
242184,51.95,70
199008,50.9,80
240555,50.71,76
226109,49.78,79
234483,49.5,84
233912,48.96,82
229123,47.73,66
244741,47.56,81
241387,47.23,83
244471,46.56,85
242852,45.15,87
243866,44.55,86
