id,Score,Rank
20801,85.93,1
173731,85.28,5
188545,82.54,2
153079,82.31,4
202126,81.92,3
230666,80.17,16
193301,80.1,9
208830,79.49,21
202556,79.4,12
54050,79.3,45
181783,79.24,14
200610,79.23,29
198329,79.21,19
192387,78.66,8
176600,78.52,42
192629,78.41,13
198951,78.26,23
183574,78.11,25
206113,77.98,18
213013,77.86,117
199069,77.68,38
176769,77.65,15
221639,77.55,34
192598,77.3,59
165153,77.24,11
201399,77.21,6
231943,77.02,46
192505,76.86,7
200454,76.65,30
190919,76.24,153
178628,76.22,248
113422,76.15,27
186537,75.92,40
228941,75.9,49
106231,75.83,28
198140,75.7,112
225018,75.66,110
203280,75.65,73
204819,75.47,68
181820,75.38,61
153177,75.35,86
198715,75.32,55
187491,75.17,31
187084,75.12,251
201858,75.1,143
177666,75.05,72
215061,75.01,53
216497,74.93,51
201153,74.93,22
180175,74.82,41
230498,74.8,48
231478,74.76,47
199110,74.75,37
197756,74.69,142
220295,74.69,145
199354,74.52,70
200318,74.43,36
212456,74.43,190
153244,74.4,44
209723,74.4,269
192991,74.26,57
134779,74.21,141
216816,74.2,67
207441,74.17,131
204226,74.14,397
205735,74.05,239
186905,74.04,118
193290,74.02,160
204529,73.99,35
189225,73.93,124
188616,73.9,301
137809,73.87,85
203757,73.82,54
215886,73.79,216
196978,73.79,56
230289,73.78,376
224540,73.78,120
203502,73.67,309
202350,73.6,173
185195,73.58,90
198420,73.58,203
183389,73.5,88
195093,73.4,24
168565,73.39,225
185373,73.38,121
110376,73.33,77
239212,73.32,172
202911,73.29,236
180930,73.24,10
178509,73.24,26
188044,73.24,147
183569,73.12,74
205360,73.12,209
196150,73.09,80
152997,72.9,100
228717,72.9,138
188955,72.86,76
219932,72.84,50
230294,72.74,17
234045,72.74,128
199852,72.74,103
205295,72.72,156
188428,72.61,116
190461,72.6,315
189805,72.54,39
178224,72.54,62
196144,72.52,78
176137,72.49,200
234236,72.48,113
205427,72.44,92
220253,72.39,87
161832,72.38,332
218970,72.34,218
186961,72.31,132
175254,72.31,98
204538,72.3,158
217699,72.28,135
159145,72.27,32
213114,72.27,175
186405,72.2,164
146758,72.16,129
212878,72.13,96
185431,72.13,60
177633,72.04,63
198504,72.04,171
226627,72.02,270
200446,71.99,254
177134,71.98,194
212273,71.92,210
203774,71.9,255
198150,71.88,198
204385,71.85,69
211591,71.82,144
176619,71.8,308
215353,71.78,52
124375,71.75,64
189795,71.74,169
183249,71.74,404
143809,71.72,396
192123,71.71,93
212232,71.6,504
211302,71.5,136
177765,71.5,170
245683,71.48,182
115909,71.46,108
223245,71.45,259
202539,71.42,207
216452,71.42,177
50542,71.36,91
176048,71.32,243
194138,71.32,134
171833,71.28,43
222357,71.19,150
224933,71.15,101
53050,71.14,65
204550,71.14,320
188506,71.14,219
223197,71.14,109
177392,71.09,157
193169,71.08,290
233866,71.08,286
204684,71.05,557
197136,71.03,161
217731,71.0,176
164467,70.97,902
200875,70.94,102
194728,70.92,151
211048,70.89,223
176481,70.89,357
183982,70.85,181
179746,70.83,122
229037,70.81,180
228687,70.75,130
169498,70.74,419
19975,70.73,257
208022,70.73,562
225114,70.7,353
211784,70.69,212
198683,70.69,75
208054,70.63,244
212478,70.62,316
224151,70.62,380
176348,70.58,407
198347,70.56,250
230964,70.51,268
188091,70.51,684
200911,70.49,303
208251,70.47,369
223875,70.47,372
193408,70.45,229
173818,70.45,111
158309,70.43,358
