id,Score,Rank
135507,77.7,1
209499,77.36,2
200145,76.73,3
180206,76.55,4
189712,75.81,5
178562,74.93,6
158963,74.69,7
209989,74.6,8
189251,74.19,9
202642,73.87,10
193198,73.85,11
201519,73.8,12
191202,73.8,13
189423,73.7,14
190761,73.62,15
205407,73.4,16
176930,73.23,18
189511,73.23,17
199823,72.65,19
200888,72.35,20
230234,72.24,21
205895,72.21,22
211093,72.13,23
176731,72.09,24
202335,72.05,25
212153,71.99,26
188942,71.98,27
186351,71.94,28
163711,71.9,29
184134,71.84,30
155887,71.75,31
199601,71.74,32
201144,71.58,33
219391,71.52,34
223154,71.52,35
187421,71.45,36
230431,71.31,37
187936,71.3,38
208620,71.3,39
220245,71.27,40
216385,71.22,41
204277,70.98,42
188005,70.92,43
199158,70.83,44
189506,70.79,45
213629,70.73,47
170797,70.73,46
192767,70.6,48
177358,70.58,49
183520,70.52,50
216706,70.41,51
200754,70.4,52
235173,70.31,53
200215,70.28,54
186912,70.17,55
161754,70.16,56
230936,70.14,57
178007,70.02,58
207566,69.98,59
198118,69.88,60
208230,69.85,63
240190,69.85,61
134820,69.85,62
214332,69.73,64
188413,69.69,65
232244,69.64,66
158905,69.59,67
188253,69.57,68
214988,69.54,69
177610,69.53,70
202087,69.5,71
193311,69.44,72
222077,69.44,73
194020,69.43,74
163186,69.42,75
183376,69.4,76
202399,69.34,77
183453,69.33,78
181402,69.32,79
239641,69.3,80
202325,69.3,81
224081,69.29,82
200302,69.28,83
233943,69.28,84
214717,69.24,85
174859,69.22,86
164959,69.19,87
203594,69.18,88
182882,69.09,89
205818,69.05,90
236699,69.04,91
201257,68.97,92
205897,68.94,93
186143,68.89,94
230530,68.87,95
189560,68.86,96
193116,68.84,97
158810,68.83,98
219712,68.77,99
142499,68.76,100
206167,68.72,101
189606,68.62,102
177981,68.61,103
178625,68.51,104
146460,68.5,105
149185,68.48,106
225945,68.45,107
188600,68.43,108
229526,68.35,109
210000,68.35,110
222028,68.3,111
207733,68.28,112
186385,68.26,113
221016,68.25,114
152996,68.25,115
204676,68.21,116
199282,68.17,117
223695,68.15,118
181681,68.1,120
204153,68.1,119
222715,68.07,121
244253,68.0,122
206506,67.92,123
137351,67.9,124
177877,67.88,125
197961,67.87,126
156988,67.86,127
188768,67.85,128
