id,Score,Rank
193080,60.21,1
167495,59.79,2
174543,58.9,3
210257,58.6,4
204935,57.64,5
200389,56.88,6
1179,56.49,7
163301,56.48,8
192448,55.77,9
199482,55.74,10
193041,55.52,11
167948,55.41,12
178005,55.27,13
163587,55.27,14
182494,55.24,15
226753,55.14,16
192119,55.08,17
177683,54.98,18
212831,54.94,19
176645,54.9,20
201095,54.86,21
203042,54.74,22
178750,54.58,23
169181,54.54,24
176919,54.4,25
230621,54.27,26
192593,54.08,27
186153,54.03,28
194404,53.9,29
177723,53.9,30
209307,53.89,32
192563,53.89,31
189690,53.8,33
162835,53.68,34
178086,53.66,35
221087,53.46,36
199005,53.41,37
199987,53.39,38
176630,53.34,39
167628,53.22,40
198009,53.16,41
199575,53.06,42
49000,53.0,43
220407,52.98,44
177644,52.92,45
53739,52.9,46
189117,52.89,47
173373,52.87,48
200316,52.68,49
24630,52.57,50
163705,52.51,51
183666,52.47,52
186953,52.46,53
189357,52.46,54
193105,52.41,55
5479,52.21,56
214110,52.18,57
215316,52.17,58
221130,52.11,59
148684,52.1,60
163264,52.08,61
190778,52.07,62
230318,52.05,63
132740,51.96,64
192984,51.92,65
146296,51.76,66
201325,51.69,67
137677,51.63,68
139668,51.57,69
193698,51.57,70
216065,51.56,71
176526,51.48,72
209960,51.46,73
140293,51.46,74
214584,51.44,75
231691,51.43,76
199339,51.41,77
180714,51.4,78
47201,51.38,79
198513,51.28,80
205186,51.23,81
205211,51.22,82
220604,51.2,83
222900,51.16,84
164835,51.14,85
230168,51.14,86
104389,51.14,87
168435,51.05,88
203841,50.92,89
49031,50.88,90
156433,50.84,91
187570,50.82,92
163489,50.82,93
203775,50.8,94
179783,50.78,95
215985,50.77,96
146748,50.74,97
206652,50.72,98
205942,50.72,99
110677,50.71,100
206585,50.68,101
188524,50.67,102
225647,50.64,103
178571,50.62,104
150724,50.6,105
190459,50.6,106
164853,50.58,107
135451,50.56,108
172723,50.56,109
185122,50.52,110
227127,50.49,111
168354,50.48,112
192009,50.46,113
163806,50.45,114
240704,50.44,115
142902,50.42,116
143632,50.38,117
173426,50.36,118
224836,50.3,119
188943,50.28,120
150477,50.28,121
200463,50.24,122
186681,50.24,123
156092,50.22,124
115533,50.22,125
111661,50.2,126
199493,50.17,127
14907,50.16,128
206003,50.1,129
165493,50.08,130
234492,50.08,131
48940,50.04,132
148119,50.03,133
121933,49.99,134
142959,49.95,135
156483,49.93,136
16097,49.92,137
176550,49.89,138
182629,49.89,139
201976,49.88,140
169321,49.88,141
213732,49.86,142
204549,49.84,143
176895,49.82,144
188094,49.8,145
204120,49.77,146
217646,49.73,147
190569,49.72,148
165564,49.7,149
189324,49.7,150
232226,49.68,151
53110,49.68,152
179820,49.62,153
200159,49.62,154
228736,49.6,155
159265,49.58,156
162220,49.56,157
172939,49.56,158
215698,49.54,159
183141,49.52,160
198962,49.5,161
190209,49.5,162
140233,49.5,163
176345,49.47,164
216597,49.42,165
193182,49.42,166
172203,49.42,167
215223,49.42,168
146952,49.41,169
190941,49.4,170
211990,49.36,171
200212,49.36,172
156253,49.35,173
186098,49.34,174
230312,49.32,175
212442,49.31,176
200110,49.3,177
208616,49.24,178
230165,49.23,179
140029,49.23,180
139062,49.22,181
204367,49.2,182
179954,49.18,183
185181,49.16,184
125586,49.14,185
189586,49.06,186
197439,49.06,187
220048,49.04,188
190113,49.03,189
229909,48.99,190
201931,48.96,191
215069,48.94,193
183497,48.94,192
156412,48.93,194
165769,48.92,195
148496,48.9,196
187857,48.88,197
193186,48.88,198
105308,48.86,199
161663,48.81,200
186148,48.81,201
192397,48.81,202
139727,48.8,203
192129,48.8,204
197851,48.79,205
223923,48.78,208
163873,48.78,206
216478,48.78,207
204240,48.76,209
199641,48.76,210
179547,48.73,211
107298,48.73,212
209981,48.71,213
186511,48.69,214
140183,48.68,215
144172,48.68,216
200798,48.67,217
170597,48.66,218
168965,48.66,219
167666,48.64,220
186569,48.64,221
193331,48.6,223
212067,48.6,222
52326,48.58,224
152211,48.57,225
193277,48.56,226
208104,48.55,227
202410,48.54,228
110974,48.53,229
192358,48.52,230
234777,48.52,231
174542,48.5,232
16254,48.5,233
223952,48.49,234
182224,48.48,235
223573,48.48,236
193772,48.48,237
190243,48.47,238
205659,48.46,239
219754,48.46,240
182347,48.4,241
230317,48.4,242
212948,48.4,243
181256,48.4,244
189908,48.39,245
227290,48.39,246
190120,48.38,247
172837,48.38,248
121937,48.38,249
198350,48.37,250
181468,48.33,251
240493,48.33,252
105846,48.32,253
2147,48.3,254
223550,48.3,255
162328,48.29,256
209987,48.29,257
214703,48.26,258
177475,48.25,259
202811,48.21,260
235312,48.2,261
190947,48.19,262
204308,48.18,263
205878,48.16,264
173857,48.14,265
183475,48.12,266
222411,48.12,267
158121,48.08,269
211101,48.08,270
142998,48.08,268
114764,48.07,271
139476,48.06,272
205409,48.05,273
185427,48.04,274
199568,48.03,275
216939,48.02,276
224599,48.02,277
176994,48.0,278
135646,47.97,279
184436,47.93,280
225116,47.92,281
200726,47.9,282
153275,47.89,283
186990,47.86,284
222464,47.84,286
204354,47.84,285
175934,47.83,287
186882,47.82,288
194934,47.82,289
212151,47.8,290
155871,47.79,291
230320,47.79,292
214462,47.78,293
201138,47.78,294
206075,47.78,295
200059,47.78,296
203239,47.78,297
155998,47.76,298
206402,47.74,300
215251,47.74,301
217805,47.74,299
156437,47.72,302
51261,47.72,303
182047,47.68,304
215086,47.67,305
146636,47.67,306
