id,Score,Rank
173208,76.04,1
172871,75.29,2
195861,74.6,3
178603,74.3,4
179944,74.09,5
121944,73.5,6
112316,73.38,7
185221,72.95,8
203376,72.74,9
212218,70.72,10
201305,70.55,11
225850,70.34,12
229668,70.25,13
165109,70.0,14
172529,69.94,15
225711,69.85,16
240130,69.83,17
240679,69.82,18
181786,69.73,19
186456,69.44,20
194753,69.21,21
201922,69.06,22
182495,69.03,23
170159,68.85,24
204525,68.82,25
230375,68.77,26
167524,68.65,27
234774,68.64,28
198023,68.57,29
176992,68.41,30
108061,68.36,31
146963,68.16,32
235454,68.06,33
199060,68.04,34
203485,67.95,35
203263,67.87,36
199669,67.84,37
193469,67.81,38
212219,67.69,39
158800,67.57,40
190520,67.5,41
138956,67.37,42
229237,67.25,43
201377,67.12,44
199206,67.1,45
193440,67.0,46
177458,66.98,47
146701,66.9,48
205362,66.86,49
53630,66.84,50
199667,66.82,51
171774,66.81,52
163670,66.26,53
232363,66.15,54
220440,66.1,55
158902,65.99,56
214763,65.89,57
205756,65.77,58
185109,65.71,59
230222,65.7,60
222986,65.6,61
213899,65.6,62
181795,65.48,63
156713,65.43,64
186648,65.3,65
199577,65.22,66
235565,65.08,67
186513,65.08,68
182002,65.04,69
189682,65.0,70
215901,64.84,71
212351,64.82,72
223284,64.73,73
230397,64.71,74
194361,64.63,75
213661,64.61,76
221378,64.56,77
210413,64.46,78
190772,64.41,79
219841,64.4,80
215162,64.33,81
178614,64.28,82
164633,64.18,83
185200,64.08,84
214436,64.06,85
204043,64.06,86
229980,64.05,87
218341,63.9,88
193278,63.82,89
138460,63.8,90
176377,63.78,91
173703,63.76,92
198816,63.65,93
199745,63.64,94
186519,63.6,95
202416,63.59,96
213063,63.53,97
179822,63.52,98
220182,63.51,99
185204,63.5,100
216742,63.48,101
201024,63.4,102
181559,63.34,103
203399,63.3,104
219091,63.27,105
192774,63.21,106
142780,63.14,107
215572,63.1,108
196801,63.08,109
179847,63.03,110
163492,63.02,111
193869,63.02,112
204082,62.94,113
200758,62.78,114
214477,62.66,115
163665,62.62,116
170592,62.6,117
199393,62.6,118
211826,62.58,119
205408,62.53,120
230229,62.51,121
193097,62.48,122
202750,62.45,123
229558,62.44,124
201315,62.44,125
185394,62.43,126
223142,62.42,127
155351,62.37,128
174547,62.36,129
168326,62.36,130
222235,62.36,131
225859,62.28,132
193157,62.22,133
232119,62.21,134
220523,62.19,135
230382,61.96,136
192041,61.93,137
186788,61.89,138
206198,61.88,139
18115,61.8,140
179646,61.8,141
192816,61.73,143
211857,61.73,142
191106,61.67,144
224690,61.67,145
230215,61.64,146
208432,61.64,147
168530,61.63,148
219546,61.5,149
206022,61.49,150
233670,61.48,151
177273,61.38,152
183766,61.34,153
182133,61.33,154
234925,61.31,155
219848,61.3,156
224909,61.29,157
162899,61.26,158
204164,61.23,159
210719,61.17,160
166706,61.14,161
215792,61.12,162
219670,61.1,164
162407,61.1,163
231633,61.07,166
177280,61.07,165
209756,61.04,167
240289,61.0,168
200672,60.98,169
200538,60.94,170
212040,60.86,171
229537,60.83,172
226536,60.79,173
180749,60.76,174
224769,60.66,175
233225,60.63,176
192333,60.62,177
225236,60.61,178
223243,60.59,179
199915,60.58,180
230407,60.58,181
214169,60.57,182
242663,60.57,183
232869,60.55,185
216774,60.55,184
49161,60.54,186
202756,60.53,187
193679,60.49,188
184082,60.48,189
229879,60.46,190
199508,60.44,191
212591,60.42,192
213017,60.4,193
241653,60.38,194
208615,60.32,195
176483,60.32,196
223694,60.3,197
200876,60.26,198
230218,60.24,199
201122,60.19,200
184261,60.17,201
199726,60.14,202
198198,60.11,203
183283,60.08,205
178600,60.08,204
230389,60.07,206
156421,60.06,207
213846,60.03,208
178414,60.0,209
194947,59.99,210
236403,59.98,211
182001,59.92,212
150106,59.88,213
20209,59.86,214
237105,59.84,215
215070,59.84,216
189408,59.83,217
197983,59.8,218
189456,59.78,219
171831,59.76,220
225531,59.75,221
201815,59.66,222
180228,59.64,223
179897,59.63,225
198581,59.63,224
216067,59.62,226
215050,59.6,227
213433,59.6,228
184900,59.58,229
209329,59.58,230
208122,59.48,231
221641,59.47,232
204058,59.45,233
171189,59.4,234
223931,59.39,235
212778,59.38,236
206485,59.35,237
201988,59.35,238
235890,59.33,239
190870,59.32,240
215495,59.26,241
207616,59.26,242
185163,59.23,243
45083,59.18,247
172317,59.18,246
230390,59.18,245
223566,59.18,244
201860,59.17,248
194146,59.14,249
164855,59.14,250
191443,59.14,251
228805,59.13,252
200138,59.13,253
154696,59.08,254
184190,59.06,255
244269,59.02,256
212300,59.0,257
199267,59.0,258
147899,58.99,259
190507,58.98,260
206139,58.97,261
203848,58.96,262
175613,58.9,263
232756,58.86,264
202171,58.81,265
199511,58.79,266
223381,58.72,267
200353,58.72,268
222183,58.69,269
192715,58.68,270
219258,58.65,271
189472,58.59,272
176693,58.53,273
244006,58.48,275
234382,58.48,276
232289,58.48,274
46736,58.46,277
236690,58.38,278
172648,58.37,279
233097,58.35,280
244648,58.3,281
214948,58.23,282
218182,58.17,283
231948,58.16,284
233960,58.15,285
167936,58.13,286
239872,58.12,287
205256,58.1,288
214700,58.02,289
183606,58.02,290
230387,58.0,291
226810,57.96,292
205956,57.96,293
186352,57.94,294
174013,57.93,295
213718,57.84,296
150894,57.81,297
201529,57.8,298
200793,57.76,299
210466,57.71,300
152883,57.69,301
221600,57.66,302
202966,57.66,303
221972,57.64,304
213203,57.59,307
211522,57.59,306
208188,57.59,305
207788,57.57,308
241464,57.53,309
241924,57.51,310
211556,57.46,311
198856,57.46,312
235673,57.42,313
229917,57.4,314
204886,57.39,316
210653,57.39,315
179725,57.35,317
209816,57.27,318
189824,57.21,319
211362,57.19,320
153060,57.16,321
165064,57.13,322
224436,57.12,323
222337,57.09,324
184461,57.08,326
230386,57.08,325
203590,57.06,327
227511,57.02,328
230021,57.01,329
205202,56.96,330
224093,56.93,331
202408,56.92,332
181149,56.9,333
209758,56.9,334
210361,56.89,335
224142,56.88,336
230415,56.85,337
192250,56.84,338
244434,56.84,339
237015,56.81,340
208534,56.78,341
202904,56.72,342
198032,56.71,343
234426,56.69,344
193091,56.67,345
196435,56.66,346
244740,56.65,347
226601,56.64,348
190670,56.62,349
230405,56.51,350
230393,56.47,351
233201,56.43,352
225680,56.4,353
200475,56.4,354
209637,56.3,355
189724,56.28,356
210648,56.26,358
768,56.26,357
243944,56.24,359
229041,56.2,360
198624,56.19,361
209444,56.17,362
226002,56.12,363
235552,56.08,364
184820,56.08,365
203363,56.08,366
182209,56.06,367
206530,56.04,368
232265,56.04,369
235755,56.03,370
173383,56.01,371
236947,55.96,372
233012,55.9,373
202002,55.8,374
205215,55.8,375
228870,55.79,376
230383,55.73,377
219688,55.66,378
185120,55.62,379
219158,55.6,380
228883,55.58,381
139368,55.54,382
233152,55.5,383
188131,55.41,384
216481,55.38,385
123603,55.36,387
216791,55.36,386
205393,55.34,388
214339,55.33,389
222557,55.32,390
203749,55.29,391
219461,55.28,392
191079,55.24,393
212467,55.24,394
212287,55.22,395
173614,55.21,396
236279,55.11,398
239090,55.11,397
172425,55.1,399
215215,55.07,400
201986,55.04,401
203137,55.0,402
215314,55.0,403
217082,54.96,404
227880,54.96,405
138413,54.93,406
219911,54.92,407
221621,54.91,408
224808,54.88,409
183361,54.88,410
219145,54.83,411
53412,54.78,412
197896,54.78,413
206654,54.77,414
232760,54.76,415
137410,54.75,416
205038,54.7,417
241562,54.69,418
217054,54.64,419
220570,54.6,420
189035,54.58,421
234178,54.54,422
229582,54.52,423
221456,54.5,424
239590,54.5,425
163581,54.5,426
223594,54.48,427
200968,54.46,428
203145,54.44,429
229749,54.44,430
228783,54.37,431
228205,54.33,432
208146,54.28,433
213543,54.27,434
242533,54.25,435
219690,54.25,436
142762,54.22,438
230774,54.22,437
204406,54.21,439
232541,54.11,440
235156,54.06,441
244963,54.05,442
206440,54.02,443
223064,54.0,444
201816,53.97,445
228769,53.96,446
229619,53.92,447
211323,53.86,448
199049,53.82,449
172423,53.74,450
156313,53.71,451
214575,53.71,452
155264,53.64,453
241585,53.62,454
242672,53.57,455
184657,53.56,456
199789,53.55,457
227766,53.48,458
230708,53.41,459
212644,53.4,460
198642,53.4,461
216015,53.38,462
211270,53.37,463
216665,53.34,464
234645,53.32,465
183228,53.28,467
227945,53.28,468
206493,53.28,466
242484,53.25,470
215211,53.25,469
210802,53.23,471
226728,53.2,472
204397,53.13,473
201932,53.12,474
200697,53.02,475
234933,52.98,477
226116,52.98,478
202909,52.98,476
211793,52.97,479
237397,52.93,480
232433,52.9,481
236271,52.9,482
203915,52.9,483
237245,52.89,484
203795,52.83,485
225974,52.79,486
169539,52.74,487
199347,52.73,488
200633,52.72,489
170636,52.67,490
199517,52.64,491
239340,52.62,492
227708,52.62,493
208102,52.6,494
239752,52.6,495
211189,52.6,496
232189,52.59,497
229054,52.59,498
187176,52.57,499
245383,52.56,500
210804,52.54,501
49511,52.5,502
221323,52.48,503
208019,52.46,504
209491,52.44,505
243742,52.44,506
192559,52.42,507
171017,52.42,508
238678,52.39,509
226407,52.36,510
205553,52.36,511
151225,52.33,512
245098,52.33,513
209535,52.31,514
180740,52.22,515
138181,52.2,516
226170,52.14,517
222346,52.09,518
241534,52.07,519
208944,52.05,520
229266,52.04,521
223905,52.0,522
211250,52.0,523
182788,51.99,524
156434,51.94,525
231284,51.93,526
234781,51.93,527
228261,51.88,529
211828,51.88,528
239050,51.85,530
191006,51.84,531
242122,51.82,532
214404,51.82,533
140442,51.74,534
235207,51.72,535
219782,51.7,536
221990,51.68,537
224651,51.6,538
223159,51.54,539
163203,51.53,540
238779,51.52,541
191218,51.5,542
229851,51.47,543
202549,51.47,544
227549,51.46,545
220754,51.42,546
158867,51.42,547
145758,51.41,548
229815,51.36,549
242160,51.35,550
207618,51.33,551
220676,51.32,552
242303,51.32,553
230855,51.25,554
224814,51.22,555
228238,51.19,556
170660,51.11,557
208350,51.1,558
237187,51.09,560
243867,51.09,559
50632,51.05,561
173671,51.04,562
220230,50.93,563
205451,50.89,564
215638,50.83,565
213348,50.82,566
215657,50.77,567
240064,50.76,568
233056,50.7,570
213090,50.7,569
241970,50.63,571
136069,50.51,572
198497,50.48,573
237779,50.38,574
213327,50.36,575
170229,50.34,576
216068,50.33,577
238263,50.32,578
240876,50.3,579
236369,50.28,580
211622,50.27,581
192101,50.24,582
161943,50.2,583
235089,50.15,584
245226,50.11,585
237351,50.1,586
240500,49.92,587
196972,49.89,588
221316,49.84,589
209210,49.82,590
231303,49.78,591
215489,49.7,592
152483,49.68,593
208066,49.64,594
137774,49.63,595
194678,49.61,596
170027,49.6,597
243015,49.59,598
238205,49.55,599
189922,49.5,600
232567,49.47,601
232750,49.46,602
235553,49.44,603
246065,49.42,604
222108,49.34,605
240352,49.2,606
232005,49.09,607
242466,49.02,608
238963,48.72,609
240446,48.71,610
203851,48.58,611
144156,48.58,612
205406,48.52,613
224576,48.46,614
234321,48.22,615
244886,48.21,616
231711,48.15,617
238986,48.08,618
223678,48.06,619
242662,47.99,620
243549,47.8,621
232568,47.66,622
240439,47.57,623
221281,47.55,624
221985,47.52,625
203809,47.43,626
226855,47.4,627
214372,47.36,628
235952,47.29,629
221486,47.1,630
224238,47.04,631
222625,46.68,632
204459,46.51,633
180181,46.38,634
245781,46.2,635
217332,46.19,636
228098,46.15,637
232704,46.12,638
224527,45.96,639
233435,45.76,640
187154,44.69,641
220216,43.9,642
224550,43.67,643
228928,43.06,644
244755,43.02,645
241642,41.97,646
236292,41.31,647
228108,41.19,648
