id,Score,Rank
182521,78.8,1
177413,78.37,2
212198,78.35,3
211117,77.98,4
193283,77.71,5
171877,77.55,6
207410,76.1,7
223959,75.97,8
212886,75.71,9
170815,75.58,10
197965,75.52,11
199556,75.1,12
230658,74.43,13
169195,74.4,14
224293,74.36,15
138699,74.24,16
212811,73.95,17
168542,73.88,18
206511,73.85,19
199626,73.74,20
177600,73.7,21
198760,73.64,22
230251,73.63,23
187366,73.37,24
208535,73.19,25
203483,73.18,26
195365,73.17,27
237239,72.93,28
189410,72.9,29
220854,72.85,30
222509,72.53,31
214770,72.37,32
170370,72.36,33
184271,72.31,34
189177,71.86,35
210831,71.85,36
193337,71.78,37
189271,71.72,38
192612,71.6,39
212755,71.39,40
205391,71.36,41
187043,71.36,42
146562,71.33,43
193849,71.14,44
176009,71.07,45
197813,71.02,46
198426,70.96,47
180283,70.96,48
201223,70.93,49
195096,70.88,50
238744,70.84,51
200054,70.82,53
178085,70.82,52
181318,70.8,54
197242,70.78,55
172287,70.65,56
192636,70.64,57
188154,70.63,58
239732,70.5,59
210688,70.48,60
189490,70.27,61
186801,70.14,62
224309,70.13,64
204156,70.13,63
138918,70.11,65
204412,70.1,66
222994,70.08,67
198133,70.01,68
193550,69.99,69
178287,69.96,70
188992,69.94,71
219809,69.91,72
188152,69.82,73
207471,69.82,74
173147,69.81,75
224185,69.79,76
210533,69.76,77
199829,69.74,78
198129,69.61,79
230850,69.6,80
225439,69.58,81
169808,69.54,82
180250,69.53,83
203796,69.51,84
213884,69.23,86
133249,69.23,87
233195,69.23,85
215118,69.22,88
216354,69.13,89
209610,69.12,90
196916,69.0,91
203067,69.0,92
161468,68.96,93
171018,68.91,94
187878,68.89,95
221931,68.84,96
158438,68.84,97
192026,68.83,98
200689,68.64,99
231521,68.59,100
137406,68.58,101
236499,68.53,102
202458,68.5,103
229788,68.45,104
231077,68.44,105
199584,68.36,106
197681,68.33,107
201220,68.32,108
206577,68.28,109
207412,68.27,110
213498,68.22,111
201965,68.2,112
182343,68.06,113
177279,68.01,114
203604,67.97,115
172768,67.96,116
162981,67.94,117
191066,67.8,118
215076,67.75,119
227689,67.73,120
206114,67.67,121
239433,67.62,122
190416,67.57,123
205686,67.56,124
199762,67.52,125
201438,67.48,126
207559,67.41,127
219792,67.41,128
219755,67.29,129
200223,67.28,130
214378,67.27,131
209359,67.24,132
190156,67.19,133
188791,67.18,134
237819,67.11,135
191566,67.03,136
183895,67.02,138
202331,67.02,137
164,67.0,139
206590,66.98,140
243862,66.83,141
206152,66.63,142
207762,66.54,143
208302,66.42,144
208630,66.38,145
202986,66.26,146
200683,66.26,147
181371,66.17,148
220714,66.1,149
173245,66.04,150
171971,66.03,151
8205,65.95,152
197954,65.94,153
200765,65.93,154
199173,65.92,155
225507,65.91,156
217153,65.9,157
231428,65.88,158
178253,65.83,159
156683,65.82,160
213711,65.81,161
225769,65.77,162
213537,65.69,163
191059,65.67,164
193910,65.66,165
194669,65.61,166
206563,65.57,167
199809,65.53,168
221944,65.52,169
220940,65.5,170
190499,65.45,171
205210,65.37,172
205291,65.34,173
199977,65.33,174
199262,65.3,175
190408,65.3,176
178284,65.28,177
198517,65.26,178
192608,65.25,179
203461,65.21,180
241095,65.19,181
225659,65.12,182
228961,65.12,183
188490,65.08,184
230259,65.05,185
159171,64.98,186
229927,64.91,187
179537,64.86,188
232097,64.86,189
210450,64.86,190
200898,64.83,191
214369,64.78,192
200601,64.73,193
213798,64.67,194
229659,64.66,195
205531,64.65,196
221475,64.65,197
199195,64.61,198
232376,64.6,199
226012,64.58,200
163445,64.57,201
243339,64.56,202
178713,64.45,203
214366,64.39,204
225310,64.37,205
223495,64.34,206
186502,64.34,207
193427,64.29,208
177782,64.29,209
207580,64.26,210
158144,64.25,211
244546,64.22,212
233064,64.17,213
229361,64.12,214
210646,64.1,215
198223,64.08,216
193896,64.08,217
243686,64.07,218
193173,64.05,219
189439,64.02,220
198604,64.0,221
225115,63.99,222
221001,63.98,223
215028,63.94,224
234763,63.88,225
237257,63.88,226
211260,63.8,227
200134,63.79,228
234948,63.78,229
218747,63.72,230
211928,63.71,231
204730,63.45,232
131444,63.45,233
219452,63.44,234
244194,63.42,235
165784,63.38,236
191669,63.37,237
192431,63.36,238
212625,63.3,239
198622,63.28,240
232991,63.24,241
205388,63.2,242
206517,63.15,243
238636,63.11,244
183382,63.09,245
174382,63.04,246
240134,62.95,248
139443,62.95,247
214915,62.94,249
205939,62.93,250
163570,62.79,251
181013,62.78,252
224842,62.69,253
210148,62.65,254
237640,62.59,255
223208,62.55,256
204320,62.5,257
200877,62.44,258
229210,62.34,259
182944,62.33,260
177389,62.32,261
199197,62.29,262
225847,62.26,263
219900,62.24,264
194998,62.18,265
177692,62.16,266
216273,61.91,267
228245,61.9,268
239414,61.89,269
208018,61.88,270
233484,61.82,271
187341,61.81,272
209361,61.74,273
232462,61.72,274
192169,61.71,275
204946,61.7,276
191800,61.67,277
135032,61.62,278
200928,61.58,279
198540,61.57,280
186126,61.56,281
210205,61.51,282
192495,61.5,283
197376,61.48,285
239660,61.48,284
186590,61.42,286
221562,61.29,287
246057,61.27,288
193358,61.12,289
205593,60.91,290
242450,60.9,291
198852,60.89,292
220968,60.88,293
212782,60.83,294
232467,60.79,295
202589,60.76,297
240690,60.76,296
207734,60.68,298
243743,60.68,299
231044,60.65,300
237768,60.57,301
234991,60.51,302
211881,60.46,303
198617,60.4,304
232127,60.35,305
244054,60.32,306
118646,60.28,308
212481,60.28,307
244973,60.25,309
189186,60.23,310
238270,60.2,311
205072,60.14,312
225950,60.0,313
241605,59.97,314
191154,59.92,315
210365,59.9,316
208174,59.79,317
192970,59.65,318
200593,59.64,319
171402,59.59,321
222477,59.59,320
230906,59.44,322
200781,59.35,323
169489,59.32,324
239170,59.22,325
220198,59.16,326
182689,59.04,327
239807,59.04,328
227835,59.02,329
229991,58.99,330
236006,58.84,331
219700,58.77,332
232343,58.74,333
229438,58.62,334
224470,58.56,335
223429,58.56,336
221826,58.52,337
220635,58.51,338
214485,58.44,339
211234,58.42,340
224403,58.27,341
200263,58.16,342
239175,58.15,343
237077,57.95,344
231840,57.93,345
233171,57.76,346
189206,57.74,347
228667,57.67,348
198655,57.61,349
237840,57.34,350
205026,57.15,351
230812,57.08,352
227878,57.04,353
231171,56.95,354
239312,56.85,355
234586,56.71,356
241131,56.5,357
224065,56.47,358
243519,56.46,359
210217,56.44,360
221339,56.44,361
242336,56.3,362
244669,56.21,363
229179,56.09,364
238619,56.02,365
173337,55.99,366
242081,55.88,367
226835,55.84,368
226021,55.77,369
232731,55.7,370
242531,55.61,371
245170,55.16,372
225009,54.95,373
215084,54.83,374
239995,54.73,375
232576,54.54,376
228209,54.48,377
234497,54.16,378
228461,54.05,379
227929,53.87,380
159074,53.5,381
234297,53.36,382
191805,53.06,383
243287,52.99,384
205145,52.89,385
242045,52.78,386
208037,52.5,387
243894,52.03,388
211135,51.9,389
202800,51.86,390
239305,51.27,391
208084,50.89,392
243253,50.87,393
236529,46.37,394
243961,45.55,395
