id,Score,Rank
187961,79.12,1
215914,78.17,2
216352,76.68,3
199042,76.21,4
176266,75.24,5
216451,74.93,6
205201,74.48,7
169051,74.43,8
226790,74.27,9
211575,73.92,10
176915,73.61,11
184999,73.37,12
213160,73.25,13
228702,72.98,14
199503,72.85,15
190799,72.76,16
168621,72.29,17
222709,72.07,18
207939,72.03,19
143121,71.97,20
187924,71.82,21
187052,71.82,22
230437,71.8,23
142754,71.62,24
199504,71.02,25
193535,70.67,26
196942,70.65,27
162221,70.55,28
178616,70.41,29
205598,70.12,30
211265,70.04,31
177390,70.03,32
230286,70.01,33
178255,69.9,34
202149,69.84,35
204542,69.84,36
233029,69.77,37
199661,69.59,38
202106,69.55,39
172290,69.51,40
174549,69.48,41
183632,69.39,42
196896,69.14,43
220905,69.1,44
177482,68.98,45
223030,68.88,46
226797,68.75,47
167665,68.69,48
237520,68.6,49
222844,68.56,50
202238,68.55,51
189600,68.46,52
159566,68.39,53
228804,68.35,54
214299,68.31,55
174732,68.27,56
219181,68.14,57
181917,67.93,58
207865,67.9,59
186672,67.85,60
189311,67.84,61
222475,67.77,62
231102,67.65,63
184071,67.46,64
226273,67.46,65
200857,67.29,66
223736,67.25,67
189568,67.23,68
210214,67.18,69
224336,67.06,70
230448,67.05,71
189383,66.97,72
200206,66.93,73
228353,66.92,74
200962,66.91,75
203393,66.9,76
210868,66.8,77
208861,66.73,78
204771,66.64,79
211741,66.55,80
230243,66.54,81
241166,66.54,82
244373,66.44,83
183540,66.38,84
193683,66.38,85
222457,66.35,86
236639,66.28,87
165908,66.24,88
241390,65.96,89
193942,65.89,90
230441,65.82,92
234853,65.82,91
159157,65.76,93
172716,65.73,94
211231,65.7,95
196948,65.51,96
162926,65.47,97
199286,65.36,98
177294,65.26,99
222224,65.25,100
230434,65.21,101
201359,65.12,102
230424,65.08,103
200671,65.07,104
145117,64.94,105
186682,64.88,106
244264,64.74,107
230421,64.72,108
214151,64.66,109
230235,64.59,110
230446,64.51,111
170612,64.44,112
200256,64.41,113
228838,64.37,114
214158,64.32,115
237629,64.27,116
240916,64.22,117
213559,64.16,118
210028,64.03,119
176442,63.99,120
219106,63.96,121
152745,63.86,122
217086,63.82,123
207523,63.79,124
209618,63.78,125
200292,63.71,126
230443,63.71,127
227530,63.61,128
193864,63.61,129
161636,63.59,130
230531,63.4,131
167933,63.31,132
177605,63.16,133
189895,63.11,134
224444,63.01,135
210926,62.97,136
215129,62.96,137
180409,62.87,138
193851,62.85,139
237540,62.85,140
224140,62.82,141
163768,62.81,142
206207,62.8,143
216270,62.75,144
177129,62.68,145
227293,62.63,146
222134,62.62,147
209691,62.53,148
238005,62.43,149
203164,62.25,150
222553,62.2,151
232859,62.18,152
162900,62.12,153
232162,61.98,154
152735,61.95,155
192369,61.8,156
219160,61.61,157
232195,61.59,158
240611,61.59,159
232718,61.52,160
213902,61.46,161
234534,61.33,162
214608,61.25,163
206332,61.18,164
194059,61.14,165
223444,61.11,166
227810,61.11,167
229040,61.0,168
214386,60.93,169
235987,60.86,170
232599,60.84,171
224395,60.83,172
233884,60.75,173
229285,60.65,174
223756,60.65,175
234918,60.58,176
177442,60.42,177
223652,60.37,178
211991,60.35,179
237131,60.24,180
211901,60.23,181
244791,60.22,182
230429,60.17,183
211037,60.1,184
206628,59.97,185
210418,59.95,186
213635,59.95,187
236532,59.87,188
232192,59.85,189
242619,59.79,190
233079,59.79,191
206535,59.72,192
204152,59.46,193
182156,59.46,194
172872,59.37,195
207744,59.35,196
211987,59.35,197
209565,59.3,198
237920,59.13,199
242490,59.12,200
203547,58.89,201
221270,58.89,202
197241,58.86,203
214093,58.64,204
244280,58.54,205
159168,58.18,206
230918,58.15,207
242087,58.11,208
214748,58.06,209
172258,57.94,210
209625,57.91,211
159366,57.77,212
214719,57.66,213
193771,57.36,214
235544,57.28,215
238649,57.23,216
223810,56.99,217
240045,56.99,218
199787,56.88,219
230801,56.73,220
235596,56.48,221
177544,56.47,222
237721,56.34,223
240227,56.06,224
233043,55.94,225
243478,55.69,226
244711,55.33,227
182419,54.94,228
204333,54.85,229
239617,54.24,230
220912,54.03,231
241995,53.34,232
242230,53.09,233
235735,53.09,234
236530,52.26,235
234519,51.54,236
222185,51.39,237
243222,51.38,238
241587,50.62,239
240822,50.22,240
234234,49.7,241
237677,48.01,242
243112,47.76,243
