id,Score,Rank
170890,78.48,1
193747,78.24,2
181458,78.05,3
157960,75.74,4
213565,75.38,5
209889,75.25,6
219985,74.92,7
188350,74.47,8
226271,74.44,9
192679,74.07,10
190483,73.95,11
190059,73.77,12
204923,73.47,13
205632,73.28,14
201995,73.14,15
202884,73.11,16
207537,73.1,17
208722,72.97,18
193061,72.89,19
200104,72.84,20
225474,72.69,21
173306,72.34,22
157217,72.13,23
223198,72.0,24
234906,71.78,25
214097,71.75,26
239782,71.71,27
191783,71.64,28
192202,71.55,29
204757,71.38,30
188567,71.36,31
188803,71.33,32
202069,70.79,33
225201,70.56,34
224411,70.44,35
212150,70.28,36
184267,70.27,38
177159,70.27,37
218415,70.17,39
232883,70.16,40
189491,70.13,41
139068,70.11,42
190671,70.07,43
199715,70.04,44
206225,70.02,45
178470,69.97,46
199561,69.86,47
200529,69.82,48
208418,69.75,49
204699,69.73,50
194761,69.72,51
203106,69.69,52
216700,69.68,53
157301,69.64,54
197081,69.54,55
209453,69.49,56
193884,69.46,57
209102,69.42,58
204213,69.32,59
213516,69.25,60
189196,69.23,61
210212,69.2,62
241184,69.18,63
223697,69.18,64
215639,69.14,65
224394,69.12,66
159278,69.12,67
235883,68.98,68
222644,68.98,69
208787,68.95,70
226203,68.92,71
205114,68.81,72
175789,68.76,73
223136,68.71,74
203455,68.63,75
203362,68.61,76
202223,68.57,77
187858,68.56,78
186302,68.51,79
187447,68.5,80
199729,68.5,81
192732,68.49,82
211872,68.42,83
229906,68.4,84
142705,68.38,85
234195,68.33,86
224813,68.3,87
222943,68.27,88
210950,68.19,89
225997,68.19,90
191627,68.15,91
217097,68.07,92
208448,67.98,93
189211,67.93,94
210985,67.88,95
212096,67.85,96
206006,67.81,97
177712,67.81,98
208574,67.79,99
166074,67.79,100
224103,67.74,101
228302,67.71,102
194718,67.65,103
227503,67.65,104
178416,67.6,105
237566,67.56,106
156650,67.44,107
215159,67.43,108
190813,67.41,109
193172,67.4,110
239231,67.35,111
207421,67.3,112
158232,67.24,113
236548,67.21,114
229332,67.2,115
203965,67.16,116
177326,67.15,117
228179,67.12,118
195088,67.12,119
211703,67.03,120
167601,67.02,122
183883,67.02,121
214497,66.98,124
228908,66.98,123
173325,66.94,125
157528,66.91,126
189650,66.89,127
200315,66.89,128
226356,66.88,129
231949,66.85,131
184823,66.85,130
155885,66.84,132
213345,66.83,133
191044,66.82,134
202858,66.79,135
169214,66.77,136
169078,66.77,137
208949,66.71,138
188196,66.7,139
163796,66.68,140
231423,66.63,141
156616,66.58,142
172475,66.56,143
211635,66.55,144
147006,66.48,145
202064,66.45,146
203872,66.42,147
233631,66.39,148
212194,66.39,149
215330,66.3,150
186536,66.26,151
214671,66.23,152
205926,66.22,153
210463,66.2,154
186197,66.19,155
163187,66.18,156
209827,66.18,157
201530,66.16,159
208977,66.16,158
222501,66.13,160
178029,66.11,161
186745,65.98,162
179613,65.97,163
222467,65.96,164
183870,65.93,165
225878,65.9,166
219411,65.86,167
200895,65.85,168
213512,65.84,169
205525,65.78,170
210602,65.77,171
169317,65.7,172
210333,65.67,173
214918,65.65,175
189157,65.65,174
205138,65.61,176
200532,65.6,177
192350,65.59,178
215103,65.55,179
236276,65.51,180
204444,65.51,181
183187,65.5,182
208621,65.46,183
190748,65.44,184
234873,65.42,185
172672,65.41,186
241629,65.38,187
186756,65.32,188
226078,65.32,189
229595,65.24,190
229596,65.19,191
211177,65.17,192
219740,65.12,193
204763,65.12,194
207807,65.08,195
176773,65.07,196
189462,65.05,197
214065,65.04,198
187339,65.03,199
218991,65.01,200
153062,65.0,201
223354,64.96,202
176029,64.89,203
200535,64.87,204
182411,64.83,205
205401,64.82,206
202225,64.79,209
222248,64.79,207
235889,64.79,208
207806,64.75,210
163619,64.74,211
233601,64.72,212
192537,64.71,213
221791,64.7,214
229649,64.6,215
234413,64.59,216
201533,64.56,217
177537,64.54,218
211017,64.52,219
221310,64.45,220
177922,64.4,221
225085,64.39,222
194091,64.38,223
217167,64.37,224
204337,64.35,225
244193,64.34,226
239437,64.32,227
203570,64.29,228
156227,64.26,229
177934,64.21,230
209430,64.17,231
208459,64.17,232
233411,64.12,233
216076,64.1,234
214692,64.09,235
228093,64.08,236
212519,64.08,237
177100,64.05,238
146058,64.04,239
232374,63.98,240
205365,63.97,241
222041,63.94,242
231726,63.93,243
224739,63.92,244
202487,63.9,245
212466,63.88,246
228614,63.87,247
186331,63.87,248
159017,63.86,249
211513,63.84,250
204247,63.8,251
187939,63.79,252
180339,63.78,253
215644,63.77,254
228946,63.76,255
216820,63.74,256
236405,63.73,258
196899,63.73,259
227174,63.73,257
230967,63.72,260
222883,63.67,261
193111,63.67,262
213750,63.67,263
186805,63.65,264
208053,63.64,265
201818,63.62,266
199594,63.62,267
169112,63.6,268
192624,63.59,269
221919,63.58,270
180281,63.56,271
202771,63.54,272
202882,63.52,273
211742,63.5,274
203368,63.49,275
193728,63.46,276
188554,63.45,277
219177,63.44,278
214949,63.43,279
214392,63.37,280
193956,63.35,281
220488,63.34,282
224422,63.3,283
166838,63.29,284
174670,63.24,285
178090,63.23,286
226766,63.22,287
201888,63.19,288
51159,63.17,289
193246,63.14,290
194035,63.11,291
217794,63.05,293
191378,63.05,292
214718,63.04,294
175391,63.03,295
213388,63.0,296
203823,62.99,297
219732,62.97,298
167753,62.96,299
205048,62.92,300
182440,62.9,302
207684,62.9,301
211061,62.88,303
201271,62.86,304
211022,62.84,305
179663,62.79,306
199861,62.79,307
156542,62.74,308
233053,62.72,309
239703,62.69,310
232698,62.62,311
231530,62.59,312
210321,62.58,313
210202,62.56,314
200275,62.55,315
187498,62.53,316
210386,62.53,317
222161,62.5,318
214570,62.48,319
200429,62.48,320
214491,62.47,321
227562,62.43,322
222488,62.43,323
173666,62.42,324
189172,62.42,325
211339,62.36,328
220633,62.36,327
223794,62.36,326
228600,62.35,329
205869,62.34,330
205601,62.31,331
222204,62.31,332
217648,62.31,333
209769,62.29,334
214327,62.27,335
234128,62.26,336
202515,62.26,337
152038,62.26,338
203377,62.25,339
188071,62.23,340
165667,62.19,341
224719,62.18,342
173040,62.15,345
193252,62.15,344
197891,62.15,343
205929,62.14,347
214929,62.14,346
220684,62.11,348
177895,62.1,349
221174,62.09,350
221797,62.06,351
187077,62.05,352
221854,62.05,353
220569,62.01,354
235947,62.0,355
236024,61.99,356
241779,61.99,357
216534,61.97,358
216698,61.97,359
140451,61.97,360
214668,61.94,362
193344,61.94,361
213102,61.93,363
202035,61.92,364
235328,61.9,365
237895,61.9,366
232512,61.88,367
221841,61.87,368
229750,61.86,369
237135,61.86,370
211381,61.83,371
210263,61.83,372
182837,61.82,373
206656,61.8,374
231842,61.8,375
235317,61.79,376
193001,61.78,377
241168,61.77,378
181699,61.75,379
238988,61.73,380
212066,61.71,381
239341,61.71,382
228173,61.69,383
240206,61.68,384
225391,61.68,385
172019,61.67,386
212350,61.65,387
214417,61.64,388
223819,61.64,389
227612,61.64,390
234927,61.6,391
190619,61.6,392
237560,61.6,393
188540,61.57,394
228388,61.55,395
179569,61.54,396
171318,61.54,397
186475,61.53,398
217877,61.48,399
239671,61.47,400
191388,61.46,401
240037,61.46,402
192072,61.45,403
213655,61.42,404
229875,61.38,405
221197,61.36,406
207440,61.3,407
192354,61.3,408
202017,61.21,409
229819,61.21,410
224368,61.19,411
205834,61.17,412
206316,61.15,413
241498,61.14,415
223054,61.14,414
212807,61.12,416
235467,61.11,417
214836,61.11,418
228763,61.03,419
205212,61.02,420
209892,61.01,421
212249,60.97,422
219523,60.91,423
203606,60.91,424
221503,60.9,425
225951,60.89,426
222172,60.89,427
222912,60.89,428
203491,60.87,429
156704,60.86,431
169644,60.86,430
198719,60.85,432
213856,60.84,433
139609,60.79,434
241771,60.75,435
224424,60.74,436
230899,60.73,437
