id,Score,Rank
208334,73.73,1
179696,73.38,2
209781,73.01,3
214026,72.97,4
212541,72.86,5
212187,72.73,6
200536,72.68,7
150590,72.66,8
189390,72.57,9
201884,71.59,10
223682,71.51,11
186115,71.11,12
210455,70.98,13
215322,70.98,14
192087,70.47,15
218540,69.46,16
203544,69.03,17
215938,68.91,18
198843,68.66,19
190555,67.32,20
201041,66.52,21
209818,65.67,22
186950,65.4,23
192546,64.48,24
221665,64.13,25
184035,64.0,26
229640,63.25,27
208812,63.1,28
235172,63.01,29
203966,62.36,30
231070,61.91,31
201491,61.7,32
167919,61.65,33
216527,61.63,34
210253,61.41,35
196353,61.33,36
212054,61.17,37
183024,61.13,38
138830,61.1,39
215422,60.89,40
219133,60.64,41
235579,60.6,42
205877,60.6,43
226033,60.43,44
219957,60.28,45
226654,60.03,46
243661,59.22,47
189833,59.22,48
203885,59.14,50
243142,59.14,49
225716,58.6,51
179633,58.58,52
210812,57.01,53
206286,56.72,54
209315,56.71,55
211594,56.62,56
220981,55.99,57
232892,55.68,58
236047,55.63,59
234207,55.49,60
241311,55.38,61
214656,55.34,62
240328,55.31,63
242429,55.28,64
236629,55.1,65
244202,55.08,66
235072,54.92,67
211144,54.7,68
244515,54.57,69
223908,54.34,70
232759,54.21,71
243608,54.06,72
225775,53.86,73
232267,52.4,74
241884,50.65,75
244864,48.32,76
236705,46.97,77
233931,45.5,78
