id,Score,Rank
189242,76.69,1
197781,75.46,2
190871,75.38,3
222492,73.54,4
211300,73.49,5
176376,72.73,6
231677,71.96,7
192841,71.73,8
198219,71.71,9
206467,71.48,10
224458,71.25,11
216201,71.11,12
212196,71.04,13
223061,70.37,14
220746,70.1,15
201938,69.66,16
183900,69.63,17
204823,69.58,18
232862,69.44,19
226045,69.24,20
229764,69.22,21
182945,69.19,22
201215,69.15,23
186200,68.97,24
186146,68.96,25
211368,68.89,26
198489,68.36,27
188536,68.34,28
214665,68.26,29
200107,68.18,30
199412,68.13,31
200641,68.02,32
192342,67.88,33
225953,67.8,34
229593,67.7,35
212616,67.43,36
222832,67.41,37
189148,67.0,38
135697,66.95,39
201073,66.95,40
201878,66.84,41
226215,66.57,42
236920,66.44,43
213814,66.39,44
199386,66.3,45
164985,66.2,46
220362,66.05,47
222215,65.9,48
212267,65.85,49
198136,65.79,50
231390,65.73,51
238794,65.7,52
228819,65.69,53
224218,65.63,54
211903,65.47,55
202184,65.44,56
170828,65.36,57
242444,65.35,58
195038,65.33,59
209782,65.25,60
227642,65.22,61
204077,65.21,62
209888,64.97,63
218345,64.96,64
231128,64.94,65
232148,64.79,66
198024,64.72,67
230468,64.66,68
231041,64.54,69
183471,64.27,70
234711,64.27,71
171082,64.17,72
231394,64.05,73
222153,63.92,74
192165,63.72,75
205631,63.65,76
237538,63.59,77
202548,63.56,78
215540,63.53,79
224538,63.51,80
214784,63.48,81
225844,63.35,82
184927,63.34,83
228747,63.31,84
227890,63.27,85
189160,63.27,86
239482,63.24,87
188271,63.18,88
202940,63.14,89
211099,63.02,90
207645,62.98,91
216079,62.98,92
203347,62.92,93
210801,62.87,94
241026,62.79,95
190588,62.74,96
240342,62.73,97
228111,62.64,98
224508,62.6,99
232219,62.6,100
236836,62.58,101
205966,62.48,102
220513,62.48,103
213705,62.45,104
230581,62.39,105
201967,62.36,106
229218,62.33,107
239718,62.32,108
221144,62.08,109
229694,62.07,110
239380,62.01,111
242935,61.99,112
241412,61.91,113
151270,61.91,114
201061,61.88,115
221896,61.82,116
229209,61.78,117
231240,61.76,118
235706,61.68,119
208676,61.6,121
209729,61.6,120
234171,61.59,122
202559,61.58,123
205711,61.58,124
241907,61.44,125
243656,61.38,126
244521,61.38,127
221756,61.36,128
229171,61.34,129
224205,61.3,130
231447,61.25,131
225476,61.24,132
207454,61.22,133
212643,61.21,134
213612,61.19,135
224243,61.17,136
220152,61.16,137
229129,61.16,138
223056,61.1,139
191657,61.08,140
