id,Score,Rank
202371,77.72,1
167905,76.58,2
173221,75.38,3
209331,74.9,4
224031,74.75,5
192883,74.39,6
212404,74.16,7
193839,74.12,8
231747,73.87,9
191076,73.39,10
204970,73.34,11
205070,73.29,12
212213,73.27,13
170368,73.27,14
170320,73.1,15
183898,72.72,16
187754,72.67,17
205569,72.67,18
202061,72.6,19
211147,72.56,20
211907,72.52,21
176571,72.51,22
234153,72.51,23
146536,72.37,24
223058,72.04,25
199416,72.02,26
215531,71.73,27
186581,71.71,28
226592,71.61,29
205678,71.54,30
200949,71.45,31
185020,71.4,32
194794,71.35,33
214997,71.35,34
152916,71.31,35
233419,71.2,36
208808,71.0,37
220466,70.99,38
227055,70.84,39
183130,70.84,40
184575,70.76,41
223329,70.73,42
226807,70.7,43
223017,70.54,44
9014,70.51,45
190717,70.43,46
224425,70.42,47
171972,70.32,48
220925,70.3,49
193130,70.19,50
192451,70.09,51
202429,70.01,52
195033,69.98,53
186395,69.95,55
219758,69.95,54
220093,69.81,56
178115,69.75,57
175379,69.72,58
155946,69.64,59
216409,69.62,60
219571,69.56,61
195272,69.5,62
189557,69.4,63
207948,69.39,64
164994,69.31,65
229092,69.27,66
189272,69.26,67
208364,69.1,68
203910,69.05,69
20775,68.94,70
211927,68.89,71
231887,68.83,72
206516,68.74,73
213777,68.69,74
162280,68.68,75
211119,68.66,76
237223,68.63,77
226789,68.63,78
177525,68.6,79
215871,68.54,80
191032,68.52,81
193165,68.5,82
211862,68.5,83
178088,68.5,84
228942,68.37,85
143617,68.35,86
192560,68.32,87
214006,68.3,88
202857,68.24,90
210411,68.24,89
183909,68.19,91
188045,68.18,92
190653,68.11,93
169388,68.1,94
208437,68.08,95
193887,68.04,96
204738,68.0,97
219728,67.96,98
215259,67.95,99
179591,67.94,100
190589,67.85,101
232692,67.78,102
217714,67.77,103
215449,67.76,104
211267,67.75,105
183921,67.74,106
192955,67.72,107
183871,67.65,108
212214,67.58,109
235875,67.51,110
210617,67.5,111
208224,67.46,112
184337,67.46,113
215245,67.46,114
182409,67.42,115
214207,67.39,116
202208,67.32,117
146487,67.31,118
206631,67.3,119
186783,67.26,120
216796,67.24,121
215616,67.23,122
190014,67.19,123
225206,67.14,124
176902,67.12,125
216055,67.1,126
215785,67.1,127
165531,67.06,128
215155,67.01,129
212729,67.01,130
216381,66.94,131
192722,66.93,132
184816,66.92,133
200630,66.86,134
200438,66.86,135
244369,66.85,136
186595,66.78,137
215107,66.78,138
203299,66.77,139
228414,66.74,140
204874,66.73,141
164859,66.68,142
229636,66.67,143
234396,66.64,144
179592,66.63,145
215196,66.58,146
184881,66.54,147
188166,66.48,148
232905,66.48,149
237670,66.44,150
199418,66.42,151
186119,66.41,152
201681,66.41,153
231886,66.38,154
170988,66.38,155
213134,66.37,156
193098,66.25,157
207554,66.24,158
219953,66.18,159
152747,66.16,160
177522,66.15,161
202088,66.0,162
222420,66.0,163
184089,65.99,164
236547,65.99,165
207444,65.88,166
183332,65.84,167
228312,65.82,168
183526,65.79,169
192490,65.79,170
194174,65.75,171
205257,65.7,172
216749,65.7,173
219942,65.61,174
202994,65.56,175
233550,65.54,176
212048,65.52,177
220334,65.5,178
203568,65.48,179
235623,65.42,180
235374,65.41,181
226162,65.4,182
193844,65.39,183
212230,65.39,184
229071,65.34,185
227796,65.32,187
198017,65.32,186
207872,65.31,188
211394,65.29,189
202330,65.22,190
205990,65.21,191
207641,65.18,192
190552,65.14,193
210313,65.06,194
239117,65.04,195
212692,64.96,196
206310,64.95,197
49659,64.95,198
203177,64.94,199
200461,64.91,200
216349,64.89,201
201326,64.83,202
183820,64.82,203
229453,64.82,204
173434,64.77,205
193442,64.76,206
232860,64.75,207
214421,64.74,208
228892,64.73,209
208277,64.72,210
210237,64.63,211
205540,64.62,212
235926,64.58,214
221306,64.58,213
219525,64.56,215
238657,64.56,216
222022,64.54,217
200966,64.48,218
215199,64.47,219
221587,64.47,220
214807,64.47,221
216433,64.46,222
172516,64.41,223
210489,64.41,224
198077,64.39,225
234762,64.37,226
156535,64.34,227
193780,64.33,228
235944,64.32,229
225664,64.24,230
226414,64.23,232
198144,64.23,231
