id,Score,Rank
176580,78.19,1
202685,70.19,2
228144,70.06,3
199451,69.96,4
204838,69.5,5
41236,69.35,6
167397,69.33,7
227536,67.8,8
177673,67.73,9
194879,67.55,10
152999,67.5,11
218154,67.43,12
178311,67.32,13
159261,67.27,14
209780,66.9,15
210287,66.76,16
195620,66.62,17
169792,66.5,18
188268,66.5,19
199737,66.48,20
207732,66.45,21
220883,66.02,22
230507,66.02,23
213061,65.7,24
202477,65.45,25
46175,65.32,26
190915,65.26,27
211848,65.25,28
165560,65.08,29
205693,64.79,30
194017,64.57,31
179875,64.54,32
183580,64.36,33
205431,64.24,34
226093,64.15,35
186524,64.13,36
189857,64.05,37
196073,64.01,38
195859,63.88,39
169216,63.71,40
224883,63.63,41
212626,63.6,42
189480,63.6,43
208498,63.57,44
216388,63.48,45
219797,63.32,46
182763,63.27,47
209519,63.14,48
233250,63.13,49
208622,63.02,50
215064,62.97,51
238569,62.91,52
205094,62.72,53
225653,62.69,54
154472,62.61,55
180818,62.48,56
231138,62.48,57
181375,62.35,58
215689,62.23,59
169568,62.07,60
189250,61.95,61
215334,61.88,62
182091,61.78,63
191834,61.72,64
192906,61.69,65
232380,61.66,66
197226,61.62,67
215333,61.33,68
207835,61.25,69
230524,61.25,70
226765,61.24,71
166114,61.21,72
226060,61.13,73
203672,61.1,74
210171,61.07,75
191910,61.06,76
162056,61.02,77
176542,60.96,78
212618,60.76,79
207653,60.73,80
220128,60.68,81
237715,60.67,82
214206,60.67,83
192445,60.63,84
174754,60.5,85
211920,60.37,86
140445,60.32,87
239728,60.31,88
155041,60.26,89
229948,60.24,90
231416,60.23,91
202401,60.08,92
200087,60.0,93
234284,59.75,94
146011,59.73,95
187038,59.66,96
172092,59.65,97
207651,59.63,98
139799,59.57,99
213095,59.44,100
182996,59.43,101
223147,59.42,102
205850,59.41,103
228378,59.24,104
213620,59.22,105
188305,59.13,106
193939,59.08,107
243793,59.02,108
237544,58.91,109
210494,58.8,110
213280,58.69,111
212041,58.68,112
236461,58.64,113
233260,58.42,114
237799,58.37,115
242348,58.32,116
193701,58.17,117
192663,58.02,118
231624,57.94,119
228861,57.77,120
190311,57.71,121
235866,57.68,122
158254,57.64,123
189910,57.48,124
237340,57.31,125
235029,57.28,126
177414,57.25,127
204840,57.21,128
193537,56.94,129
239043,56.83,130
208675,56.8,131
233808,56.71,132
203328,56.69,133
184341,56.55,134
200663,56.54,135
201265,56.35,136
199053,56.23,137
187076,56.19,138
220829,56.17,139
217225,56.15,140
207563,56.08,142
237409,56.08,141
192450,55.96,143
216155,55.91,144
222878,55.82,145
206529,55.81,146
225606,55.78,147
199620,55.54,148
203457,55.5,149
203504,55.48,150
238643,55.48,151
210319,55.46,152
240738,55.43,153
188335,55.24,154
223730,55.06,155
195427,55.01,156
225735,54.96,157
190239,54.85,158
187157,54.8,159
237769,54.78,160
238977,54.75,161
203834,54.44,162
243993,54.36,163
243749,54.25,164
225270,54.09,165
198011,54.02,166
223137,53.98,167
241002,53.93,168
212910,53.89,169
216979,53.87,170
197907,53.78,171
246172,53.6,172
169912,53.54,173
200312,53.3,174
122066,53.22,175
224916,53.21,176
19410,53.19,177
223670,53.05,178
225075,52.93,179
200779,52.91,180
213871,52.81,181
205887,52.72,182
227579,52.62,183
241867,52.61,184
239479,52.42,185
221264,52.3,186
219988,52.06,187
219550,52.02,188
240922,51.89,189
223404,51.78,190
169725,51.7,191
221574,51.53,192
206430,51.43,193
220682,50.52,194
212683,50.35,195
243159,50.35,196
213993,50.0,197
231754,49.59,198
212167,48.1,199
243897,47.99,200
242117,47.79,201
241144,42.48,202
234412,42.44,203
